Path,length,all_abandoned,is_cross,lag,is_cross_service
"[850033, 850118, 776942]",3,False,True,12255.47,False
"[850342, 850343]",2,False,True,0.05,False
"[846145, 845993, 846964, 846932]",4,False,True,138.44,False
"[846022, 846023, 822729, 846027, 846028, 846031, 846032, 822138, 813052]",9,False,True,6023.83,False
"[840228, 752677, 752679]",3,False,True,14189.98,False
"[838904, 838907]",2,False,True,0.0,False
"[838507, 838508]",2,False,True,0.0,False
"[849717, 850021]",2,False,True,46.97,True
"[843544, 849580, 849572, 849517]",4,False,True,1127.72,False
"[847419, 844859]",2,True,True,415.3,True
"[843469, 841246]",2,False,True,387.94,False
"[843226, 843571, 843220, 843570]",4,False,True,56.93,False
"[843017, 843003]",2,False,True,2.14,False
"[832734, 840727]",2,False,True,1386.93,False
"[849755, 849732]",2,False,True,0.1,False
"[849760, 849761]",2,False,True,0.22,False
"[837626, 839181, 837438]",3,False,True,322.8,False
"[846338, 848300, 831271]",3,False,True,2922.94,True
"[849126, 848999, 849000, 849226, 817198, 849460, 849077, 849462, 849528]",9,False,True,5896.76,True
"[845737, 830795, 845678, 845681, 830740, 830741]",6,False,True,2646.0,True
"[847600, 847601]",2,False,True,0.08,True
"[681482, 681483, 681476]",3,True,True,0.19,False
"[846288, 846364]",2,False,True,4.21,True
"[849326, 849327]",2,False,True,0.01,False
"[847803, 847804, 848894, 848895]",4,False,True,220.12,False
"[828169, 848878, 848893, 829107, 829108, 848733]",6,False,True,3579.16,False
"[849284, 849285]",2,False,True,0.01,True
"[848760, 848778]",2,False,True,4.28,False
"[848936, 848937, 848827, 848935]",4,True,True,24.81,True
"[849356, 849358]",2,False,True,0.02,False
"[848896, 848855]",2,False,True,3.12,True
"[843649, 810370, 777732, 792338, 810286, 783791, 811951, 800949, 807354, 838720, 785349, 792774, 812101, 805834, 810078, 767337, 778859, 808046, 813426, 813557, 809978, 775420]",22,False,True,12716.7,True
"[849043, 849045, 849118]",3,True,False,17.71,False
"[747366, 739175, 749193, 749194, 749196, 747892]",6,False,False,1439.73,False
