id,status,changes
25587,Non core,14
25553,Core,69
28370,Non core,8
24797,Non core,3
26040,Non core,58
30170,Non core,18
22713,Non core,4
29165,Non core,6
19124,Non core,4
29451,Non core,4
15309,Non core,107
19457,Core,46
11278,Core,327
29132,Non core,6
26299,Non core,5
28239,Non core,18
29238,Non core,7
24504,Non core,41
21537,Non core,183
18152,Non core,9
28608,Non core,13
10112,Non core,47
27738,Non core,6
28710,Non core,5
7822,Non core,183
15439,Non core,13
7065,Non core,287
20863,Non core,257
27056,Non core,8
21892,Non core,8
10670,Core,165
5624,Non core,11
28025,Non core,9
25048,Non core,3
9171,Core,311
26297,Non core,648
11479,Core,66
14270,Non core,18
18142,Non core,12
17109,Non core,13
8767,Non core,80
1063,Core,192
16258,Non core,27
396,Non core,8
20866,Non core,105
19159,Core,283
21830,Non core,19
17765,Core,131
25946,Non core,19
30154,Non core,5
30218,Non core,3
28889,Non core,12
15888,Non core,256
29657,Non core,5
29995,Non core,16
23717,Non core,112
8911,Core,93
128,Core,12
21797,Non core,270
25674,Core,44
27898,Non core,147
704,Core,84
2799,Core,1011
16520,Core,65
21723,Non core,48
18851,Non core,150
24132,Non core,30
21369,Non core,27
27459,Non core,11
19156,Non core,9
10980,Core,255
13323,Non core,204
9146,Non core,3
2271,Non core,457
23140,Non core,10
29793,Non core,12
26133,Non core,7
28373,Non core,38
16352,Core,623
11580,Core,46
21907,Non core,13
8768,Non core,58
26365,Non core,3
30132,Non core,3
16363,Non core,8
24687,Non core,13
26505,Non core,4
17120,Core,170
9076,Core,3
21451,Non core,13
15984,Core,487
29674,Non core,5
26569,Non core,9
15905,Core,482
2245,Core,150
24470,Non core,5
3217,Non core,6
18204,Non core,4
16963,Non core,5
10608,Core,169
29572,Non core,3
4,Core,963
8994,Non core,20
29383,Non core,19
24165,Non core,21
27458,Core,17
26968,Non core,13
28695,Non core,13
27060,Non core,18
27977,Non core,10
29960,Non core,5
16960,Non core,10
26286,Non core,9
17893,Core,64
29675,Non core,7
26139,Non core,13
16069,Core,7
10850,Core,131
27654,Core,186
24131,Non core,25
4355,Non core,121
20675,Non core,15
27983,Core,4
23163,Non core,784
27078,Non core,36
26196,Non core,6
12259,Non core,75
22899,Core,8
29254,Non core,3
8788,Non core,213
26925,Non core,4
26541,Non core,42
8757,Non core,25
