reviewer,projects_nbr,rev_status
4120,5,Non core
4126,1,Non core
4128,29,Non core
4141,2,Non core
4146,142,Core
4149,10,Non core
4159,7,Non core
4162,135,Core
4181,1,Non core
4184,5,Non core
4187,25,Core
4190,116,Core
4196,1,Non core
4200,4,Non core
4211,1,Non core
4214,5,Non core
4217,1,Non core
4219,4,Non core
4220,16,Non core
4234,4,Non core
4240,22,Non core
4257,122,Core
4264,64,Core
4268,24,Non core
4277,13,Non core
4284,2,Non core
4295,1,Non core
4299,7,Non core
4302,1,Non core
4303,4,Non core
4325,4,Non core
4326,1,Non core
4328,77,Non core
4330,30,Non core
4340,8,Non core
4355,20,Non core
4362,10,Non core
4375,43,Non core
4381,5,Non core
4393,63,Core
4395,53,Non core
4405,2,Non core
4411,3,Non core
4418,9,Non core
4419,7,Non core
4428,49,Core
4435,1,Non core
4453,1,Non core
4455,1,Non core
4458,26,Non core
4460,22,Non core
4461,1,Non core
4463,23,Non core
4468,5,Non core
4471,2,Non core
4473,1,Non core
4475,1,Non core
4476,1,Non core
4491,34,Non core
4517,1,Non core
4523,46,Core
4531,2,Non core
4556,5,Non core
4567,2,Non core
4571,98,Core
4573,15,Non core
4582,2,Non core
4592,2,Non core
4598,14,Non core
4601,10,Non core
4606,1,Non core
4608,13,Core
4610,1,Non core
4612,1,Non core
4625,12,Core
4630,1,Non core
4634,2,Non core
4642,1,Non core
4650,1,Non core
4656,53,Non core
4690,48,Core
4693,2,Non core
4694,57,Core
4703,3,Non core
4715,53,Core
4720,1,Non core
4726,3,Non core
4727,24,Non core
4894,9,Non core
4912,11,Non core
4919,2,Non core
4922,6,Non core
4938,1,Non core
4950,1,Non core
4953,1,Non core
4954,3,Non core
4978,52,Core
4987,4,Non core
4992,29,Non core
5003,4,Non core
5021,1,Non core
5044,13,Non core
5046,131,Core
5052,1,Non core
5055,7,Non core
5057,1,Non core
5063,3,Non core
5070,1,Non core
5090,1,Non core
5094,2,Non core
5109,6,Non core
5112,16,Non core
5118,2,Non core
5127,10,Non core
5149,5,Non core
5162,5,Non core
5164,15,Non core
5174,20,Non core
5189,4,Non core
5196,111,Core
5200,3,Non core
5202,34,Core
5203,3,Non core
5208,8,Non core
5209,7,Non core
5215,7,Non core
5217,10,Non core
5220,2,Non core
5222,3,Non core
5230,3,Non core
5240,1,Non core
5241,49,Non core
5258,2,Non core
5259,2,Non core
5262,3,Non core
5263,170,Core
5271,1,Non core
5280,13,Non core
5291,5,Non core
5292,28,Non core
5293,33,Non core
5300,4,Non core
5311,1,Non core
5313,13,Non core
5314,59,Core
5319,17,Non core
5334,1,Non core
5343,4,Non core
5347,6,Non core
5367,58,Core
5371,26,Core
5387,18,Non core
5390,13,Non core
5400,1,Non core
5410,1,Non core
5441,28,Non core
5447,1,Non core
5452,1,Non core
5460,5,Non core
5464,1,Non core
5477,3,Non core
5484,2,Non core
5489,1,Non core
5490,2,Non core
5499,3,Non core
5511,16,Non core
5520,1,Non core
5538,62,Non core
5545,27,Core
5557,1,Non core
5558,13,Non core
5559,8,Non core
5572,21,Non core
5574,1,Non core
5575,25,Non core
5576,1,Non core
5586,9,Non core
5600,12,Non core
5619,6,Non core
5623,55,Core
5624,4,Non core
5638,142,Core
5639,7,Non core
5650,2,Non core
5652,22,Non core
5653,1,Non core
5660,19,Core
5677,1,Non core
5678,3,Non core
5679,3,Non core
5689,69,Core
5690,14,Non core
5704,6,Non core
5706,3,Non core
5707,28,Non core
5718,2,Non core
5727,3,Non core
5733,13,Non core
5735,5,Non core
5743,1,Non core
5754,42,Core
5756,45,Core
5792,32,Non core
5803,63,Core
5805,32,Core
5828,4,Non core
5889,1,Non core
5890,2,Non core
5892,19,Non core
5906,2,Non core
5930,3,Non core
5948,41,Core
5950,29,Core
5956,3,Non core
5957,2,Non core
5961,2,Non core
5971,4,Non core
5995,3,Non core
5997,41,Core
6032,4,Non core
6039,28,Core
6043,12,Non core
6055,2,Non core
6059,1,Non core
6062,33,Non core
6072,28,Non core
6073,2,Non core
6076,1,Non core
6088,9,Non core
