reviewer,projects_nbr,rev_status
12529,1,Non core
12531,1,Non core
12534,3,Non core
12535,2,Non core
12536,1,Non core
12537,1,Non core
12542,31,Non core
12545,1,Non core
12547,4,Non core
12548,6,Non core
12549,130,Non core
12559,21,Non core
12561,19,Non core
12576,1,Non core
12578,2,Non core
12581,5,Non core
12582,6,Non core
12586,1,Non core
12588,11,Non core
12597,24,Non core
12604,15,Core
12605,1,Non core
12606,25,Non core
12609,18,Non core
12611,1,Non core
12612,37,Non core
12613,1,Non core
12614,1,Non core
12616,1,Non core
12620,1,Non core
12621,1,Non core
12624,3,Non core
12626,1,Non core
12629,1,Non core
12631,5,Non core
12632,11,Non core
12633,1,Non core
12634,6,Non core
12637,14,Non core
12639,1,Non core
12640,11,Non core
12641,1,Non core
12643,3,Non core
12645,1,Non core
12647,1,Non core
12651,14,Core
12654,1,Non core
12657,1,Non core
12659,1,Non core
12661,21,Non core
12664,1,Non core
12669,2,Non core
12670,13,Non core
12672,3,Non core
12673,7,Non core
12679,1,Non core
12683,4,Non core
12686,28,Non core
12692,8,Non core
12693,4,Non core
12697,1,Non core
12699,1,Non core
12703,1,Non core
12706,1,Non core
12707,7,Non core
12708,3,Non core
12709,1,Non core
12711,2,Non core
12712,26,Non core
12715,56,Non core
12716,2,Non core
12718,1,Non core
12721,2,Non core
12727,1,Non core
12732,15,Non core
12736,3,Non core
12737,3,Non core
12738,1,Non core
12740,1,Non core
12742,3,Non core
12743,1,Non core
12748,3,Non core
12749,5,Non core
12754,2,Non core
12758,15,Non core
12767,28,Non core
12768,1,Non core
12769,5,Non core
12770,2,Non core
12772,1,Non core
12773,3,Non core
12774,1,Non core
12782,2,Non core
12784,1,Non core
12794,2,Non core
12798,1,Non core
12802,6,Non core
12804,6,Non core
12807,64,Non core
12808,1,Non core
12812,1,Non core
12813,8,Non core
12814,7,Non core
12817,24,Core
12825,10,Non core
12826,62,Non core
12833,1,Non core
12834,2,Non core
12838,1,Non core
12840,2,Non core
12841,49,Non core
12843,1,Non core
12847,9,Non core
12848,1,Non core
12849,4,Non core
12850,12,Non core
12853,1,Non core
12857,5,Non core
12859,1,Non core
12860,38,Core
12861,4,Non core
12864,2,Non core
12866,6,Non core
12867,15,Non core
12869,3,Non core
12875,6,Non core
12877,1,Non core
12880,1,Non core
12882,6,Non core
12888,1,Non core
12892,31,Non core
12898,204,Core
12904,1,Non core
12905,1,Non core
12906,12,Non core
12907,12,Non core
12909,1,Non core
12912,7,Non core
12920,1,Non core
12924,19,Non core
12925,1,Non core
12927,16,Non core
12929,7,Non core
12930,3,Non core
12932,10,Non core
12936,1,Non core
12938,1,Non core
12942,5,Non core
12946,9,Non core
12947,7,Non core
12950,8,Non core
12952,59,Non core
12953,9,Non core
12954,3,Non core
12955,5,Non core
12959,3,Non core
12962,1,Non core
12963,3,Non core
12970,1,Non core
12972,9,Non core
12974,1,Non core
12983,1,Non core
12988,9,Non core
12994,4,Non core
12996,10,Non core
12999,12,Non core
13001,3,Non core
13002,4,Non core
13009,16,Non core
13010,1,Non core
13013,7,Non core
13015,1,Non core
13024,2,Non core
13037,7,Non core
13039,47,Non core
13046,1,Non core
13047,6,Non core
13055,20,Non core
13059,3,Non core
13063,21,Non core
13070,20,Core
13071,2,Non core
13075,2,Non core
13079,1,Non core
13082,13,Non core
13084,7,Non core
13086,2,Non core
13089,2,Non core
13094,1,Non core
13095,82,Core
13097,1,Non core
13103,1,Non core
13104,2,Non core
13107,5,Non core
13108,1,Non core
13109,1,Non core
13111,46,Non core
13115,1,Non core
13118,3,Non core
13124,13,Non core
13129,2,Non core
13130,1,Non core
13134,15,Non core
13140,6,Non core
13149,15,Core
13151,3,Non core
13152,2,Non core
13154,1,Non core
13156,1,Non core
13157,11,Non core
13158,3,Non core
13161,20,Non core
13167,5,Non core
13169,2,Non core
13173,3,Non core
13175,1,Non core
13176,6,Non core
13177,26,Non core
13178,10,Non core
13187,1,Non core
13192,24,Core
13194,11,Non core
13196,1,Non core
13197,1,Non core
13198,2,Non core
13201,2,Non core
13203,7,Non core
13206,2,Non core
13207,2,Non core
13208,1,Non core
13215,2,Non core
13217,1,Non core
13227,8,Non core
13229,4,Non core
13242,2,Non core
13243,1,Non core
13248,12,Non core
13252,128,Core
13258,8,Non core
13263,1,Non core
13264,1,Non core
13266,2,Non core
13268,1,Non core
13273,8,Non core
13274,6,Core
13276,1,Non core
13278,1,Non core
13279,1,Non core
13289,13,Non core
13290,34,Non core
13291,1,Non core
13294,91,Core
13295,16,Non core
13297,2,Non core
13300,6,Non core
13305,1,Non core
13306,9,Non core
13308,5,Non core
13309,1,Non core
13318,5,Non core
13320,2,Non core
13323,25,Non core
13325,8,Non core
13334,4,Non core
13335,1,Non core
13340,22,Non core
13341,2,Non core
13342,3,Non core
13343,16,Non core
13344,25,Non core
13350,1,Non core
13352,4,Non core
13353,1,Non core
13354,7,Non core
13355,7,Non core
13356,3,Non core
13358,1,Non core
13360,3,Non core
13362,26,Core
13367,1,Non core
13370,5,Non core
13372,8,Non core
13375,2,Non core
13376,3,Non core
13377,4,Non core
13380,24,Core
13383,1,Non core
13384,2,Non core
13386,2,Non core
13390,3,Non core
13397,2,Non core
13401,1,Non core
13404,43,Non core
13409,11,Non core
13413,3,Non core
13420,12,Non core
13425,20,Core
13426,6,Non core
13431,12,Non core
13438,17,Non core
13445,15,Non core
13447,5,Non core
13454,8,Non core
13456,1,Non core
13458,11,Non core
13461,5,Non core
13463,4,Non core
13466,1,Non core
13470,2,Non core
13471,1,Non core
13474,1,Non core
13478,34,Non core
13481,1,Non core
13484,5,Non core
13485,12,Non core
13487,2,Non core
13497,1,Non core
13498,1,Non core
13499,14,Non core
13505,20,Non core
13507,7,Non core
13510,3,Non core
13511,5,Non core
13515,2,Non core
13516,5,Non core
13518,2,Non core
13520,2,Non core
13523,3,Non core
13524,3,Non core
13525,4,Non core
13527,8,Non core
13530,2,Non core
13535,1,Non core
13537,4,Non core
13539,3,Non core
13540,2,Non core
13546,2,Non core
13547,1,Non core
13551,2,Non core
13552,1,Non core
13553,1,Non core
13555,6,Non core
13557,7,Non core
13559,1,Non core
13560,17,Non core
13562,20,Non core
13564,9,Non core
13575,1,Non core
13581,1,Non core
13582,1,Non core
13587,3,Non core
13595,4,Non core
13604,2,Non core
13606,1,Non core
13608,1,Non core
13609,11,Non core
13623,3,Non core
13629,25,Core
13630,11,Non core
13634,2,Non core
13635,7,Non core
13636,36,Non core
13637,22,Core
13641,1,Non core
13642,9,Non core
13644,2,Non core
13649,1,Non core
13655,2,Non core
13658,1,Non core
13660,8,Non core
13661,2,Non core
13662,6,Non core
13663,3,Non core
13664,9,Non core
13665,2,Non core
13667,9,Non core
13670,10,Non core
13671,16,Non core
13686,131,Non core
13689,24,Non core
13692,23,Core
13693,4,Non core
13697,3,Non core
13702,62,Core
13705,4,Non core
13706,1,Non core
13708,1,Non core
13715,1,Non core
13717,17,Non core
13719,21,Non core
13720,8,Non core
13721,1,Non core
13728,1,Non core
13729,1,Non core
13733,1,Non core
13734,22,Core
13737,1,Non core
13741,2,Non core
13744,1,Non core
13747,13,Non core
13752,36,Non core
13753,3,Non core
13755,1,Non core
13761,1,Non core
13762,9,Non core
13768,5,Non core
13770,14,Core
13771,8,Non core
13777,13,Non core
13781,7,Core
13784,2,Non core
13785,8,Non core
13786,2,Non core
13790,12,Non core
13792,1,Non core
13795,1,Non core
13801,1,Non core
13805,9,Non core
13807,6,Non core
13809,2,Non core
13814,1,Non core
13816,2,Non core
13817,2,Non core
13818,1,Non core
13819,2,Non core
13826,1,Non core
13832,1,Non core
13833,1,Non core
13840,8,Non core
13845,2,Non core
13852,1,Non core
13858,1,Non core
13861,144,Core
13864,1,Non core
13866,1,Non core
13868,7,Non core
13869,6,Non core
13873,2,Non core
13875,1,Non core
13878,1,Non core
13883,20,Non core
13887,2,Non core
13895,17,Non core
13900,19,Non core
13906,1,Non core
13908,3,Non core
13909,5,Non core
13912,13,Non core
13914,4,Non core
13915,12,Non core
13917,4,Non core
13919,31,Non core
13923,3,Non core
13924,1,Non core
13925,3,Non core
13926,2,Non core
13931,6,Non core
13933,12,Non core
13938,2,Non core
13940,17,Core
13943,1,Non core
13948,23,Non core
13949,1,Non core
13950,1,Non core
13953,22,Non core
13961,2,Non core
13962,43,Core
13963,2,Non core
13966,1,Non core
13968,3,Non core
13972,1,Non core
13976,1,Non core
13979,5,Non core
13984,5,Non core
13988,7,Non core
13990,1,Non core
13991,1,Non core
13995,91,Core
13997,73,Non core
13998,24,Non core
14000,3,Non core
14003,1,Non core
14005,3,Non core
14007,53,Non core
14010,33,Non core
14014,4,Non core
14015,1,Non core
14018,1,Non core
14021,2,Non core
14024,1,Non core
14025,3,Non core
14026,1,Non core
14027,35,Non core
14028,5,Non core
14029,4,Non core
14030,4,Non core
14033,23,Non core
14036,3,Non core
14037,3,Non core
14039,9,Non core
14042,2,Non core
14043,1,Non core
14045,1,Non core
14046,29,Non core
14049,3,Non core
14051,3,Non core
14057,17,Non core
14059,1,Non core
14063,4,Non core
14064,6,Non core
14070,86,Core
14071,1,Non core
14072,1,Non core
14075,1,Non core
14078,1,Non core
14082,15,Non core
14084,44,Non core
14088,5,Non core
14090,3,Non core
14091,12,Core
14095,2,Non core
14099,1,Non core
14101,56,Core
14102,17,Non core
14103,35,Non core
14104,4,Non core
14105,1,Non core
14107,107,Core
14109,1,Non core
14118,1,Non core
14119,32,Core
14121,2,Non core
14123,47,Non core
14124,14,Core
14125,1,Non core
14131,17,Core
14132,2,Non core
14135,1,Non core
14138,1,Non core
14139,1,Non core
14143,1,Non core
14151,118,Non core
14154,5,Non core
14158,1,Non core
14159,8,Non core
14162,10,Non core
14164,7,Non core
14165,1,Non core
14167,12,Non core
14168,13,Non core
14173,6,Non core
14174,1,Non core
14176,2,Non core
14180,2,Non core
14186,1,Non core
14195,2,Non core
14200,59,Core
14202,2,Non core
14203,20,Core
14211,1,Non core
14215,1,Non core
14216,2,Non core
14225,1,Non core
14226,1,Non core
14227,3,Non core
14228,10,Non core
14229,1,Non core
14230,2,Non core
14232,19,Non core
14237,3,Non core
14238,1,Non core
14241,1,Non core
14248,3,Non core
14249,6,Non core
14250,68,Core
14252,1,Non core
14253,1,Non core
14257,11,Non core
14258,4,Non core
14263,1,Non core
14265,14,Non core
14266,1,Non core
14269,2,Non core
14270,13,Non core
14271,20,Non core
14272,2,Non core
14273,22,Non core
14274,5,Non core
14277,2,Non core
14283,1,Non core
14287,17,Non core
14288,91,Core
14296,1,Non core
14303,1,Non core
14305,13,Non core
14307,12,Non core
14310,1,Non core
14313,1,Non core
14314,1,Non core
14316,14,Non core
14318,23,Non core
14320,96,Non core
14322,1,Non core
14323,3,Non core
14331,1,Non core
14339,6,Non core
14340,11,Core
14342,7,Non core
14345,8,Non core
14347,3,Non core
14348,17,Core
14352,34,Core
14355,5,Non core
14356,2,Non core
14357,8,Non core
14358,13,Non core
14360,2,Non core
14363,6,Non core
14365,1,Non core
14367,1,Non core
14369,6,Non core
14372,12,Core
14373,2,Non core
14374,56,Non core
14375,2,Non core
14377,6,Non core
14379,15,Non core
14387,2,Non core
14394,5,Core
14396,14,Non core
14398,1,Non core
14405,1,Non core
14413,2,Non core
14418,1,Non core
14420,4,Non core
14421,9,Non core
14425,1,Non core
14427,1,Non core
14428,12,Non core
14439,3,Non core
14440,1,Non core
14445,4,Non core
14447,6,Non core
14448,1,Non core
14453,3,Non core
14455,4,Non core
14457,2,Non core
14468,1,Non core
14473,4,Non core
14474,1,Non core
14475,1,Non core
14482,47,Core
14484,1,Non core
14485,2,Non core
14486,1,Non core
14489,4,Non core
14490,1,Non core
14495,14,Non core
14496,10,Non core
14508,2,Non core
14509,17,Core
14510,28,Non core
14511,13,Non core
14512,1,Non core
14513,1,Non core
14517,17,Non core
14522,2,Non core
14525,70,Core
14532,7,Non core
14535,6,Non core
14536,4,Non core
14538,5,Non core
14539,1,Non core
14540,2,Non core
14543,20,Non core
14551,4,Non core
14552,28,Non core
14553,1,Non core
14554,1,Non core
14556,12,Non core
14562,7,Non core
14565,1,Non core
14567,65,Non core
14570,12,Non core
14573,2,Non core
14575,2,Non core
14576,7,Non core
14577,2,Non core
14578,6,Non core
14581,4,Core
14589,1,Non core
14591,11,Non core
14593,1,Non core
14594,5,Non core
14598,3,Non core
14605,26,Core
14606,7,Non core
14608,1,Non core
14609,1,Non core
14610,17,Non core
14611,70,Non core
14613,2,Non core
14614,56,Non core
14615,15,Non core
14619,30,Non core
14620,3,Non core
14624,14,Non core
14626,1,Non core
14629,1,Non core
14643,29,Non core
14648,2,Non core
14649,1,Non core
14652,2,Non core
14653,1,Non core
14655,4,Non core
14656,1,Non core
14664,2,Non core
14668,1,Non core
14672,1,Non core
14674,3,Non core
14675,14,Non core
14676,24,Non core
14680,10,Non core
14683,1,Non core
14687,2,Non core
14689,16,Non core
14691,7,Non core
14692,6,Non core
14700,4,Non core
14702,3,Non core
14708,12,Non core
14709,1,Non core
14711,1,Non core
14720,1,Non core
14725,1,Non core
14726,5,Non core
14727,1,Non core
14732,1,Non core
14743,10,Non core
14744,6,Non core
14748,1,Non core
14749,17,Non core
14753,1,Non core
14754,1,Non core
14757,12,Non core
14758,12,Non core
14760,50,Non core
14762,4,Non core
14764,9,Non core
14766,4,Non core
14768,6,Non core
14770,1,Non core
14771,1,Non core
14774,2,Non core
14777,1,Non core
14779,1,Non core
14786,1,Non core
14790,29,Core
14791,1,Non core
14792,1,Non core
14794,3,Non core
14795,2,Non core
14798,1,Non core
14802,1,Non core
14805,70,Non core
14806,18,Core
14807,19,Non core
14810,10,Non core
14813,1,Non core
14815,1,Non core
14817,2,Non core
14819,14,Non core
14820,2,Non core
14823,5,Non core
14824,2,Non core
14826,59,Core
14829,4,Non core
14831,8,Non core
14838,2,Non core
14840,6,Non core
14844,9,Non core
14845,1,Non core
14852,4,Non core
14853,1,Non core
14862,4,Non core
14863,6,Non core
14864,9,Non core
14865,8,Non core
14867,66,Non core
14870,2,Non core
14878,1,Non core
14884,4,Non core
14885,58,Core
14886,6,Non core
14887,3,Non core
14888,5,Non core
14889,2,Non core
14890,4,Non core
14891,8,Non core
14892,19,Non core
14900,1,Non core
14907,8,Non core
14908,16,Non core
14910,1,Non core
14912,4,Non core
14914,6,Non core
14917,2,Non core
14920,15,Non core
14923,12,Non core
14924,2,Non core
14926,16,Non core
14927,3,Non core
14937,24,Non core
14943,9,Non core
14946,9,Non core
14947,32,Non core
14948,2,Non core
14955,4,Non core
14957,10,Non core
14962,30,Non core
14963,5,Non core
14965,1,Non core
14966,16,Non core
14967,16,Non core
14971,2,Non core
14972,5,Non core
14973,3,Non core
14981,17,Non core
14982,1,Non core
14985,188,Core
14991,4,Non core
15000,2,Non core
15002,6,Non core
15005,4,Non core
15007,17,Core
15011,3,Non core
15012,1,Non core
15019,1,Non core
15022,15,Non core
15023,2,Non core
15025,11,Non core
15027,16,Non core
15029,1,Non core
15041,3,Non core
15042,1,Non core
15054,48,Core
15057,1,Non core
15062,5,Non core
15064,5,Non core
15068,19,Non core
15069,7,Non core
15070,13,Non core
15074,5,Non core
15075,1,Non core
15077,1,Non core
15081,2,Non core
15083,1,Non core
15089,1,Non core
15090,17,Non core
15093,4,Non core
15095,1,Non core
15100,22,Non core
15101,4,Non core
15106,1,Non core
15111,1,Non core
15112,1,Non core
15113,1,Non core
15121,1,Non core
15122,14,Non core
15123,15,Non core
15125,2,Non core
15129,1,Non core
15130,13,Non core
15132,1,Non core
15140,6,Non core
15142,1,Non core
15149,2,Non core
15152,1,Non core
15165,2,Non core
15167,1,Non core
15168,51,Core
15171,9,Non core
15173,2,Non core
15177,1,Non core
15178,14,Non core
15182,1,Non core
15184,9,Non core
15192,11,Non core
15197,71,Core
15205,6,Non core
15206,10,Non core
15207,1,Non core
15209,12,Non core
15210,1,Non core
15212,2,Non core
15222,4,Non core
15225,11,Non core
15226,16,Non core
15232,10,Core
15233,5,Non core
15237,8,Non core
15241,1,Non core
15243,19,Non core
15248,8,Non core
15252,1,Non core
15254,4,Non core
15258,1,Non core
15259,7,Core
15260,1,Non core
15263,1,Non core
15265,1,Non core
15270,3,Non core
15274,4,Non core
15279,6,Non core
15280,1,Non core
15285,1,Non core
15287,2,Non core
15288,1,Non core
15289,1,Non core
15293,12,Core
15294,1,Non core
15299,2,Non core
15302,1,Non core
15304,1,Non core
15307,16,Non core
15309,36,Non core
15311,8,Non core
15312,1,Non core
15313,20,Non core
15315,7,Non core
15321,9,Non core
15326,6,Non core
15330,2,Non core
15333,9,Non core
15334,162,Core
15335,8,Non core
15337,2,Non core
15338,2,Non core
15341,1,Non core
15342,5,Non core
15343,38,Core
15346,2,Core
15353,10,Non core
15356,1,Non core
15358,7,Non core
15359,40,Non core
15361,6,Non core
15362,15,Non core
15369,2,Non core
15371,14,Non core
15372,1,Non core
15373,7,Non core
15376,4,Non core
15382,10,Non core
15383,2,Non core
15388,2,Non core
15392,3,Non core
15396,1,Non core
15405,1,Non core
15409,4,Non core
15415,5,Non core
15424,13,Non core
15425,3,Non core
15426,7,Non core
15427,5,Non core
15429,5,Non core
15434,1,Non core
15435,2,Non core
15439,3,Non core
15446,1,Non core
15447,8,Non core
15452,2,Non core
15454,17,Non core
15456,1,Non core
15465,1,Non core
15470,4,Non core
15471,43,Non core
15478,2,Non core
15482,36,Non core
15484,2,Non core
15486,1,Non core
15487,1,Non core
15488,5,Non core
15492,7,Non core
15494,1,Non core
15497,1,Non core
15501,3,Non core
15502,2,Non core
15506,1,Non core
15511,1,Non core
15512,1,Non core
15513,3,Non core
15514,1,Non core
15515,12,Core
15518,7,Non core
15519,104,Core
15524,37,Non core
15526,5,Non core
15527,3,Non core
15529,1,Non core
15530,1,Non core
15536,1,Non core
15540,1,Non core
15547,2,Non core
15550,1,Non core
15553,1,Non core
15554,37,Non core
15556,4,Non core
15598,1,Non core
15637,8,Non core
15639,1,Non core
15640,12,Non core
15641,1,Non core
15642,7,Non core
15644,4,Non core
15648,7,Non core
15653,1,Non core
15660,6,Non core
15672,5,Non core
15674,6,Non core
15675,5,Non core
15685,33,Non core
15692,13,Non core
15697,3,Non core
15699,42,Non core
15701,9,Non core
15727,2,Non core
15729,2,Non core
15732,1,Non core
15736,15,Non core
15739,4,Non core
15741,2,Non core
15742,22,Non core
15750,10,Non core
15755,20,Non core
15760,1,Non core
15761,1,Non core
15762,1,Non core
15763,1,Non core
15764,1,Non core
15769,2,Non core
15778,1,Non core
15784,16,Non core
15787,1,Non core
15792,2,Non core
15799,11,Non core
15804,5,Non core
15810,2,Non core
15815,1,Non core
15816,3,Non core
15818,2,Non core
15822,2,Non core
15823,3,Non core
15825,8,Non core
15830,3,Non core
15831,2,Non core
15832,2,Non core
15834,10,Non core
15843,1,Non core
15847,5,Non core
15852,2,Non core
15854,1,Non core
15857,15,Core
15862,2,Non core
15867,4,Non core
15881,12,Non core
15882,8,Non core
15888,38,Non core
15890,1,Non core
15894,2,Non core
15895,32,Core
15903,4,Non core
15904,5,Non core
15905,79,Core
15907,10,Non core
15910,2,Non core
15914,1,Non core
15917,15,Non core
15920,2,Non core
15921,10,Non core
15922,8,Non core
15926,1,Non core
15929,11,Non core
15932,5,Non core
15934,3,Non core
15935,3,Non core
15943,12,Non core
15944,1,Non core
15950,13,Non core
15952,2,Non core
15961,11,Non core
15966,2,Non core
15967,16,Non core
15984,19,Core
15989,3,Non core
15993,101,Core
16001,1,Non core
16002,5,Non core
16003,1,Non core
16006,40,Non core
16010,1,Non core
16011,67,Core
16012,2,Non core
16019,2,Non core
16022,1,Non core
16027,4,Non core
16034,49,Non core
16036,3,Non core
16039,3,Non core
16046,18,Non core
16047,6,Non core
16049,6,Non core
16051,59,Non core
16053,2,Non core
16054,4,Non core
16059,3,Non core
16062,2,Non core
16064,3,Non core
16066,18,Non core
16068,14,Non core
16069,3,Core
16077,1,Non core
16095,1,Non core
16097,1,Non core
16100,2,Non core
16104,1,Non core
16106,16,Non core
16109,2,Non core
16110,1,Non core
16115,3,Non core
16116,1,Non core
16121,1,Non core
16122,1,Non core
16123,1,Non core
16124,2,Non core
16129,2,Non core
16132,4,Non core
16137,85,Core
16139,1,Non core
16142,1,Non core
16145,1,Non core
16150,17,Non core
16157,8,Non core
16164,2,Non core
16165,1,Non core
16168,34,Non core
16170,5,Non core
16171,11,Non core
16172,4,Non core
16173,2,Non core
16174,1,Non core
16177,1,Non core
16183,4,Non core
16186,1,Non core
16190,3,Non core
16195,1,Non core
16197,10,Non core
16198,25,Non core
16203,15,Non core
16204,12,Non core
16206,10,Non core
16207,3,Non core
16208,3,Non core
16210,1,Non core
16211,3,Non core
16212,10,Non core
16222,50,Core
16226,4,Non core
16233,13,Non core
16234,6,Non core
16237,430,Non core
16238,1,Non core
16242,2,Non core
16244,1,Non core
16246,6,Non core
16249,4,Non core
16251,1,Non core
16253,8,Non core
16257,1,Non core
16258,9,Non core
16259,2,Non core
16261,2,Non core
16264,5,Non core
16268,1,Non core
16270,1,Non core
16272,293,Non core
16273,3,Non core
16274,14,Core
16277,21,Core
16278,2,Non core
16282,48,Non core
16289,5,Non core
16292,3,Non core
16297,7,Non core
16305,6,Non core
16308,22,Non core
16310,22,Core
16311,1,Non core
16312,100,Core
16318,7,Non core
16322,2,Non core
16330,5,Non core
16335,1,Non core
16339,17,Non core
16341,2,Non core
16347,11,Non core
16351,2,Non core
16352,80,Core
16353,7,Non core
16356,3,Non core
16358,12,Non core
16363,6,Non core
16365,8,Non core
16367,13,Non core
16372,1,Non core
16373,1,Non core
16374,3,Non core
16381,2,Non core
16382,2,Non core
16385,3,Non core
16389,2,Non core
16392,3,Non core
16412,4,Non core
16414,11,Non core
16415,2,Non core
16419,4,Non core
16421,7,Non core
16425,2,Non core
16426,2,Non core
16428,1,Non core
16429,1,Non core
16433,5,Non core
16436,1,Non core
16437,9,Non core
16439,1,Non core
16444,1,Non core
16448,13,Non core
16451,2,Non core
16452,1,Non core
16460,3,Non core
16463,1,Non core
16465,25,Core
16473,1,Non core
16476,2,Non core
16477,1,Non core
16479,34,Non core
16481,1,Non core
16482,3,Non core
16489,2,Non core
16490,1,Non core
16493,1,Non core
16495,9,Non core
16501,2,Non core
16502,2,Non core
16511,13,Core
16513,4,Non core
16515,34,Non core
16518,29,Non core
16520,6,Core
16522,6,Non core
16523,36,Non core
16530,9,Non core
16531,1,Non core
16532,7,Non core
16540,1,Non core
16544,1,Non core
16550,3,Non core
16551,5,Core
16553,6,Non core
16557,4,Non core
16558,5,Non core
16561,2,Non core
16572,1,Non core
16574,22,Non core
16575,1,Non core
16580,1,Non core
16586,2,Non core
16590,3,Non core
16592,2,Non core
16615,18,Non core
16618,6,Non core
16620,6,Non core
16622,2,Non core
16625,9,Non core
16627,3,Non core
16628,30,Core
16631,1,Non core
16635,12,Non core
16643,67,Core
16646,3,Non core
16649,2,Non core
16650,1,Non core
16652,3,Non core
16658,8,Non core
16659,1,Non core
16666,2,Non core
16668,2,Non core
16670,2,Non core
16679,10,Non core
16683,14,Non core
16686,1,Non core
16687,4,Non core
16688,78,Core
16690,21,Non core
16693,1,Non core
16701,3,Non core
16702,1,Non core
16703,3,Non core
16704,4,Non core
16707,37,Non core
16708,62,Core
16710,15,Non core
16713,3,Non core
16714,1,Non core
16721,3,Non core
16754,1,Non core
16759,2,Non core
16760,2,Non core
16768,14,Core
16769,4,Non core
16770,1,Non core
16771,38,Non core
16774,11,Non core
16781,2,Non core
16788,25,Core
16793,3,Non core
16794,4,Non core
16796,1,Non core
16797,5,Non core
16799,3,Non core
16800,10,Non core
16801,3,Non core
16803,29,Non core
16806,5,Non core
16814,4,Non core
16816,1,Non core
16819,8,Non core
16821,1,Non core
16828,2,Non core
16831,1,Non core
16832,2,Non core
16833,2,Non core
16839,6,Non core
16840,3,Non core
16844,1,Non core
16845,17,Non core
16853,4,Non core
16871,33,Non core
16873,1,Non core
16877,1,Non core
16881,13,Non core
16883,3,Non core
16888,1,Non core
16895,2,Non core
16896,330,Non core
16901,2,Non core
16907,20,Non core
16908,1,Non core
16910,2,Non core
16911,1,Non core
16914,3,Non core
16917,8,Non core
16918,1,Non core
16922,1,Non core
16924,1,Non core
16927,2,Non core
16929,10,Non core
16934,8,Non core
16935,11,Non core
16939,4,Non core
16945,2,Non core
16949,3,Non core
16953,4,Non core
16957,13,Non core
16958,3,Non core
16960,3,Non core
16962,4,Non core
16963,7,Non core
16964,3,Non core
16965,1,Non core
16973,4,Non core
16975,1,Non core
16979,1,Non core
16982,4,Non core
16983,10,Non core
16984,16,Core
16985,1,Non core
16986,35,Non core
16987,1,Non core
16989,1,Non core
16990,1,Non core
16991,5,Non core
16993,5,Non core
16994,1,Non core
16997,1,Non core
16999,1,Non core
17001,20,Core
17002,1,Non core
17004,1,Non core
17005,5,Non core
17013,5,Non core
17019,10,Non core
17021,2,Non core
17022,1,Non core
17026,10,Non core
17030,1,Non core
17031,2,Non core
17033,3,Non core
17034,2,Non core
17035,1,Non core
17036,1,Non core
17038,1,Non core
17041,1,Non core
17042,4,Non core
17043,15,Non core
17044,7,Non core
17045,3,Non core
17046,1,Non core
17054,1,Non core
17056,2,Non core
17057,5,Non core
17058,1,Non core
17063,1,Non core
17068,150,Core
17070,6,Non core
17073,1,Non core
17080,1,Non core
17081,13,Non core
17089,8,Non core
17090,3,Non core
17097,19,Non core
17098,3,Non core
17101,1,Non core
17104,17,Non core
17107,1,Non core
17108,28,Non core
17109,4,Non core
17114,2,Non core
17116,12,Non core
17119,7,Non core
17120,43,Core
17123,24,Non core
17126,6,Non core
17130,463,Non core
17132,1,Non core
17133,6,Non core
17135,1,Non core
17136,1,Non core
17139,8,Non core
17144,1,Non core
17147,2,Non core
17150,1,Non core
17151,19,Core
17156,5,Core
17157,2,Non core
17160,15,Non core
17166,2,Non core
17168,1,Non core
17169,7,Non core
17172,11,Non core
17175,2,Non core
17177,2,Non core
17179,2,Non core
17180,12,Non core
17186,1,Non core
17190,3,Non core
17192,16,Non core
17199,1,Non core
17200,1,Non core
17202,1,Non core
17203,1,Non core
17207,44,Non core
17208,1,Non core
17211,44,Non core
17214,4,Non core
17215,1,Non core
17216,35,Non core
17217,2,Non core
17218,8,Non core
17222,1,Non core
17224,3,Non core
17225,19,Non core
17227,1,Non core
17236,2,Non core
17239,1,Non core
17243,4,Non core
17244,7,Non core
17245,3,Non core
17248,1,Non core
17251,8,Non core
17254,5,Non core
17255,11,Core
17256,4,Non core
17257,2,Non core
17261,13,Non core
17264,7,Non core
17265,1,Non core
17268,2,Non core
17270,26,Non core
17272,2,Non core
17274,4,Non core
17275,40,Non core
17276,1,Non core
17277,6,Non core
17280,29,Non core
17281,2,Non core
17285,6,Non core
17287,2,Non core
17288,1,Non core
17289,3,Non core
17292,7,Non core
17293,2,Non core
17302,1,Non core
17303,1,Non core
17305,2,Non core
17321,1,Non core
17322,1,Non core
17327,2,Non core
17331,9,Non core
17332,2,Non core
17333,2,Non core
17352,10,Non core
17354,1,Non core
17357,2,Non core
17360,7,Non core
17361,5,Non core
17362,1,Non core
17363,5,Core
17368,4,Non core
17372,2,Non core
17377,7,Non core
17386,9,Core
17390,1,Non core
17391,1,Non core
17392,1,Non core
17399,5,Non core
17405,6,Non core
17409,1,Non core
17412,1,Non core
17418,1,Non core
17419,7,Non core
17425,7,Non core
17430,4,Non core
17432,1,Non core
17435,1,Non core
17436,2,Non core
17438,1,Non core
17440,2,Non core
17444,5,Non core
17445,17,Non core
17446,1,Non core
17448,3,Core
17450,3,Non core
17453,1,Non core
17455,14,Non core
17456,3,Non core
17457,1,Non core
17465,2,Non core
17476,5,Non core
17478,2,Non core
17480,2,Non core
17481,1,Non core
17484,6,Non core
17487,1,Non core
