team,intersection,status
horizon,25.0,Core
horizon,15.0,Core
horizon,25.0,Core
horizon,33.333333333333336,Core
horizon,31.25,Core
horizon,85.71428571428571,Core
horizon,100.0,Core
horizon,25.0,Core
horizon,15.789473684210526,Core
horizon,28.571428571428573,Core
horizon,15.789473684210526,Core
horizon,26.666666666666668,Core
horizon,35.714285714285715,Core
horizon,33.333333333333336,Core
horizon,100.0,Core
horizon,25.0,Core
horizon,15.789473684210526,Core
horizon,28.571428571428573,Core
horizon,15.789473684210526,Core
horizon,26.666666666666668,Core
horizon,35.714285714285715,Core
horizon,33.333333333333336,Core
horizon,100.0,Core
horizon,11.11111111111111,Core
horizon,75.0,Core
horizon,11.11111111111111,Core
horizon,13.333333333333334,Core
horizon,21.428571428571427,Core
horizon,20.0,Core
horizon,25.0,Core
horizon,5.555555555555555,Core
horizon,39.130434782608695,Core
horizon,45.0,Core
horizon,61.11111111111112,Core
horizon,36.36363636363637,Core
horizon,15.789473684210526,Core
horizon,5.555555555555555,Core
horizon,6.666666666666667,Core
horizon,14.285714285714286,Core
horizon,13.333333333333334,Core
horizon,28.571428571428573,Core
horizon,52.63157894736842,Core
horizon,52.63157894736842,Core
horizon,36.36363636363637,Core
horizon,15.789473684210526,Core
horizon,52.94117647058823,Core
horizon,68.75,Core
horizon,26.666666666666668,Core
horizon,42.10526315789474,Core
horizon,35.714285714285715,Core
horizon,33.333333333333336,Core
horizon,0.821917808219178,Non-core
horizon,8.868778280542987,Non-core
horizon,3.670546105640108,Non-core
horizon,0.8241758241758241,Non-core
horizon,0.9174311926605504,Non-core
horizon,0.9174311926605504,Non-core
horizon,0.6416131989000916,Non-core
horizon,0.6422018348623854,Non-core
horizon,0.1834862385321101,Non-core
horizon,0.1834862385321101,Non-core
horizon,0.2752293577981651,Non-core
horizon,0.091743119266055,Non-core
horizon,0.091743119266055,Non-core
horizon,0.9174311926605504,Non-core
horizon,0.5504587155963303,Non-core
horizon,0.8256880733944955,Non-core
horizon,0.6422018348623854,Non-core
horizon,0.091743119266055,Non-core
horizon,0.5499541704857929,Non-core
horizon,0.1834862385321101,Non-core
horizon,0.8256880733944955,Non-core
horizon,0.1834862385321101,Non-core
horizon,0.1834862385321101,Non-core
horizon,0.1834862385321101,Non-core
horizon,0.091743119266055,Non-core
horizon,0.7339449541284404,Non-core
horizon,0.091743119266055,Non-core
horizon,0.9174311926605504,Non-core
horizon,0.7339449541284404,Non-core
horizon,0.5504587155963303,Non-core
horizon,0.7339449541284404,Non-core
horizon,0.1834862385321101,Non-core
horizon,4.958677685950414,Non-core
horizon,3.79746835443038,Non-core
horizon,13.636363636363637,Non-core
horizon,14.285714285714286,Non-core
horizon,14.285714285714286,Non-core
horizon,15.789473684210526,Non-core
horizon,10.526315789473683,Non-core
horizon,0.0,Non-core
horizon,0.0,Non-core
horizon,21.428571428571427,Non-core
horizon,0.0,Non-core
horizon,0.0,Non-core
horizon,9.090909090909092,Non-core
horizon,11.11111111111111,Non-core
horizon,15.0,Non-core
horizon,16.666666666666668,Non-core
horizon,0.0,Non-core
horizon,16.666666666666668,Non-core
horizon,14.285714285714286,Non-core
horizon,15.0,Non-core
horizon,14.285714285714286,Non-core
horizon,14.285714285714286,Non-core
horizon,14.285714285714286,Non-core
horizon,0.0,Non-core
horizon,15.789473684210526,Non-core
horizon,0.0,Non-core
horizon,9.090909090909092,Non-core
horizon,15.789473684210526,Non-core
horizon,17.647058823529413,Non-core
horizon,15.789473684210526,Non-core
horizon,14.285714285714286,Non-core
horizon,4.022988505747127,Non-core
horizon,6.896551724137931,Non-core
horizon,6.956521739130435,Non-core
horizon,7.894736842105263,Non-core
horizon,5.217391304347826,Non-core
horizon,5.2631578947368425,Non-core
horizon,0.0,Non-core
horizon,0.0,Non-core
horizon,2.6548672566371683,Non-core
horizon,0.0,Non-core
horizon,0.0,Non-core
horizon,5.128205128205129,Non-core
horizon,4.385964912280702,Non-core
