repo,developers,devs_count
networking-calico-core,"[27983, 13734, 19461]",3
shotgun-core,"[8392, 3009]",2
fuel-plugin-murano-core,"[6547, 7745, 7732, 15168, 14372, 13962]",6
fuel-web-core,"[8392, 10959, 18205, 19158, 8786]",5
fuel-plugins-core,"[8749, 10391, 19158]",3
fuel-virtualbox-core,"[10391, 14200, 12817, 13274, 3009]",5
fuel-ostf-core,"[8907, 8882]",2
fuel-qa-core,"[19119, 10136, 11081, 11969, 8882, 15984]",6
fuel-specs-core,"[8392, 14985, 6926, 18205, 10391, 8766, 8777, 8735, 3009, 8786]",10
fuel-nailgun-agent-core,"[3009, 8776]",2
fuel-mirror-core,"[14348, 18205, 9582, 8749, 10391, 12817, 10474, 3009]",8
fuel-menu-core,"[8392, 10443, 10391, 3009]",4
fuel-main-core,"[10391, 12817, 3009]",3
fuel-ui-core,"[8766, 8735]",2
fuel-library-core,"[9387, 14985, 6926, 7745, 14200, 7195, 11090, 11827, 8786]",9
fuel-stats-core,"[8392, 10959, 6547, 8735]",4
fuel-astute-core,"[3009, 8776]",2
fuel-octane-core,"[6547, 1531, 6677, 1464, 19157, 708]",6
tuning-box-core,"[10959, 6547, 6677, 708]",4
python-fuelclient-core,"[8392, 6623, 18446]",3
neutron-interconnection-core,"[4694, 12021, 19990]",3
openstack-ansible-os_zaqar-core,"[6484, 6732]",2
openstack-ansible-os_watcher-core,"[12394, 20038, 18971]",3
openstack-ansible-os_searchlight-core,"[2799, 10881]",2
release-schedule-generator-core,[11356],1
castellan-ui-core,"[9914, 7012, 11561, 8623]",4
fuxi-core,[11538],1
bandit-core,"[8119, 11029, 17893, 1528, 11716, 11861]",6
anchor-core,"[11397, 7063, 1528, 11716]",4
fuxi-golang-core,[14352],1
fuxi-kubernetes-core,[11538],1
releasestatus-core,[308],1
activity-board-core,"[8000, 8710, 287]",3
kolla-kubernetes-core,"[7488, 21996, 9237, 23928, 24043, 10419, 19384, 17591, 11105]",9
cue-core,"[10584, 1925]",2
app-catalog-core,"[9788, 9237, 15168, 612, 5545]",5
openstack-salt-core,"[20195, 18092, 20194, 7431, 6794]",5
magnetodb-core,"[8863, 11006, 8601, 8491, 8188]",5
openstack-nose-core,[385],1
