id,changes,status
32583,4,Non core
28849,139,Non core
29909,35,Non core
33192,1,Non core
32067,220,Non core
17776,1480,Non core
27589,41,Non core
13693,8,Non core
32231,108,Non core
27330,10,Non core
30810,48,Non core
17264,14,Non core
17591,2245,Core
28510,11,Non core
30854,2,Non core
28159,42,Non core
24407,12,Non core
32690,1,Non core
7345,1,Non core
33089,6,Non core
27621,935,Core
14029,32,Non core
17920,260,Non core
4187,519,Core
7016,1055,Non core
26740,4,Non core
2245,865,Core
32137,5,Non core
28128,29,Non core
9061,1115,Non core
32222,3,Non core
26463,55,Non core
27153,725,Non core
1011,531,Core
8716,445,Core
26733,243,Non core
25058,38,Non core
11929,179,Core
32854,3,Non core
10288,317,Non core
9954,246,Non core
20401,43,Non core
23757,35,Non core
32802,5,Non core
18058,195,Non core
33093,4,Non core
22018,15,Non core
25254,437,Non core
25635,2,Non core
32205,15,Non core
17888,1088,Non core
29773,1,Non core
15471,366,Non core
22696,35,Non core
11686,6,Non core
21884,3617,Non core
29405,30,Non core
32395,22,Non core
30812,2,Non core
28367,40,Non core
28514,5,Non core
32881,2,Non core
34181,1,Non core
8246,4911,Core
18031,12,Non core
23717,1576,Non core
14614,446,Non core
31896,2,Non core
8988,275,Non core
34537,2,Non core
7385,2639,Core
24655,2,Non core
19193,517,Core
13111,653,Non core
29131,149,Non core
16929,104,Non core
31706,14,Non core
32071,135,Non core
32329,3,Non core
18675,360,Non core
15818,2,Non core
33020,1,Non core
13178,15,Non core
18810,27,Non core
1689,551,Non core
32213,1,Non core
32365,1,Non core
32799,1,Non core
32806,1,Non core
32840,1,Non core
30095,6,Non core
30755,115,Non core
23360,128,Non core
12907,59,Non core
24890,19,Non core
20251,28,Non core
29568,12,Non core
29624,12,Non core
23601,178,Non core
31713,17,Non core
27915,7,Non core
1916,1794,Non core
28654,25,Non core
27379,54,Non core
32330,1,Non core
28182,127,Non core
31027,16,Non core
28006,25,Non core
31310,5,Non core
22290,48,Non core
23157,5,Non core
15447,61,Non core
28408,2,Non core
29247,1,Non core
29144,137,Non core
10379,729,Non core
14525,1700,Core
22755,2,Non core
13988,9,Non core
30711,1,Non core
16222,1803,Core
31196,2,Non core
31552,1,Non core
27180,86,Non core
29397,33,Non core
33141,1,Non core
19619,34,Non core
6754,394,Non core
22799,289,Non core
