release,project,dependent_projects
kilo,openstack/hacking,1
kilo,openstack/grenade,3
kilo,openstack/barbican,-1
kilo,openstack/glance_store,1
kilo,openstack/cookbook-openstack-integration-test,17
kilo,openstack/puppet-swift,3
kilo,openstack/heat,18
kilo,openstack/ironic-python-agent,2
kilo,openstack/freezer,2
kilo,openstack/python-glanceclient,13
kilo,openstack/oslosphinx,13
kilo,openstack/neutron-fwaas,14
kilo,openstack/taskflow,15
kilo,openstack/trove-integration,2
kilo,openstack/congress,-1
kilo,openstack/oslo.versionedobjects,2
kilo,openstack/glance,16
kilo,openstack/puppet-openstacklib,-1
kilo,openstack/python-magnumclient,12
kilo,openstack/dragonflow,-1
kilo,openstack/ironic-inspector,-1
kilo,openstack/puppet-tripleo,1
kilo,openstack/neutron-lbaas,17
kilo,openstack/openstack-chef-repo,17
kilo,openstack/swift,1
kilo,openstack/python-cueclient,1
kilo,openstack/cookbook-openstack-object-storage,17
kilo,openstack/networking-bagpipe,-1
kilo,openstack/oslo.messaging,15
kilo,openstack/python-fuelclient,2
kilo,openstack/debtcollector,1
kilo,openstack/cookbook-openstack-image,17
kilo,openstack/cinder,19
kilo,openstack/puppet-horizon,-1
kilo,openstack/sahara-image-elements,-1
kilo,openstack/puppet-openstack-integration,4
kilo,openstack/oslo.config,14
kilo,openstack/python-ironicclient,12
kilo,openstack/oslo.db,14
kilo,openstack/ironic-specs,1
kilo,openstack/puppet-ironic,-1
kilo,openstack/rally,1
kilo,openstack/python-cinderclient,13
kilo,openstack/puppet-openstack_extras,1
kilo,openstack/shade,3
kilo,openstack/keystonemiddleware,5
kilo,openstack/tripleo-puppet-elements,2
kilo,openstack/python-ceilometerclient,1
kilo,openstack/zaqar,1
kilo,openstack/octavia,1
kilo,openstack/cookbook-openstack-block-storage,17
kilo,openstack/governance,1
kilo,openstack/murano-agent,1
kilo,openstack/training-labs,-1
kilo,openstack/tripleo-incubator,3
kilo,openstack/oslo.utils,16
kilo,openstack/oslo.middleware,14
kilo,openstack/astara-neutron,-1
kilo,openstack/fuel-web,5
kilo,openstack/openstack-ansible,1
kilo,openstack/puppet-manila,1
kilo,openstack/openstack-manuals,3
kilo,openstack/puppet-heat,-1
kilo,openstack/fuel-qa,2
kilo,openstack/puppet-neutron,3
kilo,openstack/oslo.log,16
kilo,openstack/cookbook-openstack-orchestration,17
kilo,openstack/networking-ofagent,3
kilo,openstack/oslotest,14
kilo,openstack/nova,25
kilo,openstack/python-manilaclient,12
kilo,openstack/puppet-designate,1
kilo,openstack/project-config,24
kilo,openstack/oslo-incubator,9
kilo,openstack/cookbook-openstack-common,17
kilo,openstack/cliff,15
kilo,openstack/faafo,1
kilo,openstack/diskimage-builder,3
kilo,openstack/cookbook-openstack-ops-database,17
kilo,openstack/cue,2
kilo,openstack/mistral,1
kilo,openstack/puppet-vswitch,-1
kilo,openstack/python-keystoneclient-kerberos,5
kilo,openstack/python-keystoneclient,6
kilo,openstack/training-guides,-1
kilo,openstack/puppet-nova,5
kilo,openstack/oslo.rootwrap,1
kilo,openstack/neutron-vpnaas,14
kilo,openstack/puppet-keystone,-1
kilo,openstack-attic/akanda,-1
kilo,openstack/nova-specs,-1
kilo,openstack/freezer-web-ui,2
kilo,openstack/tempest-lib,2
kilo,openstack/trove,17
kilo,openstack/networking-l2gw,-1
kilo,openstack/horizon,15
kilo,openstack/openstack-specs,-1
kilo,openstack/oslo.vmware,14
kilo,openstack/gnocchi,1
liberty,openstack/python-barbicanclient,1
liberty,openstack/puppet-tempest,2
liberty,openstack/cookbook-openstack-client,1
liberty,openstack/oslo.reports,3
liberty,openstack/keystoneauth-saml2,1
liberty,openstack/pbr,2
liberty,openstack/fuel-octane,-1
liberty,openstack/puppet-glance,2
liberty,openstack/app-catalog,-1
liberty,openstack/tooz,2
liberty,openstack/python-novaclient,24
liberty,openstack/ironic,11
liberty,openstack/python-designateclient,-1
liberty,openstack/ceilometer,29
liberty,openstack/manila-image-elements,1
liberty,openstack/keystoneauth,6
liberty,openstack/tripleo-heat-templates,17
liberty,openstack/oslo.concurrency,-1
liberty,openstack/devstack-gate,8
liberty,openstack/puppet-gnocchi,2
liberty,openstack/tap-as-a-service,1
liberty,openstack/astara-appliance,1
liberty,openstack/python-troveclient,1
liberty,openstack/puppet-ceilometer,4
liberty,openstack/puppet-sahara,3
liberty,openstack/fuel-docs,3
liberty,openstack/designate,22
liberty,openstack/python-monascaclient,1
liberty,openstack/cookbook-openstack-network,-1
liberty,openstack/freezer-api,-1
liberty,openstack/python-muranoclient,2
liberty,openstack/astara,1
liberty,openstack/fuel-library,9
liberty,openstack/cookbook-openstack-ops-messaging,1
liberty,openstack/python-saharaclient,-1
liberty,openstack/murano-apps,3
liberty,openstack-attic/akanda-appliance-builder,-1
liberty,openstack/neutron,32
liberty,openstack/fuel-ostf,1
liberty,openstack/murano-dashboard,4
liberty,openstack/cookbook-openstack-telemetry,-1
liberty,openstack/heat-templates,1
liberty,openstack/os-net-config,2
liberty,openstack/murano,6
liberty,openstack/fuel-agent,4
liberty,openstack/nova-powervm,-1
liberty,openstack/networking-midonet,4
liberty,openstack/python-mistralclient,2
liberty,openstack/tacker,3
liberty,openstack/os-client-config,2
liberty,openstack/tripleo-image-elements,3
liberty,openstack/fuel-astute,3
liberty,openstack/kuryr,1
liberty,openstack/requirements,42
liberty,openstack/networking-odl,3
liberty,openstack/os-brick,-1
liberty,openstack/api-site,4
liberty,openstack/python-zaqarclient,1
liberty,openstack/oslo-specs,-1
liberty,openstack/puppet-cinder,4
liberty,openstack/tripleo-docs,4
liberty,openstack/monasca-api,1
liberty,openstack/automaton,1
liberty,openstack/python-openstackclient,2
liberty,openstack/tempest,14
liberty,openstack/vitrage-dashboard,-1
liberty,openstack/django_openstack_auth,1
liberty,openstack/sahara,21
liberty,openstack/magnum,2
liberty,openstack/ossa,1
liberty,openstack/networking-ovn,1
liberty,openstack/keystone,25
liberty,openstack/bandit,-1
liberty,openstack/manila-ui,1
liberty,openstack/compute-hyperv,2
liberty,openstack/mistral-extra,-1
liberty,openstack/python-heatclient,2
liberty,openstack/python-neutronclient,6
liberty,openstack/puppet-trove,2
liberty,openstack/openstack-doc-tools,1
liberty,openstack/kolla,1
liberty,openstack/fuel-devops,1
liberty,openstack/os-loganalyze,1
liberty,openstack/tacker-horizon,1
liberty,openstack/puppet-aodh,1
liberty,openstack/ec2-api,1
liberty,openstack/tripleo-ci,6
liberty,openstack/cookbook-openstack-bare-metal,1
liberty,openstack/fuel-mirror,1
liberty,openstack/networking-hyperv,-1
liberty,openstack/devstack,29
liberty,openstack/oslo.service,3
liberty,openstack/openstack-ansible-security,1
liberty,openstack/networking-sfc,1
liberty,openstack/pycadf,3
liberty,openstack/fuel-main,5
liberty,openstack/networking-bgpvpn,1
liberty,openstack/python-swiftclient,-1
liberty,openstack/manila,19
liberty,openstack/heat-specs,1
liberty,openstack/cookbook-openstack-compute,2
liberty,openstack/oslo.policy,1
liberty,openstack/hacking,1
liberty,openstack/grenade,6
liberty,openstack/glance_store,2
liberty,openstack/barbican,18
liberty,openstack/mistral-dashboard,1
liberty,openstack/designate-specs,1
liberty,openstack/puppet-swift,5
liberty,openstack/heat,25
liberty,openstack/ironic-python-agent,7
liberty,openstack/puppet-monasca,1
liberty,openstack/freezer,-1
liberty,openstack/fuel-nailgun-agent,1
liberty,openstack/python-glanceclient,-1
liberty,openstack/vitrage,-1
liberty,openstack/neutron-fwaas,21
liberty,openstack/os-win,2
liberty,openstack/searchlight,-1
liberty,openstack/trove-integration,1
liberty,openstack/taskflow,3
liberty,openstack/monasca-agent,1
liberty,openstack/congress,2
liberty,openstack/python-ironic-inspector-client,1
liberty,openstack/oslo.versionedobjects,4
liberty,openstack/glance,20
liberty,openstack/puppet-openstacklib,16
liberty,openstack/fuel-plugins,1
liberty,openstack/python-magnumclient,2
liberty,openstack/dragonflow,1
liberty,openstack/ironic-inspector,2
liberty,openstack/designate-dashboard,1
liberty,openstack/puppet-tripleo,3
liberty,openstack/neutron-lbaas,23
liberty,openstack/openstack-chef-repo,6
liberty,openstack/swift,4
liberty,openstack/networking-bagpipe,1
liberty,openstack/cookbook-openstack-object-storage,-1
liberty,openstack/bifrost,4
liberty,openstack/ha-guide,4
liberty,openstack/oslo.vmware,-1
liberty,openstack/python-tackerclient,1
liberty,openstack/oslo.messaging,6
liberty,openstack/cookbook-openstack-image,3
liberty,openstack/puppet-horizon,1
liberty,openstack/cinder,25
liberty,openstack/sahara-image-elements,1
liberty,openstack/python-fuelclient,-1
liberty,openstack/puppet-openstack-integration,17
liberty,openstack/oslo.config,3
liberty,openstack/python-ironicclient,2
liberty,openstack/python-gnocchiclient,1
liberty,openstack/oslo.db,1
liberty,openstack/ironic-specs,1
liberty,openstack/puppet-ironic,3
liberty,openstack/rally,4
liberty,openstack/python-cinderclient,4
liberty,openstack/openstackdocstheme,1
liberty,openstack/puppet-openstack_extras,2
liberty,openstack/shade,2
liberty,openstack/keystonemiddleware,5
liberty,openstack/tripleo-puppet-elements,3
liberty,openstack/python-ceilometerclient,3
liberty,openstack/zaqar,19
liberty,openstack/ceilometer-powervm,-1
liberty,openstack/octavia,1
liberty,openstack/puppet-openstack_spec_helper,-1
liberty,openstack/cookbook-openstack-block-storage,3
liberty,openstack/governance,4
liberty,openstack/futurist,2
liberty,openstack/training-labs,-1
liberty,openstack/murano-agent,-1
liberty,openstack/tripleo-incubator,5
liberty,openstack/yaql,-1
liberty,openstack/qa-specs,-1
liberty,openstack/oslo.utils,4
liberty,openstack/astara-neutron,-1
liberty,openstack/oslo.middleware,-1
liberty,openstack/fuel-web,5
liberty,openstack/openstack-ansible,3
liberty,openstack/aodh,3
liberty,openstack/oslo.cache,1
liberty,openstack/cloudkitty,-1
liberty,openstack/tripleo-common,3
liberty,openstack/python-dracclient,-1
liberty,openstack/puppet-manila,3
liberty,openstack/openstack-manuals,11
liberty,openstack/puppet-heat,4
liberty,openstack/fuel-qa,3
liberty,openstack/releases,5
liberty,openstack/puppet-neutron,4
liberty,openstack/monasca-common,1
liberty,openstack/oslo.log,1
liberty,openstack/murano-deployment,2
liberty,openstack/os-testr,1
liberty,openstack/networking-ofagent,2
liberty,openstack/oslotest,1
liberty,openstack/os-cloud-config,3
liberty,openstack/nova,30
liberty,openstack/python-manilaclient,4
liberty,openstack/puppet-designate,3
liberty,openstack/networking-powervm,-1
liberty,openstack/security-doc,4
liberty,openstack/project-config,61
liberty,openstack/cookbook-openstack-common,6
liberty,openstack/oslo-incubator,10
liberty,openstack/cliff,-1
liberty,openstack/diskimage-builder,7
liberty,openstack/cookbook-openstack-ops-database,-1
liberty,openstack/cue,-1
liberty,openstack/mistral,3
liberty,openstack/api-sig,1
liberty,openstack/puppet-vswitch,-1
liberty,openstack/python-keystoneclient-kerberos,3
liberty,openstack/python-keystoneclient,11
liberty,openstack/puppet-murano,3
liberty,openstack/docs-specs,1
liberty,openstack/openstack-health,-1
liberty,openstack/training-guides,2
liberty,openstack/instack-undercloud,10
liberty,openstack/ceilometermiddleware,-1
liberty,openstack/puppet-nova,6
liberty,openstack/ironic-lib,2
liberty,openstack/neutron-vpnaas,21
liberty,openstack/puppet-keystone,17
liberty,openstack-attic/akanda,-1
liberty,openstack/python-tripleoclient,5
liberty,openstack/nova-specs,1
liberty,openstack/freezer-web-ui,-1
liberty,openstack/tempest-lib,2
liberty,openstack/trove,22
liberty,openstack/networking-l2gw,1
liberty,openstack/horizon,21
liberty,openstack/openstack-specs,1
liberty,openstack/cookbook-openstack-identity,1
liberty,openstack/gnocchi,4
mitaka,openstack/puppet-tempest,1
mitaka,openstack/watcher-specs,1
mitaka,openstack/tricircle,-1
mitaka,openstack/blazar,24
mitaka,openstack/monasca-log-api,-1
mitaka,openstack/senlin,3
mitaka,openstack/tap-as-a-service,1
mitaka,openstack/puppet-mistral,3
mitaka,openstack/senlin-dashboard,-1
mitaka,openstack/oslo.context,1
mitaka,openstack/neutron-lbaas-dashboard,2
mitaka,openstack/designate,20
mitaka,openstack/fuel-library,15
mitaka,openstack/fuel-nailgun-extension-converted-serializers,-1
mitaka,openstack/neutron,45
mitaka,openstack/fuel-ostf,1
mitaka,openstack/heat-templates,2
mitaka,openstack/os-apply-config,35
mitaka,openstack/tempest,12
mitaka,openstack/python-openstackclient,8
mitaka,openstack/django_openstack_auth,1
mitaka,openstack/magnum,16
mitaka,openstack/ossa,1
mitaka,openstack/cloudkitty-dashboard,-1
mitaka,openstack/python-heatclient,37
mitaka,openstack/project-team-guide,2
mitaka,openstack/openstack-ansible-pip_lock_down,1
mitaka,openstack/horizon-cisco-ui,25
mitaka,openstack/openstack-ansible-security,1
mitaka,openstack/cookbook-openstack-integration-test,6
mitaka,openstack/heat,35
mitaka,openstack/trove-integration,3
mitaka,openstack/monasca-thresh,1
mitaka,openstack/monasca-agent,-1
mitaka,openstack/python-ironic-inspector-client,-1
mitaka,openstack/oslo.versionedobjects,-1
mitaka,openstack/glance,43
mitaka,openstack/openstack-chef-repo,11
mitaka,openstack/oslo.messaging,2
mitaka,openstack/sahara-image-elements,2
mitaka,openstack/cinder,20
mitaka,openstack/puppet-openstack-integration,28
