is_cross,is_cross_service,Source_service,Target_service,lag,same_dev
True,False,tripleo,tripleo,0.52,True
True,False,tripleo,tripleo,2610.31,True
True,False,tripleo,tripleo,167.06,True
True,False,tripleo,tripleo,22.24,True
True,False,tripleo,tripleo,2610.32,True
True,True,glance,tempest,2851.68,True
True,True,neutron,puppetopenstack,1860.63,False
True,False,openstackcharms,openstackcharms,0.42,True
True,False,tripleo,tripleo,137.76,True
False,False,kolla,kolla,160.34,False
True,False,kolla,kolla,804.67,False
True,True,horizon,zaqar,1614.83,True
True,True,openstackansible,,0.03,True
True,False,openstacksdk,openstacksdk,23.75,True
True,True,tripleo,neutron,0.19,True
True,False,openstackansible,openstackansible,118.17,False
True,False,neutron,neutron,4320.05,True
True,False,tripleo,tripleo,5.77,True
True,False,tripleo,tripleo,0.0,True
True,False,tripleo,tripleo,0.0,True
True,False,oslo,oslo,2.14,True
True,False,tripleo,tripleo,0.07,True
True,False,manila,manila,1386.93,False
True,False,tripleo,tripleo,0.77,True
True,False,tripleo,tripleo,75.28,False
True,True,puppetopenstack,tripleo,315.29,True
True,True,openstackansible,,0.01,True
True,False,openstackansible,openstackansible,118.49,False
True,True,puppetopenstack,tripleo,109.96,True
True,True,puppetopenstack,tripleo,21.02,True
True,True,puppetopenstack,tripleo,0.56,False
True,True,,neutron,4.21,True
True,False,glance,glance,0.01,True
True,True,puppetopenstack,tripleo,5779.97,False
True,True,puppetopenstack,tripleo,7.16,True
True,False,tripleo,tripleo,0.03,True
True,False,tripleo,tripleo,3.79,True
True,False,tripleo,tripleo,33.27,True
True,True,requirements,glance,0.01,True
True,False,tripleo,tripleo,29.48,True
True,False,neutron,neutron,4320.08,True
True,False,openstackansible,openstackansible,4.28,True
True,False,tripleo,tripleo,0.12,True
True,False,tripleo,tripleo,527.74,True
True,False,openstackansible,openstackansible,289.58,True
False,False,oslo,oslo,165.14,True
True,False,glance,glance,533.72,True
True,True,tempest,tripleo,47.01,True
True,False,tripleo,tripleo,0.1,True
True,False,tripleo,tripleo,0.04,True
True,False,tripleo,tripleo,168.65,True
True,False,manila,manila,1.16,True
True,False,tripleo,tripleo,21.77,True
True,False,tripleo,tripleo,314.29,True
True,False,tripleo,tripleo,314.28,True
True,True,releasemanagement,,144.84,True
True,False,manila,manila,6672.26,True
True,False,openstacksdk,openstacksdk,3976.99,True
True,True,tempest,tripleo,164.36,True
True,False,tripleo,tripleo,168.69,True
True,True,heat,tripleo,13.25,False
True,False,tripleo,tripleo,548.46,True
True,True,neutron,kuryr,358.65,False
True,False,neutron,neutron,119.4,True
True,False,tripleo,tripleo,116.1,True
True,True,heat,tripleo,0.12,True
True,False,tripleo,tripleo,2711.82,True
True,False,tripleo,tripleo,2543.19,True
True,False,tripleo,tripleo,66.59,True
True,False,tripleo,tripleo,2710.77,True
True,False,tripleo,tripleo,2521.48,True
True,False,tripleo,tripleo,66.6,True
True,False,kolla,kolla,0.1,True
True,False,kolla,kolla,0.13,True
True,False,tripleo,tripleo,18.33,False
True,False,tripleo,tripleo,622.51,False
True,False,tripleo,tripleo,611.59,False
True,False,tripleo,tripleo,2.88,True
True,False,tripleo,tripleo,1846.47,True
True,True,octavia,tripleo,429.71,True
True,True,puppetopenstack,tripleo,0.5,True
True,False,ironic,ironic,485.97,False
True,False,manila,manila,5559.85,False
True,False,tripleo,tripleo,0.22,True
True,False,tripleo,tripleo,742.72,True
True,True,,glance,20.57,True
True,False,kolla,kolla,75.82,True
True,False,tripleo,tripleo,200.66,False
True,False,tripleo,tripleo,0.01,True
True,False,tripleo,tripleo,187.01,False
True,False,tripleo,tripleo,0.01,True
True,False,tripleo,tripleo,0.01,True
True,False,tripleo,tripleo,65.72,True
True,False,tripleo,tripleo,42.88,False
True,False,tripleo,tripleo,0.14,True
True,False,tripleo,tripleo,8760.32,False
True,False,tripleo,tripleo,979.93,True
True,True,placement,nova,310.66,True
True,False,qualityassurance,qualityassurance,1218.76,False
True,False,tripleo,tripleo,413.7,False
True,True,tempest,tripleo,0.2,True
True,True,openstackansible,,16.15,False
True,False,manila,manila,2.69,True
True,True,openstackansible,,0.03,True
True,True,technicalcommittee,,625.2,True
