is_cross,is_cross_service,lag
True,False,406.57
True,True,1983.61
False,False,385.55
True,False,1389.24
True,True,6697.19
True,False,52.01
True,False,5401.57
True,False,0.85
True,False,27.78
True,False,15.03
True,False,113.78
True,True,167.48
True,True,0.35
True,True,47.53
True,False,0.08
True,True,195.67
True,True,1581.26
True,False,79.12
True,True,1347.79
True,False,167.04
True,True,0.06
False,False,197.61
True,True,20.06
True,False,164.39
True,False,0.42
True,True,10894.03
False,False,10.0
True,False,45.35
True,True,0.08
True,False,721.56
True,False,0.04
True,True,5375.14
True,True,0.3
True,False,1721.4
True,True,0.06
True,False,706.63
True,True,1002.99
True,False,162.62
True,True,5913.01
True,False,3.64
True,False,669.36
False,False,35223.86
True,False,1.08
True,True,21.68
True,True,5.83
True,True,0.02
True,False,57.17
True,True,0.04
True,False,815.06
True,True,0.07
True,False,1478.77
True,False,0.7
True,False,1659.99
True,True,4.52
True,False,4.89
True,True,891.86
True,True,1875.79
True,True,1.88
True,True,961.91
True,True,1063.27
True,False,0.06
True,False,18.2
False,False,4491.71
True,False,4150.01
False,False,831.02
True,True,964.09
True,True,1036.5
True,False,46.5
True,False,297.68
True,False,341.14
False,False,0.24
True,True,5905.38
True,True,6699.96
True,True,60.48
True,False,28.79
True,False,0.11
True,False,6235.57
False,False,180.79
True,False,144.13
True,False,15286.15
True,False,269.39
True,True,2.98
True,True,3088.75
True,False,736.83
True,False,2.91
True,True,9911.18
True,False,0.05
True,False,0.02
True,False,3797.34
True,False,1151.76
True,False,25.4
True,True,623.29
True,True,2246.56
True,True,0.38
False,False,0.12
True,False,555.89
True,True,1592.72
True,False,23.08
True,False,165.52
True,True,1299.68
True,True,1.04
True,False,1541.25
True,True,740.45
True,True,0.1
True,False,1.0
True,False,7542.19
True,False,233.5
False,False,3984.0
True,False,73.25
True,True,163.15
True,False,379.27
True,False,21.96
True,True,0.07
True,True,0.15
True,False,7292.17
True,True,0.03
False,False,64.96
True,False,31247.91
True,True,0.75
True,False,0.07
True,False,28.2
True,False,3680.04
True,False,198.96
True,True,1361.5
True,False,1575.47
True,False,93.76
True,True,9.87
True,True,2979.55
True,False,840.27
True,False,1032.04
True,False,1824.11
True,True,734.46
True,False,0.15
False,False,21.85
True,False,0.06
True,True,318.18
