index,Source,Target,Source_repo,Target_repo,same_dev,relation_type,Globl labels,description
284,737332,737826,nova,openstack-zuul-jobs,True,,,
285,536563,536587,tripleo-common,puppet-tripleo,True,,,
286,192407,192412,sahara,neutron-vpnaas,True,,,
287,567697,583849,nova,project-config,False,,,
288,367645,367677,searchlight,searchlight-ui,True,,,
289,420461,420876,nova,grenade,True,,,
290,655136,655156,openstack-zuul-jobs,networking-ovn,True,,,
291,727805,728066,neutron,networking-ovn,False,,,
292,525045,525046,python-glanceclient,openstack-zuul-jobs,True,,,
293,558277,561527,charm-cinder,charm-heat,False,,,
294,155051,156132,neutron,neutron-lbaas,False,,,
295,744647,744714,horizon,designate-dashboard,True,,,
296,407028,407069,puppet-nova,puppet-aodh,True,,,
297,615776,615778,tripleo-common,tripleo-heat-templates,True,,,
298,243614,244691,tripleo-heat-templates,heat,False,,,
299,596274,604006,tripleo-heat-templates,tripleo-common,True,,,
300,813811,817831,python-tripleoclient,tripleo-ansible,True,,,
301,580153,591272,puppet-nova,puppet-tripleo,False,,,
302,550749,578736,openstack-ansible,openstack-ansible-plugins,True,,,
303,190597,190664,grenade,devstack-gate,True,,,
304,535874,535876,releases,openstack-ansible,True,,,
305,138126,141886,tempest,cinder,True,,,
306,367838,367903,openstack-ansible-ceph_client,openstack-ansible-rsyslog_server,True,,,
307,291890,291891,aodh,ceilometer,True,,,
308,678643,678940,charm-ceilometer-agent,charm-percona-cluster,True,,,
309,599605,600467,tripleo-quickstart,tripleo-common,False,,,
310,367865,371344,openstack-ansible-os_cinder,openstack-ansible-os_trove,True,,,
311,536503,536513,os-apply-config,tripleo-puppet-elements,True,,,
312,677245,682972,grenade,project-config,True,,,
313,121313,123980,python-novaclient,solum,False,,,
314,346278,353443,nova,requirements,False,,,
315,91053,91070,cinder,zaqar,True,,,
316,117157,117158,keystone-specs,cinder-specs,True,,,
317,185549,256343,nova,grenade,True,,,
318,192411,192412,neutron-lbaas,neutron-vpnaas,True,,,
319,458674,471478,puppet-tripleo,tripleo-heat-templates,False,,,
320,365767,368361,python-fuelclient,fuel-octane,False,,,
321,792188,792219,neutron,networking-ovn,False,,,
322,427345,428292,tempest,devstack,True,,,
323,101097,101799,neutron,ceilometer,True,,,
324,464172,477792,project-config,networking-midonet,True,,,
325,555034,555935,openstack-zuul-jobs,networking-ovn,True,,,
326,360329,360350,puppet-tripleo,instack-undercloud,True,,,
327,574047,574048,releases,openstack-ansible,True,,,
328,402130,439254,openstack-ansible-os_trove,openstack-ansible-os_neutron,False,,,
329,270905,272538,designate,project-config,False,,,
330,692058,693631,ceilometer,requirements,False,,,
331,651552,651777,paunch,tripleo-heat-templates,True,,,
332,367838,367868,openstack-ansible-ceph_client,openstack-ansible-os_glance,True,,,
333,259594,259611,project-config,openstack-ansible-rabbitmq_server,True,,,
334,775698,779318,tripleo-common,tripleo-ansible,True,,,
335,154407,155455,oslo.versionedobjects,project-config,False,,,
336,569789,570696,python-tripleoclient,tripleo-quickstart-extras,True,,,
337,633238,636874,puppet-tripleo,tripleo-heat-templates,True,,,
338,451469,451549,charm-glance,charm-neutron-api-odl,True,,,
339,558281,558571,charm-designate-bind,charm-ceph-mon,True,,,
340,513099,513797,openstack-ansible-apt_package_pinning,openstack-ansible-tests,True,,,
341,741231,742093,puppet-tripleo,puppet-pacemaker,True,,,
342,469475,469481,releases,openstack-ansible,True,,,
343,605747,605753,tripleo-quickstart-extras,tripleo-quickstart,True,,,
344,665690,703966,python-tripleoclient,tripleo-common,False,,,
345,509204,509568,puppet-openstack-integration,puppet-openstack_spec_helper,True,,,
346,647467,661948,tripleo-heat-templates,tripleo-common,True,,,
347,207605,207610,trove,trove-integration,True,,,
348,402130,403786,openstack-ansible-os_trove,openstack-ansible-os_swift,True,,,
349,639040,643389,devstack,neutron,True,,,
350,756246,759366,puppet-neutron,neutron,False,,,
351,350966,350969,openstack-ansible-os_keystone,openstack-ansible-os_neutron,True,,,
352,61494,61496,os-collect-config,os-refresh-config,True,,,
353,708436,718057,nova,python-novaclient,False,,,
354,800841,800851,openstack-chef,cookbook-openstack-integration-test,True,,,
355,753428,753834,project-config,governance,False,,,
356,541402,554637,puppet-heat,tripleo-heat-templates,True,,,
357,499789,504134,puppet-nova,tripleo-heat-templates,True,,,
358,497481,498664,puppet-manila,tripleo-heat-templates,False,,,
359,565300,565343,goal-tools,project-config,True,,,
360,120501,120504,designate-specs,docs-specs,True,,,
361,564067,564180,nova,devstack,True,,,
362,558284,558575,charm-hacluster,charm-percona-cluster,True,,,
363,154139,154156,cookbook-openstack-compute,cookbook-openstack-orchestration,True,,,
364,516518,519868,puppet-openstack-integration,puppet-neutron,True,,,
365,817413,848492,puppet-neutron,tripleo-heat-templates,False,,,
366,121311,121324,python-keystoneclient,manila,True,,,
367,212652,212710,taskflow,requirements,True,,,
368,767032,767435,karbor,kayobe-config,True,,,
369,522099,522101,python-novaclient,project-config,True,,,
370,291895,291897,magnum,searchlight,True,,,
371,579208,579554,openstack-ansible-tests,openstack-ansible-memcached_server,False,,,
372,536819,536835,panko,devstack-plugin-ceph,True,,,
373,169065,174988,cue,python-cueclient,True,,,
374,587853,590011,openstack-ansible,openstack-ansible-os_tempest,True,,,
375,610603,612339,openstack-ansible-os_ironic,openstack-ansible-os_sahara,False,,,
376,667792,675104,tripleo-docs,tripleo-heat-templates,True,,,
377,469121,473825,openstack-ansible,openstack-ansible-tests,True,,,
378,335363,360565,grenade,devstack-gate,False,,,
379,403695,493746,openstack-ansible-os_tempest,openstack-ansible-os_nova,False,,,
380,121223,121326,horizon,solum-specs,True,,,
