Path
"['openstack/tempest' 'openstack/devstack-plugin-ceph' 'openstack/neutron'
 'openstack/openstack-ansible-lxc_hosts'
 'openstack/openstack-ansible-repo_server'
 'openstack/openstack-ansible-tests'
 'openstack/openstack-ansible-os_keystone'
 'openstack/openstack-ansible-os_horizon'
 'openstack/openstack-ansible-lxc_container_create'
 'openstack/openstack-ansible-os_zun'
 'openstack/openstack-ansible-os_tempest'
 'openstack/openstack-ansible-plugins'
 'openstack/openstack-ansible-os_nova'
 'openstack/openstack-ansible-rabbitmq_server'
 'openstack/openstack-ansible-repo_build'
 'openstack/openstack-ansible-os_neutron'
 'openstack/openstack-ansible-os_designate'
 'openstack/ansible-role-python_venv_build'
 'openstack/openstack-ansible-os_sahara'
 'openstack/openstack-ansible-os_cloudkitty'
 'openstack/openstack-ansible-os_cinder'
 'openstack/openstack-ansible-os_glance'
 'openstack/openstack-ansible-os_aodh'
 'openstack/openstack-ansible-os_panko'
 'openstack/openstack-ansible-os_rally'
 'openstack/openstack-ansible-galera_server'
 'openstack/openstack-ansible-os_ceilometer'
 'openstack/openstack-ansible-os_gnocchi'
 'openstack/openstack-ansible-os_octavia'
 'openstack/openstack-ansible-os_magnum'
 'openstack/openstack-ansible-os_barbican'
 'openstack/openstack-ansible-os_swift'
 'openstack/openstack-ansible-os_trove'
 'openstack/openstack-ansible-os_ironic'
 'openstack/openstack-ansible-os_heat'
 'openstack/openstack-ansible-os_zaqar'
 'openstack/openstack-ansible-os_tacker'
 'openstack/openstack-ansible-os_searchlight'
 'openstack/openstack-ansible-os_watcher'
 'openstack/openstack-ansible-os_almanach'
 'openstack/openstack-ansible-os_monasca'
 'openstack/openstack-ansible-os_molteniron'
 'openstack/openstack-ansible-os_monasca-agent'
 'openstack/openstack-ansible-galera_client'
 'openstack/openstack-ansible-pip_install']"
"['openstack/kayobe' 'openstack/kayobe-config-dev'
 'openstack/kayobe-config' 'openstack/tenks'
 'openstack/ansible-collection-kolla' 'openstack/kolla-ansible']"
['openstack/ovn-octavia-provider' 'openstack/kuryr-kubernetes']
"['openstack/bifrost' 'openstack/openstacksdk' 'openstack/kayobe'
 'openstack/kolla-ansible' 'openstack/ironic-inspector' 'openstack/kolla'
 'openstack/ansible-collections-openstack' 'openstack/ironic'
 'openstack/openstack-zuul-jobs' 'openstack/shade'
 'openstack/project-config']"
"['openstack/networking-sfc' 'openstack/neutron-tempest-plugin'
 'openstack/networking-odl' 'openstack/networking-bagpipe'
 'openstack/python-neutronclient' 'openstack/dragonflow'
 'openstack/neutron' 'openstack/project-config'
 'openstack/openstack-manuals']"
['openstack/magnum-tempest-plugin' 'openstack/magnum']
['openstack/tenks' 'openstack/kolla-ansible' 'openstack/kayobe']
"['openstack/tooz' 'openstack/puppet-tripleo' 'openstack/releases'
 'openstack/nova' 'openstack/requirements' 'openstack/openstack-zuul-jobs'
 'openstack/project-config']"
"['openstack/octavia-tempest-plugin' 'openstack/octavia'
 'openstack/tripleo-ci' 'openstack/tripleo-quickstart-extras'
 'openstack/tempest']"
"['openstack/networking-bagpipe' 'openstack/networking-bgpvpn'
 'openstack/neutron-tempest-plugin' 'openstack/openstack-zuul-jobs'
 'openstack/project-config' 'openstack/neutron' 'openstack/neutron-lib']"
"['openstack/sahara' 'openstack/python-saharaclient'
 'openstack/openstack-ansible-os_sahara' 'openstack/tripleo-validations'
 'openstack/sahara-plugin-spark' 'openstack/sahara-tests'
 'openstack/openstack-zuul-jobs' 'openstack/openstack-manuals'
 'openstack/puppet-sahara' 'openstack/kolla-ansible'
 'openstack/sahara-image-elements' 'openstack/project-config'
 'openstack/ceilometer']"
"['openstack/puppet-neutron' 'openstack/tripleo-heat-templates'
 'openstack/puppet-keystone' 'openstack/puppet-tripleo'
 'openstack/puppet-openstack-integration' 'openstack/puppet-oslo'
 'openstack/fuel-library' 'openstack/puppet-tempest']"
"['openstack/placement' 'openstack/requirements' 'openstack/osc-placement'
 'openstack/nova' 'openstack/octavia-tempest-plugin' 'openstack/devstack'
 'openstack/neutron-lib' 'openstack/nova-specs' 'openstack/grenade'
 'openstack/openstack-manuals']"
"['openstack/validations-common' 'openstack/tripleo-validations'
 'openstack/tripleo-heat-templates' 'openstack/python-tripleoclient'
 'openstack/validations-libs' 'openstack/tripleo-quickstart-extras']"
['openstack/etcd3gw' 'openstack/tooz' 'openstack/devstack']
"['openstack/sushy' 'openstack/sushy-oem-idrac' 'openstack/ironic'
 'openstack/sushy-cli' 'openstack/project-config']"
"['openstack/glance' 'openstack/glance-tempest-plugin' 'openstack/tempest'
 'openstack/devstack' 'openstack/cinder' 'openstack/ironic'
 'openstack/python-glanceclient' 'openstack/tripleo-heat-templates'
 'openstack/requirements' 'openstack/nova' 'openstack/glance_store'
 'openstack/puppet-tripleo' 'openstack/releases' 'openstack/aodh'
 'openstack/neutron' 'openstack/horizon' 'openstack/devstack-gate'
 'openstack/project-config' 'openstack/openstack-zuul-jobs'
 'openstack/glance-specs' 'openstack/openstack-manuals'
 'openstack/oslo.utils' 'openstack/python-openstackclient']"
"['openstack/designate-tempest-plugin' 'openstack/designate'
 'openstack/neutron-tempest-plugin']"
['openstack/charm-ops-openstack' 'openstack/charm-ceph-iscsi']
['openstack/devstack-plugin-open-cas' 'openstack/tempest']
"['openstack/barbican-tempest-plugin' 'openstack/barbican'
 'openstack/cinder-tempest-plugin' 'openstack/tripleo-ci'
 'openstack/tempest' 'openstack/project-config']"
['openstack/charm-guide' 'openstack/charm-deployment-guide']
"['openstack/openstack-ansible-haproxy_server'
 'openstack/openstack-ansible' 'openstack/openstack-ansible-os_horizon'
 'openstack/openstack-ansible-os_cinder'
 'openstack/openstack-ansible-os_keystone'
 'openstack/openstack-ansible-os_magnum']"
"['openstack/kuryr-libnetwork' 'openstack/zun' 'openstack/releases'
 'openstack/neutron' 'openstack/python-zunclient'
 'openstack/openstack-zuul-jobs' 'openstack/project-config'
 'openstack/requirements' 'openstack/kuryr' 'openstack/kuryr-kubernetes']"
['openstack/charm-manila' 'openstack/charm-manila-ganesha']
['openstack/ec2api-tempest-plugin' 'openstack/ec2-api']
"['openstack/ansible-config_template' 'openstack/releases'
 'openstack/openstack-ansible' 'openstack/openstack-ansible-os_tempest'
 'openstack/tripleo-ci']"
"['openstack/ovsdbapp' 'openstack/neutron' 'openstack/networking-ovn'
 'openstack/dragonflow' 'openstack/project-config'
 'openstack/tripleo-quickstart-extras']"
"['openstack/openstack-helm-images' 'openstack/openstack-helm-infra'
 'openstack/openstack-helm' 'openstack/openstack-helm-addons']"
"['openstack/openstack-virtual-baremetal'
 'openstack/tripleo-quickstart-extras' 'openstack/tripleo-heat-templates'
 'openstack/tripleo-repos' 'openstack/tripleo-ci']"
"['openstack/puppet-designate' 'openstack/puppet-tripleo'
 'openstack/tripleo-heat-templates' 'openstack/releases'
 'openstack/puppet-openstack-integration' 'openstack/puppet-keystone']"
"['openstack/tripleo-image-elements' 'openstack/tripleo-common'
 'openstack/python-tripleoclient' 'openstack/tripleo-docs'
 'openstack/releases' 'openstack/tripleo-heat-templates'
 'openstack/instack-undercloud' 'openstack/diskimage-builder'
 'openstack/heat' 'openstack/tripleo-ci' 'openstack/trove-integration'
 'openstack/tripleo-puppet-elements' 'openstack/tripleo-incubator']"
"['openstack/openstack-ansible-os_horizon' 'openstack/openstack-ansible'
 'openstack/openstack-ansible-os_barbican'
 'openstack/openstack-ansible-os_keystone'
 'openstack/openstack-ansible-tests']"
"['openstack/openstack-manuals' 'openstack/tripleo-heat-templates'
 'openstack/tripleo-common' 'openstack/governance'
 'openstack/tripleo-quickstart-extras' 'openstack/security-doc'
 'openstack/api-site' 'openstack/training-guides'
 'openstack/project-config' 'openstack/openstack-helm' 'openstack/glance'
 'openstack/openstack-zuul-jobs' 'openstack/openstack-doc-tools'
 'openstack/releases' 'openstack/operations-guide' 'openstack/neutron'
 'openstack/docs-specs']"
"['openstack/puppet-octavia' 'openstack/tripleo-heat-templates'
 'openstack/puppet-tripleo' 'openstack/tripleo-ci'
 'openstack/puppet-openstack-integration']"
"['openstack/loci' 'openstack/openstack-helm-images'
 'openstack/openstack-helm' 'openstack/project-config']"
['openstack/cinderlib' 'openstack/cinder' 'openstack/project-config']
"['openstack/security-analysis' 'openstack/project-config'
 'openstack/governance']"
"['openstack/python-neutronclient' 'openstack/neutron' 'openstack/heat'
 'openstack/kuryr-kubernetes' 'openstack/networking-sfc'
 'openstack/openstack-manuals' 'openstack/devstack-gate'
 'openstack/networking-bgpvpn' 'openstack/neutron-fwaas'
 'openstack/requirements' 'openstack/nova'
 'openstack/python-openstackclient' 'openstack/cliff'
 'openstack/tap-as-a-service' 'openstack/project-config']"
"['openstack/kuryr-tempest-plugin' 'openstack/kuryr-kubernetes'
 'openstack/project-config']"
"['openstack/tripleo-repos' 'openstack/tripleo-ci'
 'openstack/python-tripleoclient' 'openstack/tripleo-quickstart'
 'openstack/tripleo-quickstart-extras'
 'openstack/tripleo-operator-ansible' 'openstack/tripleo-puppet-elements'
 'openstack/tripleo-heat-templates' 'openstack/tripleo-docs']"
"['openstack/openstack-ansible-os_gnocchi'
 'openstack/openstack-ansible-os_aodh' 'openstack/openstack-ansible'
 'openstack/openstack-ansible-os_ceilometer'
 'openstack/openstack-ansible-tests']"
"['openstack/openstack-ansible-os_glance' 'openstack/openstack-ansible'
 'openstack/openstack-ansible-os_nova' 'openstack/openstack-ansible-tests'
 'openstack/ansible-role-python_venv_build'
 'openstack/openstack-ansible-os_ceilometer'
 'openstack/openstack-ansible-os_tempest'
 'openstack/openstack-ansible-plugins']"
"['openstack/ansible-collections-openstack'
 'openstack/openstack-ansible-plugins' 'openstack/bifrost'
 'openstack/openstacksdk']"
"['openstack/taskflow' 'openstack/octavia' 'openstack/requirements'
 'openstack/project-config']"
"['openstack/ansible-role-pki' 'openstack/openstack-ansible-os_octavia'
 'openstack/openstack-ansible-os_keystone'
 'openstack/openstack-ansible-os_nova'
 'openstack/openstack-ansible-galera_server'
 'openstack/openstack-ansible-tests']"
"['openstack/openstack-chef' 'openstack/cookbook-openstackclient'
 'openstack/cookbook-openstack-common'
 'openstack/cookbook-openstack-integration-test'
 'openstack/cookbook-openstack-ops-messaging'
 'openstack/cookbook-openstack-ops-database'
 'openstack/cookbook-openstack-image'
 'openstack/cookbook-openstack-block-storage'
 'openstack/cookbook-openstack-network'
 'openstack/cookbook-openstack-identity'
 'openstack/cookbook-openstack-compute'
 'openstack/cookbook-openstack-telemetry'
 'openstack/cookbook-openstack-orchestration'
 'openstack/cookbook-openstack-dashboard'
 'openstack/cookbook-openstack-bare-metal'
 'openstack/cookbook-openstack-dns' 'openstack/openstack-manuals']"
"['openstack/ansible-role-uwsgi' 'openstack/openstack-ansible'
 'openstack/openstack-ansible-os_zun'
 'openstack/openstack-ansible-os_placement']"
['openstack/cyborg-tempest-plugin' 'openstack/nova' 'openstack/cyborg']
"['openstack/openstack-ansible-repo_server'
 'openstack/openstack-ansible-os_keystone' 'openstack/openstack-ansible'
 'openstack/openstack-ansible-lxc_hosts'
 'openstack/openstack-ansible-lxc_container_create'
 'openstack/openstack-ansible-os_horizon'
 'openstack/openstack-ansible-os_cinder'
 'openstack/openstack-ansible-pip_install'
 'openstack/openstack-ansible-repo_build']"
"['openstack/openstack-ansible-os_keystone' 'openstack/openstack-ansible'
 'openstack/openstack-ansible-tests'
 'openstack/openstack-ansible-os_horizon'
 'openstack/openstack-ansible-lxc_hosts'
 'openstack/openstack-ansible-os_tempest' 'openstack/ansible-role-uwsgi'
 'openstack/openstack-ansible-os_octavia'
 'openstack/openstack-ansible-os_mistral'
 'openstack/openstack-ansible-os_cinder'
 'openstack/openstack-ansible-os_swift'
 'openstack/ansible-role-python_venv_build'
 'openstack/openstack-ansible-os_glance'
 'openstack/openstack-ansible-os_ceilometer'
 'openstack/openstack-ansible-os_nova'
 'openstack/openstack-ansible-os_neutron'
 'openstack/openstack-ansible-os_trove'
 'openstack/openstack-ansible-os_aodh'
 'openstack/openstack-ansible-os_masakari'
 'openstack/openstack-ansible-os_sahara'
 'openstack/openstack-ansible-os_gnocchi'
 'openstack/openstack-ansible-os_designate'
 'openstack/openstack-ansible-os_heat'
 'openstack/openstack-ansible-os_rally'
 'openstack/openstack-ansible-os_panko'
 'openstack/openstack-ansible-repo_build' 'openstack/project-config']"
['openstack/sushy-tools' 'openstack/ironic']
"['openstack/murano-tempest-plugin' 'openstack/tempest' 'openstack/murano'
 'openstack/project-config']"
['openstack/skyline-console' 'openstack/skyline-apiserver']
"['openstack/tap-as-a-service' 'openstack/neutron-tempest-plugin'
 'openstack/networking-midonet' 'openstack/project-config'
 'openstack/openstack-zuul-jobs']"
"['openstack/puppet-openstack_extras'
 'openstack/puppet-openstack-integration' 'openstack/puppet-mistral'
 'openstack/puppet-keystone' 'openstack/puppet-gnocchi']"
"['openstack/openstackdocstheme' 'openstack/neutron-vpnaas'
 'openstack/releases' 'openstack/nova' 'openstack/tripleo-docs'
 'openstack/operations-guide' 'openstack/project-config'
 'openstack/whereto' 'openstack/openstack-manuals'
 'openstack/oslo.reports' 'openstack/cliff' 'openstack/glance'
 'openstack/python-glanceclient' 'openstack/horizon' 'openstack/osc-lib'
 'openstack/security-doc']"
"['openstack/openstack-ansible-os_ceilometer'
 'openstack/openstack-ansible-os_aodh' 'openstack/openstack-ansible'
 'openstack/openstack-ansible-os_gnocchi'
 'openstack/openstack-ansible-tests' 'openstack/project-config']"
['openstack/ansible-role-systemd_mount' 'openstack/openstack-ansible']
"['openstack/masakari-monitors' 'openstack/kolla-ansible' 'openstack/kolla'
 'openstack/masakari']"
"['openstack/zun' 'openstack/zun-tempest-plugin' 'openstack/solum'
 'openstack/python-zunclient' 'openstack/zun-ui' 'openstack/governance'
 'openstack/openstack-manuals' 'openstack/openstack-zuul-jobs'
 'openstack/project-config' 'openstack/requirements']"
"['openstack/validations-libs' 'openstack/python-tripleoclient'
 'openstack/tripleo-validations' 'openstack/validations-common'
 'openstack/requirements' 'openstack/tripleo-upgrade']"
"['openstack/tripleo-validations' 'openstack/python-tripleoclient'
 'openstack/tripleo-heat-templates' 'openstack/validations-common'
 'openstack/validations-libs' 'openstack/project-config'
 'openstack/tripleo-quickstart' 'openstack/tripleo-common']"
"['openstack/openstack-ansible-ceph_client' 'openstack/openstack-ansible'
 'openstack/openstack-ansible-os_manila'
 'openstack/openstack-ansible-tests']"
"['openstack/networking-bgpvpn' 'openstack/networking-odl'
 'openstack/tripleo-ci' 'openstack/neutron'
 'openstack/python-openstackclient' 'openstack/networking-bagpipe'
 'openstack/neutron-lib' 'openstack/python-neutronclient'
 'openstack/project-config']"
"['openstack/openstack-ansible-lxc_container_create'
 'openstack/openstack-ansible-lxc_hosts' 'openstack/openstack-ansible'
 'openstack/openstack-ansible-galera_server'
 'openstack/openstack-ansible-tests'
 'openstack/openstack-ansible-rabbitmq_server'
 'openstack/ansible-role-systemd_service'
 'openstack/ansible-role-python_venv_build'
 'openstack/openstack-ansible-plugins']"
"['openstack/ansible-role-redhat-subscription'
 'openstack/tripleo-heat-templates' 'openstack/tripleo-docs']"
"['openstack/charm-deployment-guide' 'openstack/charm-guide'
 'openstack/charm-nova-compute' 'openstack/charm-hacluster'
 'openstack/charm-mysql-innodb-cluster' 'openstack/openstack-manuals'
 'openstack/charm-ceph']"
"['openstack/neutron-dynamic-routing' 'openstack/manila'
 'openstack/neutron-lib' 'openstack/dragonflow' 'openstack/neutron'
 'openstack/project-config']"
"['openstack/charm-glance' 'openstack/charm-guide'
 'openstack/charm-swift-proxy']"
"['openstack/tempest-lib' 'openstack/project-config' 'openstack/governance'
 'openstack/tempest' 'openstack/python-troveclient' 'openstack/designate']"
"['openstack/oslo.cache' 'openstack/puppet-oslo' 'openstack/keystone'
 'openstack/project-config']"
['openstack/octavia-lib' 'openstack/octavia' 'openstack/networking-ovn']
"['openstack/openstack-health' 'openstack/governance'
 'openstack/project-config']"
"['openstack/puppet-openstack-integration' 'openstack/puppet-keystone'
 'openstack/puppet-aodh' 'openstack/puppet-heat' 'openstack/puppet-nova'
 'openstack/puppet-neutron' 'openstack/puppet-horizon'
 'openstack/puppet-openstacklib' 'openstack/puppet-placement'
 'openstack/puppet-octavia' 'openstack/puppet-cinder'
 'openstack/puppet-glance' 'openstack/puppet-swift'
 'openstack/puppet-oslo' 'openstack/puppet-openstack_extras'
 'openstack/puppet-ceph' 'openstack/puppet-openstack-cookiecutter'
 'openstack/puppet-openstack_spec_helper' 'openstack/puppet-ovn'
 'openstack/puppet-sahara' 'openstack/puppet-panko'
 'openstack/puppet-trove' 'openstack/puppet-gnocchi'
 'openstack/puppet-murano' 'openstack/puppet-tempest'
 'openstack/puppet-magnum' 'openstack/puppet-tripleo'
 'openstack/puppet-designate' 'openstack/puppet-pacemaker'
 'openstack/puppet-mistral' 'openstack/puppet-ironic'
 'openstack/tripleo-heat-templates' 'openstack/puppet-vitrage'
 'openstack/tripleo-quickstart-extras' 'openstack/puppet-cloudkitty'
 'openstack/puppet-zaqar' 'openstack/puppet-ceilometer'
 'openstack/puppet-tacker' 'openstack/puppet-vswitch'
 'openstack/puppet-rally' 'openstack/puppet-ec2api'
 'openstack/puppet-congress' 'openstack/puppet-barbican'
 'openstack/puppet-glare' 'openstack/puppet-freezer'
 'openstack/puppet-monasca' 'openstack/puppet-watcher'
 'openstack/puppet-qdr' 'openstack/puppet-manila'
 'openstack/project-config' 'openstack/tempest']"
"['openstack/python-openstackclient' 'openstack/openstacksdk'
 'openstack/requirements' 'openstack/nova' 'openstack/kolla-ansible'
 'openstack/openstackclient' 'openstack/osc-lib' 'openstack/keystone'
 'openstack/os-client-config' 'openstack/keystoneauth' 'openstack/cliff'
 'openstack/project-config' 'openstack/openstack-manuals'
 'openstack/api-site' 'openstack/operations-guide' 'openstack/devstack']"
['openstack/kayobe-config' 'openstack/kayobe-config-dev']
"['openstack/charm-keystone' 'openstack/charm-octavia'
 'openstack/charm-openstack-dashboard'
 'openstack/charm-interface-keystone-credentials' 'openstack/charm-vault'
 'openstack/charm-swift-proxy' 'openstack/charm-glance'
 'openstack/charm-neutron-gateway' 'openstack/charm-nova-cloud-controller'
 'openstack/charm-cinder']"
['openstack/charm-interface-keystone' 'openstack/charm-octavia']
"['openstack/charm-ceph-mon' 'openstack/charm-ceph-osd'
 'openstack/charm-ceph-rbd-mirror' 'openstack/charm-ceph-fs'
 'openstack/charm-nova-compute' 'openstack/charm-glance'
 'openstack/charm-cinder-ceph' 'openstack/charm-ceph-radosgw'
 'openstack/charm-interface-ceph-mds' 'openstack/charm-cinder'
 'openstack/charm-ceph']"
"['openstack/python-glanceclient' 'openstack/cinder'
 'openstack/tripleo-quickstart-extras' 'openstack/python-openstackclient'
 'openstack/tripleo-common' 'openstack/requirements'
 'openstack/project-config' 'openstack/devstack-gate']"
['openstack/kayobe-config-dev' 'openstack/kayobe']
"['openstack/os-testr' 'openstack/project-config' 'openstack/tempest'
 'openstack/devstack' 'openstack/nova']"
"['openstack/ansible-role-collect-logs'
 'openstack/tripleo-quickstart-extras' 'openstack/tripleo-quickstart'
 'openstack/tripleo-heat-templates' 'openstack/openstack-ansible'
 'openstack/tripleo-ci']"
"['openstack/puppet-keystone' 'openstack/puppet-cinder'
 'openstack/puppet-barbican' 'openstack/puppet-aodh'
 'openstack/tripleo-heat-templates'
 'openstack/puppet-openstack_spec_helper' 'openstack/puppet-magnum'
 'openstack/puppet-nova' 'openstack/puppet-tripleo'
 'openstack/puppet-openstack-integration' 'openstack/puppet-placement'
 'openstack/puppet-ironic' 'openstack/tripleo-quickstart'
 'openstack/puppet-vitrage' 'openstack/puppet-trove'
 'openstack/puppet-ceilometer' 'openstack/puppet-watcher'
 'openstack/puppet-sahara' 'openstack/puppet-mistral'
 'openstack/puppet-glance' 'openstack/puppet-gnocchi'
 'openstack/puppet-zaqar' 'openstack/puppet-panko' 'openstack/puppet-heat'
 'openstack/puppet-manila' 'openstack/puppet-ec2api'
 'openstack/puppet-designate' 'openstack/puppet-tacker'
 'openstack/puppet-octavia' 'openstack/puppet-openstack-cookiecutter'
 'openstack/puppet-cloudkitty' 'openstack/puppet-congress'
 'openstack/puppet-glare' 'openstack/puppet-freezer'
 'openstack/puppet-neutron' 'openstack/instack-undercloud'
 'openstack/puppet-oslo' 'openstack/fuel-library'
 'openstack/project-config' 'openstack/puppet-murano'
 'openstack/puppet-tempest' 'openstack/puppet-openstacklib']"
"['openstack/puppet-aodh' 'openstack/puppet-tripleo'
 'openstack/tripleo-heat-templates'
 'openstack/puppet-openstack-integration' 'openstack/puppet-oslo'
 'openstack/instack-undercloud' 'openstack/puppet-keystone']"
"['openstack/puppet-barbican' 'openstack/puppet-tripleo'
 'openstack/tripleo-heat-templates'
 'openstack/puppet-openstack-integration' 'openstack/puppet-oslo']"
"['openstack/cookbook-openstack-image'
 'openstack/cookbook-openstack-integration-test'
 'openstack/cookbook-openstack-bare-metal'
 'openstack/cookbook-openstack-compute'
 'openstack/cookbook-openstack-block-storage'
 'openstack/cookbook-openstack-orchestration' 'openstack/openstack-chef'
 'openstack/cookbook-openstackclient'
 'openstack/cookbook-openstack-identity'
 'openstack/cookbook-openstack-telemetry' 'openstack/openstack-chef-repo'
 'openstack/cookbook-openstack-common']"
"['openstack/cookbook-openstack-dns'
 'openstack/cookbook-openstack-integration-test'
 'openstack/openstack-chef']"
"['openstack/cookbook-openstack-identity'
 'openstack/cookbook-openstack-dashboard'
 'openstack/cookbook-openstack-telemetry'
 'openstack/cookbook-openstack-orchestration'
 'openstack/cookbook-openstack-network'
 'openstack/cookbook-openstack-image' 'openstack/cookbook-openstack-dns'
 'openstack/cookbook-openstack-integration-test'
 'openstack/cookbook-openstack-bare-metal'
 'openstack/cookbook-openstack-block-storage'
 'openstack/cookbook-openstack-compute' 'openstack/openstack-chef'
 'openstack/cookbook-openstackclient' 'openstack/openstack-chef-repo'
 'openstack/cookbook-openstack-database'
 'openstack/cookbook-openstack-object-storage'
 'openstack/cookbook-openstack-common']"
"['openstack/cookbook-openstack-network'
 'openstack/cookbook-openstack-bare-metal'
 'openstack/cookbook-openstack-dns' 'openstack/cookbook-openstack-compute'
 'openstack/cookbook-openstack-orchestration' 'openstack/openstack-chef'
 'openstack/cookbook-openstackclient'
 'openstack/cookbook-openstack-identity'
 'openstack/cookbook-openstack-integration-test'
 'openstack/cookbook-openstack-telemetry' 'openstack/openstack-chef-repo'
 'openstack/cookbook-openstack-common']"
"['openstack/cookbook-openstack-ops-database'
 'openstack/cookbook-openstack-identity'
 'openstack/cookbook-openstack-integration-test'
 'openstack/cookbook-openstack-ops-messaging'
 'openstack/cookbook-openstackclient'
 'openstack/cookbook-openstack-common' 'openstack/openstack-chef-repo']"
"['openstack/cookbook-openstack-ops-messaging'
 'openstack/cookbook-openstack-identity'
 'openstack/cookbook-openstack-integration-test'
 'openstack/openstack-chef-repo']"
"['openstack/cookbook-openstack-common'
 'openstack/cookbook-openstack-ops-database'
 'openstack/cookbook-openstack-ops-messaging'
 'openstack/cookbook-openstackclient'
 'openstack/cookbook-openstack-integration-test'
 'openstack/cookbook-openstack-identity'
 'openstack/cookbook-openstack-compute'
 'openstack/cookbook-openstack-orchestration'
 'openstack/cookbook-openstack-dashboard'
 'openstack/cookbook-openstack-dns'
 'openstack/cookbook-openstack-telemetry'
 'openstack/cookbook-openstack-bare-metal' 'openstack/openstack-chef'
 'openstack/cookbook-openstack-block-storage'
 'openstack/cookbook-openstack-network'
 'openstack/cookbook-openstack-image' 'openstack/openstack-chef-repo'
 'openstack/cookbook-openstack-application-catalog'
 'openstack/cookbook-openstack-database']"
"['openstack/ansible-role-python_venv_build'
 'openstack/openstack-ansible-os_gnocchi' 'openstack/openstack-ansible'
 'openstack/openstack-ansible-os_keystone'
 'openstack/openstack-ansible-galera_server'
 'openstack/openstack-ansible-os_glance'
 'openstack/openstack-ansible-openstack_hosts'
 'openstack/openstack-ansible-os_neutron'
 'openstack/openstack-ansible-os_tempest'
 'openstack/openstack-ansible-os_placement'
 'openstack/openstack-ansible-os_cinder'
 'openstack/openstack-ansible-os_nova'
 'openstack/openstack-ansible-os_horizon'
 'openstack/openstack-ansible-os_masakari'
 'openstack/tripleo-quickstart-extras' 'openstack/tripleo-ci'
 'openstack/openstack-ansible-os_cloudkitty'
 'openstack/openstack-ansible-tests'
 'openstack/openstack-ansible-os_swift'
 'openstack/openstack-ansible-os_ceilometer'
 'openstack/openstack-ansible-os_designate'
 'openstack/openstack-ansible-os_zaqar'
 'openstack/openstack-ansible-os_zun'
 'openstack/openstack-ansible-os_trove'
 'openstack/openstack-ansible-os_tacker'
 'openstack/openstack-ansible-os_watcher'
 'openstack/openstack-ansible-os_magnum'
 'openstack/openstack-ansible-os_ironic'
 'openstack/openstack-ansible-os_congress'
 'openstack/openstack-ansible-os_monasca-agent'
 'openstack/openstack-ansible-os_molteniron'
 'openstack/openstack-ansible-os_monasca'
 'openstack/openstack-ansible-os_octavia'
 'openstack/openstack-ansible-os_sahara'
 'openstack/openstack-ansible-os_heat'
 'openstack/openstack-ansible-os_panko'
 'openstack/openstack-ansible-os_rally'
 'openstack/openstack-ansible-os_aodh'
 'openstack/openstack-ansible-os_searchlight'
 'openstack/openstack-ansible-os_barbican'
 'openstack/openstack-ansible-os_blazar']"
['openstack/ossa' 'openstack/governance' 'openstack/project-config']
"['openstack/ansible-role-systemd_networkd'
 'openstack/openstack-ansible-lxc_hosts'
 'openstack/openstack-ansible-lxc_container_create'
 'openstack/openstack-ansible'
 'openstack/openstack-ansible-nspawn_container_create'
 'openstack/openstack-ansible-nspawn_hosts']"
"['openstack/puppet-oslo' 'openstack/puppet-heat' 'openstack/puppet-nova'
 'openstack/puppet-neutron' 'openstack/puppet-keystone'
 'openstack/puppet-ec2api' 'openstack/puppet-ceilometer'
 'openstack/puppet-zaqar' 'openstack/puppet-ironic'
 'openstack/puppet-glance' 'openstack/puppet-vitrage'
 'openstack/puppet-tacker' 'openstack/puppet-cinder'
 'openstack/puppet-manila' 'openstack/puppet-trove'
 'openstack/puppet-magnum' 'openstack/puppet-octavia'
 'openstack/puppet-cloudkitty' 'openstack/puppet-rally'
 'openstack/puppet-mistral' 'openstack/puppet-sahara'
 'openstack/puppet-panko' 'openstack/puppet-barbican'
 'openstack/puppet-aodh' 'openstack/puppet-watcher'
 'openstack/puppet-placement' 'openstack/puppet-senlin'
 'openstack/puppet-freezer' 'openstack/puppet-murano'
 'openstack/puppet-glare' 'openstack/tripleo-heat-templates'
 'openstack/puppet-congress' 'openstack/puppet-openstack-cookiecutter'
 'openstack/puppet-tripleo' 'openstack/fuel-library']"
"['openstack/ironic-inspector' 'openstack/bifrost'
 'openstack/tripleo-ansible' 'openstack/openstacksdk'
 'openstack/python-ironic-inspector-client' 'openstack/ironic'
 'openstack/ironic-tempest-plugin' 'openstack/instack-undercloud'
 'openstack/project-config' 'openstack/ironic-python-agent'
 'openstack/tripleo-docs']"
"['openstack/puppet-heat' 'openstack/tripleo-heat-templates'
 'openstack/tripleo-ci' 'openstack/puppet-openstack-integration'
 'openstack/instack-undercloud' 'openstack/puppet-oslo'
 'openstack/puppet-tempest' 'openstack/puppet-keystone'
 'openstack/tripleo-common' 'openstack/puppet-nova']"
"['openstack/devstack-plugin-container' 'openstack/kuryr-kubernetes'
 'openstack/zun' 'openstack/kuryr-libnetwork']"
"['openstack/ironic-tempest-plugin' 'openstack/ironic'
 'openstack/ironic-lib' 'openstack/ironic-python-agent'
 'openstack/ironic-inspector' 'openstack/tempest'
 'openstack/project-config' 'openstack/python-ironicclient']"
"['openstack/charm-nova-cloud-controller' 'openstack/charm-nova-compute'
 'openstack/charm-guide' 'openstack/charm-placement'
