Path
"['openstack/tempest' 'openstack/devstack-plugin-ceph' 'openstack/neutron'
 'openstack/masakari' 'openstack/heat-tempest-plugin' 'openstack/heat'
 'openstack/python-swiftclient' 'openstack/networking-sfc'
 'openstack/python-openstackclient' 'openstack/os-brick'
 'openstack/oslo.versionedobjects' 'openstack/tooz' 'openstack/oslo.limit'
 'openstack/oslo.policy' 'openstack/bifrost' 'openstack/vitrage'
 'openstack/patrole' 'openstack/pbr' 'openstack/ovsdbapp'
 'openstack/project-config' 'openstack/python-muranoclient'
 'openstack/networking-odl' 'openstack/stevedore'
 'openstack/oslo.messaging' 'openstack/tripleo-heat-templates'
 'openstack/python-saharaclient' 'openstack/hacking'
 'openstack/python-monascaclient' 'openstack/python-novaclient'
 'openstack/python-mistralclient' 'openstack/grenade'
 'openstack/oslo.concurrency' 'openstack/python-neutronclient'
 'openstack/oslo.privsep' 'openstack/oslo.reports'
 'openstack/oslo.rootwrap' 'openstack/oslo.service' 'openstack/oslo-specs'
 'openstack/oslo.context' 'openstack/oslo.db' 'openstack/oslo.middleware'
 'openstack/oslo.serialization' 'openstack/oslo.tools'
 'openstack/python-searchlightclient' 'openstack/ironic'
 'openstack/python-ironic-inspector-client'
 'openstack/python-magnumclient' 'openstack/python-ironicclient'
 'openstack/oslotest' 'openstack/oslo.upgradecheck' 'openstack/oslo.utils'
 'openstack/python-qinlingclient' 'openstack/watcher'
 'openstack/openstacksdk' 'openstack/swift' 'openstack/neutron-lib'
 'openstack/vitrage-dashboard' 'openstack/masakari-monitors'
 'openstack/congress-tempest-plugin' 'openstack/kolla'
 'openstack/tripleo-common' 'openstack/neutron-tempest-plugin'
 'openstack/monasca-notification' 'openstack/qinling' 'openstack/karbor'
 'openstack/karbor-dashboard' 'openstack/python-cloudkittyclient'
 'openstack/storlets' 'openstack/sahara' 'openstack/zaqar'
 'openstack/congress' 'openstack/congress-dashboard' 'openstack/panko'
 'openstack/monasca-api' 'openstack/ceilometer'
 'openstack/monasca-events-api' 'openstack/designate-dashboard'
 'openstack/monasca-log-api' 'openstack/neutron-vpnaas-dashboard'
 'openstack/monasca-agent' 'openstack/monasca-ui'
 'openstack/monasca-transform' 'openstack/monasca-persister'
 'openstack/senlin-dashboard' 'openstack/magnum-ui' 'openstack/zaqar-ui'
 'openstack/solum' 'openstack/murano' 'openstack/cloudkitty'
 'openstack/solum-dashboard' 'openstack/murano-agent'
 'openstack/murano-dashboard' 'openstack/murano-pkg-check'
 'openstack/mistral' 'openstack/magnum' 'openstack/zun' 'openstack/senlin'
 'openstack/searchlight-ui' 'openstack/qinling-dashboard'
 'openstack/mistral-extra' 'openstack/sahara-dashboard'
 'openstack/mistral-dashboard' 'openstack/kuryr-libnetwork'
