Number,is_same_dev,Churn,Revisions,Duration,Label,Project_type
847062,Same,212,1.0,232.66,D-O/N-B,Source
847063,Same,337,1.0,219.88,D-O/N-B,Source
847598,Same,5,3.0,277.48,D-O/N-B,Source
848178,Same,37,4.0,148.94,D-O/N-B,Source
711513,Same,75,5.0,120.19,D-O/N-B,Source
842980,Same,13,1.0,916.98,D-O/N-B,Source
828169,Same,51,7.0,3525.86,D-O/N-B,Source
848598,Different,31,1.0,2.77,D-O/N-B,Source
845054,Same,4,11.0,643.26,D-O/N-B,Source
848131,Different,82,1.0,113.7,D-O/N-B,Source
845646,Same,2,2.0,494.38,D-O/N-B,Source
839974,Same,223,7.0,1507.19,D-O/N-B,Source
848375,Same,31,2.0,73.83,D-O/N-B,Source
851001,Same,3,3.0,221.38,D-O/N-B,Source
850292,Same,3,1.0,68.82,D-O/N-B,Source
836190,Same,4,3.0,2080.25,D-O/N-B,Source
850994,Same,67,1.0,239.08,D-O/N-B,Source
850035,Same,67,1.0,93.55,D-O/N-B,Source
836189,Same,67,7.0,2107.43,D-O/N-B,Source
848457,Same,13,1.0,65.65,D-O/N-B,Source
848361,Same,13,1.0,65.7,D-O/N-B,Source
848216,Different,7,4.0,8.04,D-O/N-B,Source
848111,Different,4,2.0,20.78,D-O/N-B,Source
848075,Different,4,1.0,5.63,D-O/N-B,Source
844610,Same,16,1.0,236.33,D-O/N-B,Source
834352,Same,245,81.0,2128.97,D-O/N-B,Source
839937,Same,26,6.0,429.35,D-O/N-B,Source
842079,Same,15,3.0,150.03,D-O/N-B,Source
848345,Different,2,1.0,20.15,D-O/N-B,Source
809472,Different,4,2.0,3795.33,D-O/N-B,Source
839973,Same,212,11.0,629.11,D-O/N-B,Source
835742,Same,337,22.0,2009.08,D-O/N-B,Source
847193,Same,4,1.0,19.11,D-O/N-B,Source
847538,Same,13,1.0,96.28,D-O/N-B,Source
846943,Different,53,3.0,214.57,D-O/N-B,Source
846942,Same,12,1.0,208.0,D-O/N-B,Source
848119,Different,87,2.0,17.06,D-O/N-B,Source
848118,Same,2,2.0,27.54,D-O/N-B,Source
846941,Same,9,2.0,167.98,D-O/N-B,Source
845595,Same,259,4.0,375.89,D-O/N-B,Source
848216,Different,7,4.0,8.04,D-O/N-B,Source
847994,Same,4,1.0,32.41,D-O/N-B,Source
798341,Different,4,3.0,838.06,D-O/N-B,Source
841445,Same,13,10.0,978.9,D-O/N-B,Source
