Source,Target,Source_repo,Target_repo
864553,855074,openstack/openstack-ansible,openstack/openstack-ansible-os_octavia
865874,863142,openstack/puppet-tripleo,openstack/tripleo-heat-templates
865884,863142,openstack/puppet-tripleo,openstack/tripleo-heat-templates
863139,863142,openstack/puppet-tripleo,openstack/tripleo-heat-templates
865883,863142,openstack/tripleo-common,openstack/tripleo-heat-templates
865873,863142,openstack/tripleo-common,openstack/tripleo-heat-templates
863140,863142,openstack/tripleo-common,openstack/tripleo-heat-templates
864041,865155,openstack/tripleo-ansible,openstack/tripleo-heat-templates
863795,865155,openstack/tripleo-ansible,openstack/tripleo-heat-templates
857855,865155,openstack/tripleo-ansible,openstack/tripleo-heat-templates
826948,861687,openstack/kolla,openstack/kolla-ansible
863935,863590,openstack/tripleo-ansible,openstack/tripleo-quickstart-extras
840410,865658,openstack/tempest,openstack/nova
864993,864920,openstack/ansible-collection-kolla,openstack/kolla-ansible
865312,865420,openstack/openstack-ansible,openstack/ansible-role-pki
861350,828120,openstack/ansible-role-systemd_service,openstack/openstack-ansible-lxc_hosts
842240,865765,openstack/tempest,openstack/nova
865047,865048,openstack/tripleo-ansible,openstack/tripleo-heat-templates
865503,865048,openstack/tripleo-ansible,openstack/tripleo-heat-templates
858674,858675,openstack/tripleo-ansible,openstack/tripleo-heat-templates
865410,865820,openstack/charm-ops-sunbeam,openstack/charm-neutron-k8s
865526,865239,openstack/requirements,openstack/tripleo-ansible
857961,857960,openstack/manila-tempest-plugin,openstack/manila
865276,865552,openstack/requirements,openstack/barbican
857601,857600,openstack/tripleo-ansible,openstack/tripleo-heat-templates
863143,863145,openstack/tripleo-quickstart-extras,openstack/tripleo-quickstart
861110,862799,openstack/tempest,openstack/blazar
841489,860901,openstack/requirements,openstack/neutron
841489,860900,openstack/requirements,openstack/neutron
864962,864966,openstack/openstack-ansible-os_ceilometer,openstack/openstack-ansible-os_aodh
853029,861790,openstack/openstack-ansible,openstack/openstack-ansible-os_rally
862150,865512,openstack/tripleo-ansible,openstack/tripleo-validations
861110,861366,openstack/tempest,openstack/octavia
865276,865550,openstack/requirements,openstack/barbican
865276,865409,openstack/requirements,openstack/barbican
865276,865404,openstack/requirements,openstack/barbican
831929,788296,openstack/horizon,openstack/ui-cookiecutter
865406,865526,openstack/barbican,openstack/requirements
862104,862377,openstack/openstack-ansible-rabbitmq_server,openstack/openstack-ansible-tests
859526,859401,openstack/tripleo-ci,openstack/ansible-role-collect-logs
864838,865150,openstack/tripleo-quickstart-extras,openstack/tripleo-ansible
865276,864226,openstack/requirements,openstack/barbican
865510,852125,openstack/devstack-plugin-container,openstack/tacker
864209,864195,openstack/oslo.privsep,openstack/neutron
864018,864195,openstack/oslo.log,openstack/neutron
738641,865464,openstack/neutron,openstack/neutron-tempest-plugin
861876,861880,openstack/openstack-zuul-jobs,openstack/horizon
865311,865447,openstack/ironic-lib,openstack/ironic
860795,861110,openstack/devstack,openstack/tempest
861116,861110,openstack/openstack-zuul-jobs,openstack/tempest
738641,814055,openstack/neutron,openstack/neutron-dynamic-routing
864051,814055,openstack/neutron,openstack/neutron-dynamic-routing
830883,831018,openstack/nova,openstack/tempest
855288,831018,openstack/cinder,openstack/tempest
858930,858931,openstack/tripleo-common,openstack/tripleo-heat-templates
861110,861320,openstack/tempest,openstack/neutron
862219,861320,openstack/rally-openstack,openstack/neutron
862479,861320,openstack/devstack,openstack/neutron
861110,861319,openstack/tempest,openstack/neutron-tempest-plugin
865383,865290,openstack/openstack-zuul-jobs,openstack/tripleo-ci
861110,862492,openstack/tempest,openstack/neutron
862219,862492,openstack/rally-openstack,openstack/neutron
862479,862492,openstack/devstack,openstack/neutron
865175,865206,openstack/tripleo-heat-templates,openstack/tripleo-ansible
860524,860525,openstack/python-tripleoclient,openstack/tripleo-heat-templates
859773,859774,openstack/devstack,openstack/neutron-tempest-plugin
865243,861890,openstack/tripleo-upgrade,openstack/tripleo-common
862144,861890,openstack/tripleo-upgrade,openstack/tripleo-common
862101,861890,openstack/tripleo-upgrade,openstack/tripleo-common
865300,865302,openstack/tempest,openstack/nova
865300,865301,openstack/tempest,openstack/nova
857933,859241,openstack/manila-tempest-plugin,openstack/manila
864041,865156,openstack/tripleo-ansible,openstack/tripleo-heat-templates
863795,865156,openstack/tripleo-ansible,openstack/tripleo-heat-templates
857855,865156,openstack/tripleo-ansible,openstack/tripleo-heat-templates
864617,864185,openstack/os-brick,openstack/cinder
864479,864185,openstack/os-brick,openstack/cinder
849805,864185,openstack/os-brick,openstack/cinder
849718,864185,openstack/os-brick,openstack/cinder
849542,864185,openstack/os-brick,openstack/cinder
847005,765353,openstack/neutron,openstack/neutron-vpnaas
847007,765353,openstack/neutron-tempest-plugin,openstack/neutron-vpnaas
865040,864673,openstack/neutron,openstack/nova
864041,857857,openstack/tripleo-ansible,openstack/tripleo-heat-templates
863795,857857,openstack/tripleo-ansible,openstack/tripleo-heat-templates
857855,857857,openstack/tripleo-ansible,openstack/tripleo-heat-templates
865243,861804,openstack/tripleo-upgrade,openstack/tripleo-common
862144,861804,openstack/tripleo-upgrade,openstack/tripleo-common
862101,861804,openstack/tripleo-upgrade,openstack/tripleo-common
861110,861572,openstack/tempest,openstack/python-tackerclient
