Duration,Reviewer_sharing,Project_type
17.31,At least one,Source
17.25,At least one,Source
17.25,At least one,Source
17.31,At least one,Source
17.25,At least one,Source
17.35,At least one,Source
17.31,At least one,Source
17.35,At least one,Source
17.41,At least one,Source
17.42,At least one,Source
87.27,At least one,Source
87.27,At least one,Source
87.27,At least one,Source
71.3,At least one,Source
8209.65,At least one,Source
700.15,At least one,Source
144.78,At least one,Source
119.81,At least one,Source
789.39,At least one,Source
143.97,At least one,Source
1.2,At least one,Source
789.53,At least one,Source
114.43,At least one,Source
25.16,At least one,Source
291.08,At least one,Source
291.08,At least one,Source
281.16,At least one,Source
1361.72,At least one,Source
291.08,At least one,Source
24.44,At least one,Source
291.08,At least one,Source
291.08,At least one,Source
27.27,At least one,Source
27.27,At least one,Source
27.27,At least one,Source
27.27,At least one,Source
56.33,At least one,Source
7.48,At least one,Source
27.27,At least one,Source
2254.33,At least one,Source
984.93,At least one,Source
360.7,At least one,Source
598.8,At least one,Source
2114.87,At least one,Source
2165.52,At least one,Source
2025.32,At least one,Source
2050.79,At least one,Source
68.58,At least one,Source
321.34,At least one,Source
4160.18,At least one,Source
252.31,At least one,Source
97.62,At least one,Source
115.5,At least one,Source
5305.6,At least one,Source
5305.6,At least one,Source
902.66,At least one,Source
431.68,At least one,Source
190.32,At least one,Source
7.42,At least one,Source
68.58,At least one,Source
68.58,At least one,Source
68.58,At least one,Source
68.58,At least one,Source
68.58,At least one,Source
68.58,At least one,Source
68.58,At least one,Source
1887.5,At least one,Source
146.14,At least one,Source
174.42,At least one,Source
165.05,At least one,Source
163.58,At least one,Source
7247.24,At least one,Source
7233.67,At least one,Source
4918.65,At least one,Source
904.71,At least one,Source
816.47,At least one,Source
792.83,At least one,Source
478.88,At least one,Source
156.64,At least one,Source
68.58,At least one,Source
68.58,At least one,Source
68.58,At least one,Source
143.31,At least one,Source
68.58,At least one,Source
16855.33,At least one,Source
1010.76,At least one,Source
5.76,At least one,Source
3388.77,At least one,Source
191.86,At least one,Source
2.02,At least one,Source
595.57,At least one,Source
2317.18,At least one,Source
2095.8,At least one,Source
1961.56,At least one,Source
101.94,At least one,Source
100.82,At least one,Source
115.5,At least one,Source
508.55,At least one,Source
4535.6,At least one,Source
613.37,At least one,Source
215.09,At least one,Source
27.5,At least one,Source
101.94,At least one,Source
100.82,At least one,Source
109.59,At least one,Source
313.53,At least one,Source
2.02,At least one,Source
595.57,At least one,Source
27.5,At least one,Source
82.98,At least one,Source
13.93,At least one,Source
403.71,At least one,Source
113.05,At least one,Source
82.98,At least one,Source
82.98,At least one,Source
5.52,At least one,Source
82.98,At least one,Source
82.98,At least one,Source
27.5,At least one,Source
332.77,At least one,Source
290.12,At least one,Source
190.19,At least one,Source
190.19,At least one,Source
190.19,At least one,Source
190.19,At least one,Source
190.19,At least one,Source
5362.8,At least one,Source
6.09,At least one,Source
16.45,At least one,Source
124.01,At least one,Source
49.18,At least one,Source
44.52,At least one,Source
164.24,At least one,Source
169.45,At least one,Source
71.2,At least one,Source
688.88,At least one,Source
16.45,At least one,Source
2095.8,At least one,Source
1271.52,At least one,Source
1983.71,At least one,Source
5362.8,At least one,Source
1271.53,At least one,Source
289.09,At least one,Source
2796.42,At least one,Source
16.45,At least one,Source
218.53,At least one,Source
287.49,At least one,Source
187.77,At least one,Source
2317.18,At least one,Source
11.63,At least one,Source
11.63,At least one,Source
11.86,At least one,Source
11.63,At least one,Source
3388.77,At least one,Source
11.86,At least one,Source
11.63,At least one,Source
11.86,At least one,Source
11.63,At least one,Source
11.86,At least one,Source
11.86,At least one,Source
115.5,At least one,Source
4398.2,At least one,Source
742.89,At least one,Source
75.15,At least one,Source
6.09,At least one,Source
6.09,At least one,Source
101.94,At least one,Source
100.82,At least one,Source
840.34,At least one,Source
6.09,At least one,Source
194.98,At least one,Source
101.94,At least one,Source
100.82,At least one,Source
124.01,At least one,Source
49.18,At least one,Source
44.52,At least one,Source
84.4,At least one,Source
290.12,At least one,Source
292.25,At least one,Source
3.56,At least one,Source
3.55,At least one,Source
500.2,At least one,Source
568.22,At least one,Source
55.17,At least one,Source
63.45,At least one,Source
500.2,At least one,Source
500.2,At least one,Source
500.2,At least one,Source
500.2,At least one,Source
42.12,At least one,Source
138.33,At least one,Source
500.2,At least one,Source
500.2,At least one,Source
500.2,At least one,Source
500.2,At least one,Source
500.2,At least one,Source
500.2,At least one,Source
500.2,At least one,Source
904.71,At least one,Source
816.47,At least one,Source
792.83,At least one,Source
6.39,At least one,Source
4160.18,At least one,Source
370.08,At least one,Source
356.15,At least one,Source
431.35,At least one,Source
2317.18,At least one,Source
36.57,At least one,Source
46.16,At least one,Source
36.57,At least one,Source
39.58,At least one,Source
43.23,At least one,Source
134.61,At least one,Source
101.12,At least one,Source
16.45,At least one,Source
26.18,At least one,Source
56.79,At least one,Source
42.12,At least one,Source
138.33,At least one,Source
43.63,At least one,Source
2307.01,At least one,Source
2478.79,At least one,Source
2112.91,At least one,Source
24.28,At least one,Source
19.5,At least one,Source
4.5,At least one,Source
7.42,At least one,Source
5961.71,At least one,Source
815.43,At least one,Source
690.87,At least one,Source
2.04,At least one,Source
29.13,At least one,Source
4160.18,At least one,Source
192.62,At least one,Source
1.86,At least one,Source
613.37,At least one,Source
215.09,At least one,Source
2303.36,At least one,Source
2560.86,At least one,Source
96.35,At least one,Source
171.09,At least one,Source
144.25,At least one,Source
128.35,At least one,Source
218.44,At least one,Source
133.16,At least one,Source
116.14,At least one,Source
29.62,At least one,Source
20.62,At least one,Source
450.24,At least one,Source
3388.77,At least one,Source
452.57,At least one,Source
7.42,At least one,Source
11.63,At least one,Source
11.86,At least one,Source
430.08,At least one,Source
364.89,At least one,Source
364.88,At least one,Source
869.4,At least one,Source
1207.71,At least one,Source
1484.83,At least one,Source
17.49,At least one,Source
357.59,At least one,Source
94.42,At least one,Source
3388.77,At least one,Source
372.99,At least one,Source
28.92,At least one,Source
387.02,At least one,Source
3388.77,At least one,Source
218.44,At least one,Source
116.14,At least one,Source
367.0,At least one,Source
1492.12,At least one,Source
347.51,At least one,Source
3388.77,At least one,Source
164.24,At least one,Source
45.18,At least one,Source
3388.77,At least one,Source
3.9,At least one,Source
4160.18,At least one,Source
695.76,At least one,Source
197.55,At least one,Source
5305.6,At least one,Source
852.29,At least one,Source
367.0,At least one,Source
120.03,At least one,Source
285.1,At least one,Source
2.68,At least one,Source
672.02,At least one,Source
367.0,At least one,Source
363.6,At least one,Source
26.14,At least one,Source
68.08,At least one,Source
671.47,At least one,Source
672.49,At least one,Source
168.59,At least one,Source
218.0,At least one,Source
3.76,At least one,Source
347.15,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
815.43,At least one,Source
5.89,At least one,Source
311.23,At least one,Source
30.9,At least one,Source
270.16,At least one,Source
262.15,At least one,Source
49.04,At least one,Source
695.95,At least one,Source
287.34,At least one,Source
42.34,At least one,Source
671.9,At least one,Source
14.97,At least one,Source
650.67,At least one,Source
171.64,At least one,Source
1107.3,At least one,Source
1.68,At least one,Source
4401.26,At least one,Source
22.24,At least one,Source
864.51,At least one,Source
1710.04,At least one,Source
1492.12,At least one,Source
22.93,At least one,Source
101.86,At least one,Source
180.6,At least one,Source
210.77,At least one,Source
671.9,At least one,Source
14.97,At least one,Source
69.36,At least one,Source
22.24,At least one,Source
234.97,At least one,Source
19.24,At least one,Source
11.93,At least one,Source
50.8,At least one,Source
527.43,At least one,Source
3.3,At least one,Source
145.81,At least one,Source
5.83,At least one,Source
495.81,At least one,Source
49.0,At least one,Source
3582.83,At least one,Source
49.0,At least one,Source
381.16,At least one,Source
20.62,At least one,Source
887.5,At least one,Source
193.26,At least one,Source
1.23,At least one,Source
5.57,At least one,Source
0.78,At least one,Source
0.78,At least one,Source
0.41,At least one,Source
1083.41,At least one,Source
766.34,At least one,Source
3326.85,At least one,Source
2048.28,At least one,Source
5.83,At least one,Source
495.81,At least one,Source
381.16,At least one,Source
28.24,At least one,Source
1173.97,At least one,Source
80.19,At least one,Source
280.57,At least one,Source
53.4,At least one,Source
624.25,At least one,Source
0.01,At least one,Source
116.72,At least one,Source
440.3,At least one,Source
112.81,At least one,Source
130.51,At least one,Source
264.74,At least one,Source
407.07,At least one,Source
108.22,At least one,Source
108.22,At least one,Source
7.24,At least one,Source
7.24,At least one,Source
7.24,At least one,Source
7.24,At least one,Source
42.62,At least one,Source
86.94,At least one,Source
108.22,At least one,Source
108.22,At least one,Source
1173.82,At least one,Source
33.53,At least one,Source
150.71,At least one,Source
2290.81,At least one,Source
1802.66,At least one,Source
49.43,At least one,Source
93.83,At least one,Source
33.53,At least one,Source
150.71,At least one,Source
162.47,At least one,Source
502.04,At least one,Source
916.43,At least one,Source
55.56,At least one,Source
308.53,At least one,Source
1.73,At least one,Source
582.38,At least one,Source
55.56,At least one,Source
308.53,At least one,Source
53.46,At least one,Source
47.71,At least one,Source
45.62,At least one,Source
54.04,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
