Path,length,service_length
"['openstack/puppet-nova', 'openstack/tripleo-heat-templates', 'openstack/puppet-openstacklib', 'openstack/puppet-nova', 'openstack/puppet-openstack-cookiecutter', 'openstack/puppet-keystone', 'openstack/puppet-ec2api', 'openstack/puppet-ironic', 'openstack/puppet-heat', 'openstack/puppet-barbican', 'openstack/puppet-aodh', 'openstack/puppet-designate', 'openstack/puppet-magnum', 'openstack/puppet-gnocchi', 'openstack/puppet-cloudkitty', 'openstack/puppet-murano', 'openstack/puppet-manila', 'openstack/puppet-glance', 'openstack/puppet-cinder', 'openstack/puppet-freezer', 'openstack/puppet-neutron', 'openstack/puppet-placement', 'openstack/puppet-trove', 'openstack/puppet-sahara', 'openstack/puppet-mistral', 'openstack/puppet-vitrage', 'openstack/puppet-watcher', 'openstack/puppet-octavia', 'openstack/puppet-tacker', 'openstack/puppet-senlin', 'openstack/puppet-zaqar', 'openstack/puppet-nova', 'openstack/tripleo-heat-templates', 'openstack/puppet-openstacklib']",30,2
"['openstack/blazar', 'openstack/blazar-tempest-plugin', 'openstack/oslo.messaging', 'openstack/oslo.service']",4,2
"['openstack/charm-ironic-conductor', 'openstack/charm-ironic-conductor', 'openstack/charm-keystone', 'openstack/charm-keystone-kerberos']",3,2
"['openstack/devstack', 'openstack/neutron-tempest-plugin']",2,2
"['openstack/cinder', 'openstack/cinder', 'openstack/cinder', 'openstack/devstack-plugin-nfs', 'openstack/cinder']",2,2
"['openstack/charm-swift-storage', 'openstack/charm-swift-proxy', 'openstack/charm-rabbitmq-server', 'openstack/charm-placement']",4,2
"['openstack/cinder', 'openstack/tempest']",2,2
"['openstack/charm-keystone-k8s', 'openstack/charm-ops-sunbeam']",2,2
"['openstack/ec2-api', 'openstack/keystone']",2,2
"['openstack/ec2-api', 'openstack/openstack-zuul-jobs', 'openstack/ec2-api', 'openstack/project-config']",3,2
"['openstack/designate', 'openstack/grenade', 'openstack/grenade', 'openstack/designate', 'openstack/grenade']",2,2
"['openstack/cinder-tempest-plugin', 'openstack/cinder', 'openstack/python-cinderclient', 'openstack/tempest', 'openstack/devstack', 'openstack/barbican']",6,4
"['openstack/tripleo-heat-templates', 'openstack/tripleo-ansible', 'openstack/tripleo-ansible', 'openstack/tripleo-ansible', 'openstack/tripleo-heat-templates', 'openstack/puppet-ironic', 'openstack/puppet-ironic', 'openstack/puppet-tripleo']",4,2
"['openstack/cinder-tempest-plugin', 'openstack/cinder', 'openstack/devstack-plugin-nfs']",3,2
"['openstack/charm-neutron-k8s', 'openstack/charm-horizon-k8s', 'openstack/charm-glance-k8s', 'openstack/charm-nova-k8s', 'openstack/charm-cinder-k8s', 'openstack/charm-keystone-k8s', 'openstack/charm-cinder-ceph-k8s', 'openstack/charm-ops-sunbeam', 'openstack/charm-keystone-k8s']",8,7
"['openstack/cinder', 'openstack/oslo.log']",2,2
"['openstack/openstacksdk', 'openstack/nova']",2,2
"['openstack/kuryr-kubernetes', 'openstack/ovn-octavia-provider']",2,2
"['openstack/openstack-zuul-jobs', 'openstack/governance']",2,2
"['openstack/governance', 'openstack/project-config']",2,2
