id,project,branch,change_id,subject,status,created,updated,submitted,insertions,deletions,total_comment_count,number,current_revision,discussion_messages_count,reviewers_count,revisions_count,files_count,owner_account_id,owner_name,owner_username,commit_message
openstack%2Fkeystone~master~I6280e42e8a94a0face838702ca9f7d903ccbe95a,openstack/keystone,master,I6280e42e8a94a0face838702ca9f7d903ccbe95a,Merge branch 'master' of git://github.com/rackspace/keystone,ABANDONED,2011-07-26 17:43:49.000000000,2011-07-28 17:16:30.000000000,2011-07-26 22:21:12.000000000,143,107,0,79,6280e42e8a94a0face838702ca9f7d903ccbe95a,10,3,1,0,5,Ziad Sawalha,ziad-sawalha,"Merge branch 'master' of git://github.com/rackspace/keystone
"
openstack%2Fkeystone~master~Ife1236e0723e25ad67f5d8c480dce640a230e304,openstack/keystone,master,Ife1236e0723e25ad67f5d8c480dce640a230e304,Merge branch 'master' of git://github.com/rackspace/keystone,ABANDONED,2011-07-26 17:43:49.000000000,2011-07-28 17:16:30.000000000,2011-07-26 22:20:07.000000000,879,953,0,78,fe1236e0723e25ad67f5d8c480dce640a230e304,10,3,1,0,5,Ziad Sawalha,ziad-sawalha,"Merge branch 'master' of git://github.com/rackspace/keystone
"
openstack%2Fkeystone~master~If57b84ce9e5d93ad04628d346114ca22d875266d,openstack/keystone,master,If57b84ce9e5d93ad04628d346114ca22d875266d,Merge branch 'master' of git://github.com/rackspace/keystone,ABANDONED,2011-07-26 17:43:49.000000000,2011-07-28 17:16:30.000000000,2011-07-26 22:27:56.000000000,1438,489,0,77,f57b84ce9e5d93ad04628d346114ca22d875266d,11,3,1,0,5,Ziad Sawalha,ziad-sawalha,"Merge branch 'master' of git://github.com/rackspace/keystone
"
openstack%2Fkeystone~master~If408062c91501315f73cab9c9a4cc28ea9cba83f,openstack/keystone,master,If408062c91501315f73cab9c9a4cc28ea9cba83f,Merge branch 'master' of git://github.com/rackspace/keystone,ABANDONED,2011-07-26 17:43:50.000000000,2011-07-28 17:16:29.000000000,2011-07-26 22:05:55.000000000,17,0,0,87,f408062c91501315f73cab9c9a4cc28ea9cba83f,11,3,1,0,5,Ziad Sawalha,ziad-sawalha,"Merge branch 'master' of git://github.com/rackspace/keystone
"
openstack%2Fkeystone~master~I0f4a0325ca09f7680f21ba3830cfc0eb84802d8c,openstack/keystone,master,I0f4a0325ca09f7680f21ba3830cfc0eb84802d8c,Document how to allow anonymous access,ABANDONED,2011-07-26 17:43:50.000000000,2011-07-28 17:16:29.000000000,2011-07-26 22:06:59.000000000,6,0,0,86,0f4a0325ca09f7680f21ba3830cfc0eb84802d8c,11,3,1,2,5,Ziad Sawalha,ziad-sawalha,"Document how to allow anonymous access
"
openstack%2Fkeystone~master~If0f84ef6bdd0ede6d63e6516cc6ec982e07bdeb2,openstack/keystone,master,If0f84ef6bdd0ede6d63e6516cc6ec982e07bdeb2,Merge pull request #120 from robin-norwood/master,ABANDONED,2011-07-26 17:43:50.000000000,2011-07-28 17:16:29.000000000,2011-07-26 22:08:04.000000000,17,0,0,85,f0f84ef6bdd0ede6d63e6516cc6ec982e07bdeb2,11,2,1,0,5,Ziad Sawalha,ziad-sawalha,"Merge pull request #120 from robin-norwood/master

Added instructions to work around segfault on Fedora 15"
openstack%2Fkeystone~master~I52b36c607e7fc853ce1a2189869235664d73a1ca,openstack/keystone,master,I52b36c607e7fc853ce1a2189869235664d73a1ca,Merge pull request #119 from klmitch/master,ABANDONED,2011-07-26 17:43:49.000000000,2011-07-28 17:16:29.000000000,2011-07-26 22:12:33.000000000,214,0,0,84,52b36c607e7fc853ce1a2189869235664d73a1ca,11,2,1,0,5,Ziad Sawalha,ziad-sawalha,"Merge pull request #119 from klmitch/master

Add glance integration middleware"
openstack%2Fkeystone~master~I2c1ddfa03b5e3d8b553132a8a7bd5b6d123275d9,openstack/keystone,master,I2c1ddfa03b5e3d8b553132a8a7bd5b6d123275d9,"These changes make no sense--I didn't do them, and I'm in sync!",ABANDONED,2011-07-26 17:43:49.000000000,2011-07-28 17:16:29.000000000,2011-07-26 22:15:49.000000000,33,121,0,81,2c1ddfa03b5e3d8b553132a8a7bd5b6d123275d9,10,3,1,5,5,Ziad Sawalha,ziad-sawalha,"These changes make no sense--I didn't do them, and I'm in sync!
"
openstack%2Fkeystone~master~I547b63d2e318e86a15bfe585425f095ec5bfb76a,openstack/keystone,master,I547b63d2e318e86a15bfe585425f095ec5bfb76a,Add middleware for glance integration,ABANDONED,2011-07-26 17:43:49.000000000,2011-07-28 17:16:29.000000000,2011-07-26 22:16:53.000000000,214,0,0,80,547b63d2e318e86a15bfe585425f095ec5bfb76a,10,3,1,3,5,Ziad Sawalha,ziad-sawalha,"Add middleware for glance integration
"
openstack%2Fkeystone~master~Ica5efebfd395b3e2c7ebbf3a3a4a7f45c0ad1746,openstack/keystone,master,Ica5efebfd395b3e2c7ebbf3a3a4a7f45c0ad1746,Merge pull request #121 from klmitch/master,ABANDONED,2011-07-26 17:43:50.000000000,2011-07-28 17:16:28.000000000,2011-07-26 22:01:22.000000000,6,0,0,88,ca5efebfd395b3e2c7ebbf3a3a4a7f45c0ad1746,11,2,1,0,5,Ziad Sawalha,ziad-sawalha,"Merge pull request #121 from klmitch/master

Document anonymous access for glance"
openstack%2Fkeystone~master~I701fea0a3d3050dcaa7d58edda1ffee89d7bc641,openstack/keystone,master,I701fea0a3d3050dcaa7d58edda1ffee89d7bc641,#16 Changes to remove unused group clls.,ABANDONED,2011-07-27 23:34:11.000000000,2011-07-28 17:06:45.000000000,,27,3953,0,105,701fea0a3d3050dcaa7d58edda1ffee89d7bc641,4,2,1,29,8,Yogeshwar Srikrishnan,yogesh-srikrishnan,"#16 Changes to remove unused group clls.
"
openstack%2Fkeystone~master~I22cfad2f83e5e851147943ee39b5e2ea4bb31434,openstack/keystone,master,I22cfad2f83e5e851147943ee39b5e2ea4bb31434,Changes suggested by Ziad.Adding validateToken operation.,MERGED,2011-07-27 15:26:06.000000000,2011-07-28 16:07:13.000000000,2011-07-27 23:29:50.000000000,5,4,0,96,22cfad2f83e5e851147943ee39b5e2ea4bb31434,7,3,1,1,8,Yogeshwar Srikrishnan,yogesh-srikrishnan,"Changes suggested by Ziad.Adding validateToken operation.
"
