antecedent,consequent,supp,conf
openstack/openstack-helm,openstack/openstack-helm-infra,0.00024439768525260844,0.04451219512195122
openstack/openstack-ansible-os_cinder,openstack/openstack-ansible-os_ironic,5.691452944238827e-05,0.04392764857881137
openstack/openstack-ansible-os_cinder,openstack/openstack-ansible-os_horizon,5.691452944238827e-05,0.04392764857881137
openstack/openstack-ansible-os_cinder,openstack/openstack-ansible-os_aodh,5.691452944238827e-05,0.04392764857881137
openstack/tripleo-common,openstack/tripleo-ci,0.0002544414257424417,0.04386724386724387
openstack/openstack-ansible-os_tempest,openstack/openstack-ansible-os_glance,5.691452944238827e-05,0.04353393085787452
openstack/python-ironicclient,openstack/ironic,8.871970766019348e-05,0.04333605887162715
openstack/openstack-ansible-os_nova,openstack/openstack-ansible-os_glance,7.867596717036025e-05,0.04304029304029304
openstack/puppet-keystone,openstack/puppet-openstack-integration,9.87634481500267e-05,0.043034281546316555
openstack/openstack-ansible-tests,openstack/openstack-ansible-os_nova,7.532805367374918e-05,0.04297994269340974
openstack/tripleo-upgrade,openstack/tripleo-heat-templates,5.8588486190693806e-05,0.042735042735042736
openstack/openstack-ansible-os_cinder,openstack/openstack-ansible-tests,5.524057269408273e-05,0.04263565891472868
openstack/openstack-ansible-os_cinder,openstack/openstack-ansible-os_designate,5.524057269408273e-05,0.04263565891472868
openstack/puppet-heat,openstack/puppet-keystone,5.691452944238827e-05,0.042131350681536554
openstack/openstack-ansible-os_keystone,openstack/openstack-ansible-os_horizon,6.026244293899934e-05,0.04186046511627907
openstack/python-tripleoclient,openstack/tripleo-ansible,0.00019585293955174787,0.04180064308681672
openstack/python-troveclient,openstack/trove,6.193639968730488e-05,0.041340782122905026
openstack/openstack-ansible-os_nova,openstack/openstack-ansible-tests,7.532805367374918e-05,0.04120879120879121
openstack/openstack-ansible-os_neutron,openstack/openstack-ansible-os_keystone,7.365409692544365e-05,0.0411599625818522
openstack/puppet-heat,openstack/puppet-nova,5.524057269408273e-05,0.040892193308550186
openstack/python-tripleoclient,openstack/tripleo-ci,0.00019083106930683125,0.04072883172561629
openstack/openstack-ansible-os_neutron,openstack/openstack-ansible-os_cinder,7.19801401771381e-05,0.040224508886810104
openstack/openstack-ansible-os_cinder,openstack/openstack-ansible-os_swift,5.189265919747166e-05,0.040051679586563305
openstack/puppet-heat,openstack/puppet-neutron,5.356661594577719e-05,0.03965303593556382
openstack/openstack-ansible-os_nova,openstack/openstack-ansible-os_keystone,7.19801401771381e-05,0.039377289377289376
openstack/openstack-ansible-os_neutron,openstack/openstack-ansible-os_glance,7.030618342883256e-05,0.03928905519176801
openstack/neutron-lbaas,openstack/neutron-vpnaas,8.53717941635824e-05,0.03926096997690531
openstack/openstack-ansible-tests,openstack/openstack-ansible-lxc_hosts,6.863222668052703e-05,0.039159503342884434
openstack/glance_store,openstack/glance,5.691452944238827e-05,0.03876852907639681
openstack/puppet-ceilometer,openstack/puppet-nova,5.524057269408273e-05,0.038506417736289385
openstack/puppet-heat,openstack/puppet-glance,5.189265919747166e-05,0.03841387856257745
openstack/openstack-ansible-os_keystone,openstack/openstack-ansible-os_heat,5.524057269408273e-05,0.03837209302325582
openstack/kuryr-kubernetes,openstack/kuryr-tempest-plugin,0.00011215510213647099,0.03822019395322305
openstack/instack-undercloud,openstack/tripleo-ci,6.695826993222149e-05,0.03816793893129771
openstack/os-brick,openstack/cinder,6.193639968730488e-05,0.03806584362139918
openstack/tripleo-heat-templates,openstack/tripleo-common,0.0007097576612815478,0.037578658158291235
openstack/openstack-ansible-lxc_hosts,openstack/openstack-ansible-openstack_hosts,5.021870244916612e-05,0.03745318352059925
