Path,length,length_service
"['openstack/openstack-ansible-os_neutron'
 'openstack/neutron-fwaas-dashboard' 'openstack/neutron-fwaas'
 'openstack/senlin' 'openstack/governance' 'openstack/kolla-ansible'
 'openstack/kayobe' 'openstack/kolla'
 'openstack/openstack-ansible-os_horizon'
 'openstack/openstack-ansible-os_tempest'
 'openstack/neutron-tempest-plugin' 'openstack/project-config']",12,6
['openstack/tripleo-heat-templates' 'openstack/tripleo-quickstart-extras'],2,1
['openstack/metalsmith' 'openstack/ironic'],2,1
"['openstack/cliff' 'openstack/heat-translator' 'openstack/horizon'
 'openstack/openstack-zuul-jobs' 'openstack/validations-common']",5,5
['openstack/kolla-ansible' 'openstack/kolla'],2,1
"['openstack/openstack-ansible' 'openstack/openstack-ansible-plugins'
 'openstack/ansible-hardening']",3,1
['openstack/kolla-ansible'],1,1
['openstack/tripleo-quickstart' 'openstack/tripleo-heat-templates'],2,1
['openstack/devstack'],1,1
"['openstack/skyline-apiserver' 'openstack/heat' 'openstack/barbican'
 'openstack/neutron' 'openstack/neutron-lib'
 'openstack/neutron-tempest-plugin' 'openstack/nova']",7,5
['openstack/project-config' 'openstack/releases'],2,2
['openstack/openstack-ansible-os_cinder' 'openstack/openstack-ansible'],2,1
"['openstack/openstack-ansible-os_nova' 'openstack/nova' 'openstack/os-vif'
 'openstack/ovsdbapp' 'openstack/devstack' 'openstack/neutron']",6,4
"['openstack/tripleo-common' 'openstack/tripleo-ansible'
 'openstack/tripleo-heat-templates']",3,1
['openstack/nova' 'openstack/os-traits'],2,1
['openstack/tripleo-ansible' 'openstack/tripleo-heat-templates'],2,1
['openstack/tripleo-heat-templates' 'openstack/tripleo-ansible'],2,1
['openstack/tripleo-heat-templates' 'openstack/tripleo-ansible'],2,1
"['openstack/charm-manila' 'openstack/charm-keystone-saml-mellon'
 'openstack/charm-manila-dashboard' 'openstack/charm-keystone-kerberos'
 'openstack/charm-keystone-ldap' 'openstack/charm-magnum'
 'openstack/charm-magnum-dashboard' 'openstack/charm-ironic-api'
 'openstack/charm-keystone' 'openstack/charm-ironic-conductor'
 'openstack/charm-heat' 'openstack/charm-hacluster']",12,6
['openstack/manila-tempest-plugin' 'openstack/manila'],2,1
"['openstack/charm-octavia-dashboard' 'openstack/charm-octavia'
 'openstack/charm-octavia-diskimage-retrofit'
 'openstack/charm-openstack-loadbalancer'
 'openstack/charm-nova-cell-controller'
 'openstack/charm-openstack-dashboard'
 'openstack/charm-nova-compute-nvidia-vgpu'
 'openstack/charm-nova-cloud-controller' 'openstack/charm-nova-compute']",9,3
"['openstack/puppet-nova' 'openstack/tripleo-heat-templates'
 'openstack/puppet-openstacklib' 'openstack/puppet-openstack-cookiecutter'
 'openstack/puppet-keystone' 'openstack/puppet-ec2api'
 'openstack/puppet-ironic' 'openstack/puppet-heat'
 'openstack/puppet-barbican' 'openstack/puppet-aodh'
 'openstack/puppet-designate' 'openstack/puppet-magnum'
 'openstack/puppet-gnocchi' 'openstack/puppet-cloudkitty'
 'openstack/puppet-murano' 'openstack/puppet-manila'
 'openstack/puppet-glance' 'openstack/puppet-cinder'
 'openstack/puppet-freezer' 'openstack/puppet-neutron'
 'openstack/puppet-placement' 'openstack/puppet-trove'
 'openstack/puppet-sahara' 'openstack/puppet-mistral'
 'openstack/puppet-vitrage' 'openstack/puppet-watcher'
 'openstack/puppet-octavia' 'openstack/puppet-tacker'
 'openstack/puppet-senlin' 'openstack/puppet-zaqar']",30,2
['openstack/kayobe' 'openstack/kolla-ansible'],2,1
['openstack/tripleo-heat-templates' 'openstack/tripleo-common'],2,1
['openstack/tripleo-heat-templates' 'openstack/tripleo-ansible'],2,1
"['openstack/blazar' 'openstack/blazar-tempest-plugin'
 'openstack/oslo.messaging' 'openstack/oslo.service']",4,2
['openstack/python-tripleoclient' 'openstack/tripleo-heat-templates'],2,1
['openstack/tripleo-ansible' 'openstack/tripleo-heat-templates'],2,1
"['openstack/charm-ironic-conductor' 'openstack/charm-keystone'
 'openstack/charm-keystone-kerberos']",3,2
['openstack/tripleo-ansible' 'openstack/tripleo-heat-templates'],2,1
['openstack/kolla' 'openstack/kolla-ansible'],2,1
['openstack/tripleo-heat-templates' 'openstack/tripleo-ansible'],2,1
['openstack/tripleo-heat-templates' 'openstack/tripleo-ci'],2,1
"['openstack/tripleo-ansible' 'openstack/tripleo-heat-templates'
 'openstack/tripleo-quickstart' 'openstack/tripleo-quickstart-extras'
 'openstack/tripleo-puppet-elements']",5,1
['openstack/python-openstackclient' 'openstack/openstacksdk'],2,1
['openstack/python-openstackclient' 'openstack/openstacksdk'],2,1
['openstack/tripleo-heat-templates' 'openstack/tripleo-ansible'],2,1
