Path,length,all_abandoned,is_cross,lag,is_cross_service,Path_merged,length_merged
"[858752, 850188, 850189, 850190]",4,False,Cross,1561.47,Cross,"[850188, 858752, 850189]",3
"[859400, 859570]",2,False,Cross,25.77,Same,"[859400, 859570]",2
"[838605, 851694]",2,False,Cross,2478.55,Same,"[838605, 851694]",2
"[857560, 857554, 859422]",3,False,Cross,340.06,Same,"[859422, 857554, 857560]",3
"[853282, 853252, 856487, 853224, 852808, 857096, 857128, 853934]",8,False,Cross,773.76,Same,"[853282, 852808, 857128, 857096, 856487, 853934, 853252, 853224]",8
"[837616, 837613]",2,False,Cross,0.48,Same,"[837616, 837613]",2
"[834442, 834443]",2,False,Cross,0.07,Same,"[834443, 834442]",2
"[859443, 859444]",2,False,Cross,0.09,Same,"[859444, 859443]",2
"[859840, 859841, 859844, 812429, 859839]",5,False,Same,8621.34,Same,"[859839, 859841, 859840, 812429]",4
"[856051, 859437]",2,False,Same,505.77,Same,"[856051, 859437]",2
"[850176, 858725]",2,False,Same,1560.79,Same,"[850176, 858725]",2
"[847512, 847513, 847514, 847511]",4,False,Cross,0.0,Cross,"[847514, 847513, 847512, 847511]",4
"[726789, 740936, 740937, 740938, 742667, 757036, 740939, 749326, 758833, 762834, 758834, 751090, 751089, 699543, 756443, 742719]",16,False,Same,7108.5,Same,"[757036, 742667, 751089, 749326, 756443, 726789, 740938, 740936, 742719, 699543]",10
"[859008, 859012]",2,False,Cross,0.69,Cross,"[859012, 859008]",2
"[855017, 854985, 855245, 855246, 855247, 855248, 855249, 855071]",8,False,Cross,33.31,Same,"[854985, 855017, 855246, 855247, 855248, 855249, 855245, 855071]",8
"[540319, 539107, 539109, 539111]",4,False,Cross,0.15,Cross,"[539111, 539107, 539109]",3
"[858097, 858138]",2,False,Cross,2.73,Same,"[858138, 858097]",2
"[763042, 747650, 752754, 747579, 747260]",5,False,Cross,2134.59,Cross,"[763042, 747650, 747260, 747579]",4
"[858864, 859072, 858508, 859071]",4,False,Cross,73.33,Same,"[859072, 859071, 858864, 858508]",4
"[852897, 852674, 852675, 852784, 852470, 851449]",6,False,Cross,334.01,Cross,"[852675, 851449, 852674, 852470, 852784, 852897]",6
"[855873, 854568, 853481, 855532, 856046, 854360, 857881, 855485]",8,False,Cross,696.69,Cross,"[854568, 857881, 855873, 853481, 856046, 855532, 854360]",7
"[854560, 858699, 854508, 858701, 858702, 858700, 858704, 858705, 858706]",9,False,Cross,654.38,Cross,"[858705, 858702, 858701, 858700, 858704, 858699, 858706, 854508]",8
"[842041, 842044, 856222]",3,False,Same,2706.99,Same,"[856222, 842041]",2
"[851904, 852178]",2,False,Cross,46.94,Same,"[851904, 852178]",2
"[842287, 858513, 858324, 858325, 858326, 858327, 858328]",7,False,Same,2979.76,Same,"[858325, 858324, 858326, 858327, 842287]",5
"[857607, 853589, 853947, 857436, 853503]",5,False,Cross,647.55,Same,"[853503, 857436]",2
"[853007, 812678, 812679]",3,False,Cross,7443.18,Same,"[853007, 812679, 812678]",3
"[854764, 845815]",2,False,Cross,1741.29,Cross,"[845815, 854764]",2
"[854375, 856903]",2,False,Cross,412.42,Cross,"[856903, 854375]",2
"[857680, 857315]",2,False,Cross,28.47,Same,"[857315, 857680]",2
"[857492, 857493]",2,False,Cross,0.1,Cross,"[857493, 857492]",2
"[821003, 829587, 824998]",3,False,Same,1686.48,Same,"[829587, 821003]",2
"[856096, 855713, 856120]",3,False,Cross,71.32,Cross,"[856096, 855713]",2
"[855330, 855331, 854958, 854959]",4,False,Cross,43.95,Same,"[855331, 855330, 854958, 854959]",4
"[839722, 839725]",2,False,Cross,0.71,Cross,"[839725, 839722]",2
"[849563, 849564]",2,False,Cross,0.02,Cross,"[849564, 849563]",2
"[831844, 831917, 836846, 831921, 831607]",5,False,Cross,22.79,Cross,"[831844, 831607]",2
"[857544, 857545, 857546, 857547, 857548, 857549, 857550, 856982]",8,False,Cross,48.64,Cross,"[857550, 857546, 857549, 857548, 857547, 857544, 857545, 856982]",8
"[855886, 855887, 823823, 657170, 855891, 855897, 857499]",7,False,Cross,5781.27,Same,"[823823, 855886, 855887, 855891]",4
"[852122, 852174, 854231]",3,False,Cross,462.17,Same,"[852122, 854231, 852174]",3
"[850594, 853410, 853411, 850439, 850158, 853489, 840316]",7,False,Cross,2538.67,Cross,"[850594, 853411, 850439, 840316]",4
"[643577, 643908, 643575]",3,False,Cross,69.2,Same,"[643577, 643908, 643575]",3
"[856286, 856287]",2,False,Cross,0.02,Cross,"[856286, 856287]",2
"[831864, 831866, 821405, 821406]",4,False,Cross,2088.48,Same,"[831866, 821406, 821405]",3
"[849562, 850155, 850156]",3,False,Cross,140.42,Same,"[850155, 849562]",2
"[828449, 829222, 828295, 829164, 828211, 829236, 829238, 829242, 829246]",9,False,Cross,177.96,Cross,"[828211, 828449, 829164, 828295, 829236]",5
"[843537, 843508, 843662]",3,False,Cross,24.44,Same,"[843662, 843508]",2
"[801385, 821261, 818766, 821262, 819663, 820086, 819833, 823615]",8,False,Cross,1069.21,Cross,"[823615, 821261, 821262, 820086, 818766, 819833, 819663]",7
"[855308, 856013, 856016, 855476, 856021, 856022, 855448, 855449]",8,False,Cross,145.53,Cross,"[856016, 855449, 856013, 856022, 855476, 856021, 855448, 855308]",8
"[847584, 845729, 847587, 847844, 850148, 850150, 847980, 846997]",8,False,Cross,571.75,Same,"[850148, 850150, 847587, 847584, 847980, 847844]",6
"[833286, 833809, 833810, 833811, 833812, 833813, 833815, 833816, 833817, 833818, 833819, 833820, 833821, 833822, 833823, 833824, 833825, 833826, 833828, 833829, 833830, 833831, 833832, 833834, 833835, 834383, 834537]",27,False,Cross,247.31,Cross,"[833812, 834537, 833831, 834383, 833835, 833825, 833823, 833815, 833832, 833830, 833813, 833826, 833809, 833818, 833824, 833821, 833820, 833810, 833819, 833834, 833816, 833822, 833828, 833811, 833286]",25
"[855969, 855970, 855973, 855862, 855962, 856507, 856508, 855965, 855967]",9,False,Cross,79.01,Cross,"[856508, 856507, 855862, 855969, 855965, 855967, 855962, 855970]",8
"[840584, 840565]",2,False,Cross,4.75,Same,"[840565, 840584]",2
"[852368, 827521, 827492]",3,False,Cross,4507.4,Cross,"[852368, 827492, 827521]",3
"[855232, 855190, 855230, 855166, 855231]",5,False,Cross,5.17,Cross,"[855190, 855231, 855230, 855232, 855166]",5
"[850899, 851893]",2,False,Cross,192.03,Cross,"[851893, 850899]",2
"[844336, 844507]",2,False,Cross,20.76,Same,"[844507, 844336]",2
"[825155, 826991, 826928, 825110, 826462]",5,False,Cross,243.99,Same,"[826928, 825110, 826462, 825155]",4
"[855440, 855435]",2,False,Cross,1.98,Same,"[855440, 855435]",2
"[804288, 847821, 804269]",3,False,Cross,2.05,Same,"[804288, 804269]",2
"[854496, 859033, 853928]",3,False,Same,68.92,Same,"[854496, 853928]",2
"[852608, 852609, 859029, 840318]",4,False,Cross,2353.95,Cross,"[852608, 840318]",2
"[848194, 848323]",2,False,Cross,18.97,Same,"[848194, 848323]",2
"[858895, 858896, 860306, 860307, 852756, 852757, 860308, 852250, 852635, 852636, 852253, 852637, 852506, 852507, 852508, 852509, 852774, 852656, 852657, 852662, 852797, 852802, 852803, 852676, 852805, 852678, 852806, 852804, 851802, 859482, 851950, 851952]",32,False,Same,1528.4,Same,"[860306, 860308, 860307, 858896, 859482, 852803, 852805, 852806, 852804, 858895, 852802, 852797, 852756, 852757, 852774, 852636, 852637, 852635, 851802, 852678, 852676, 852662, 852657, 852508, 852509, 852656, 852506, 852507, 852250, 852253, 851950]",31
"[841088, 831651, 831823, 831507, 831902]",5,False,Cross,1631.1,Cross,"[831902, 841088, 831651, 831507]",4
"[847009, 850538]",2,False,Cross,699.03,Same,"[847009, 850538]",2
"[853306, 850166, 850167]",3,False,Cross,696.77,Same,"[850167, 853306]",2
"[739778, 739942, 735638, 735640, 735641, 735519]",6,False,Cross,553.82,Cross,"[739942, 735641, 735638, 735519]",4
"[731973, 726762, 715762, 663542, 731388, 663549, 700799]",7,False,Cross,8622.94,Cross,"[700799, 663549, 731973]",3
"[666616, 680777, 796880, 795951]",4,False,Cross,17471.74,Cross,"[796880, 795951, 666616]",3
"[548427, 548356, 550221, 548919]",4,False,Same,162.46,Same,"[550221, 548427]",2
"[851851, 851837, 851838, 851839]",4,False,Cross,0.08,Same,"[851838, 851839, 851837]",3
"[854144, 853473, 853794, 853474, 853608, 652782, 853433]",7,False,Cross,29441.3,Cross,"[853608, 853794, 854144, 652782]",4
"[850656, 770215, 770216, 769385, 767370, 763634, 767475, 765780, 765781]",9,False,Cross,14187.34,Same,"[770216, 770215, 850656, 765781, 769385]",5
"[854377, 854378, 854539, 854380, 854540, 854606, 854250, 853680, 854614]",9,False,Cross,164.12,Same,"[854380, 854539, 854378, 854377, 854606, 854540, 854614, 853680, 854250]",9
"[853699, 854021, 854022, 853791]",4,False,Cross,94.81,Same,"[854022, 854021, 853699, 853791]",4
"[841993, 842366]",2,False,Same,42.22,Same,"[841993, 842366]",2
"[835917, 849587, 852694, 853368, 858459]",5,False,Same,1658.99,Same,"[858459, 849587, 852694, 853368]",4
"[778915, 851555, 501987, 832767, 656935, 846152, 841549, 790670, 841550, 532914, 501810, 690038, 562207, 736990, 601599]",15,False,Same,0.32,Same,"[841549, 841550]",2
"[749189, 616605, 749191]",3,False,Same,15902.75,Same,"[749189, 616605]",2
"[852580, 853607, 853936, 848758, 851958, 853336]",6,False,Cross,1146.65,Same,"[853936, 853607, 853336, 852580, 851958, 848758]",6
"[852594, 852734]",2,False,Cross,21.61,Same,"[852594, 852734]",2
"[854177, 849806]",2,False,Cross,960.62,Same,"[854177, 849806]",2
"[836064, 836065, 836059, 843700]",4,False,Cross,1377.49,Cross,"[836065, 843700, 836059, 836064]",4
"[842825, 842822]",2,False,Cross,0.82,Same,"[842825, 842822]",2
"[785218, 741801, 741802, 785420, 741654, 809883]",6,False,Same,22.34,Same,"[785420, 785218]",2
"[805616, 805613, 808165]",3,False,Cross,0.35,Same,"[805616, 805613]",2
"[847788, 851730, 845587, 847762, 847766]",5,False,Cross,837.0,Same,"[851730, 847788]",2
"[852531, 852532, 852568, 852572, 852542]",5,False,Cross,1.59,Same,"[852542, 852532, 852531]",3
"[850994, 850035, 850292, 836277, 851000, 850297, 836189, 836190, 851001]",9,False,Cross,2778.42,Same,"[851000, 850994, 851001, 850297, 850292, 850035, 836277, 836189, 836190]",9
"[851739, 843269]",2,False,Cross,1632.99,Same,"[843269, 851739]",2
"[759878, 760455]",2,False,Cross,54.39,Same,"[760455, 759878]",2
"[851888, 851889, 851450, 851452]",4,False,Cross,153.98,Same,"[851888, 851889, 851452, 851450]",4
"[852731, 852715]",2,False,Cross,2.88,Same,"[852731, 852715]",2
"[844179, 837812, 853261]",3,False,Cross,2984.94,Cross,"[837812, 853261, 844179]",3
"[851193, 851433]",2,False,Cross,31.7,Same,"[851433, 851193]",2
"[852733, 852990, 853167]",3,False,Cross,120.32,Same,"[852733, 853167]",2
"[800903, 790536, 831245, 832656, 828179, 848281, 848282, 848284, 850332, 850333, 823580, 822560, 848178, 828723, 848182, 848183, 848184, 817206, 810953, 828752, 848467, 797537, 827895, 828139, 848364, 848365, 848366, 828142, 828143, 790519, 827896]",31,False,Cross,10004.31,Cross,"[848184, 848183, 848467, 848284, 848365, 848282, 848364, 848182, 810953, 848178, 848366, 828143, 831245, 828752, 828723, 828142, 797537, 790536, 817206, 790519, 822560, 823580, 800903]",23
"[837105, 835324]",2,False,Cross,322.31,Cross,"[835324, 837105]",2
"[846176, 823449, 843346]",3,False,Cross,521.53,Cross,"[846176, 843346]",2
"[853204, 853205]",2,False,Cross,1.04,Same,"[853205, 853204]",2
"[849574, 849575, 849578, 849518, 849519, 849520, 844049, 849522, 849521, 844048, 846135]",11,False,Cross,1013.92,Cross,"[849521, 849520, 849575, 849574, 849519, 849518, 844049, 846135, 844048]",9
"[852474, 852460]",2,False,Cross,7.66,Same,"[852474, 852460]",2
"[848112, 848180, 639424]",3,False,Same,29255.38,Same,"[848180, 848112, 639424]",3
"[851954, 851955, 851951]",3,False,Cross,1.38,Same,"[851955, 851954, 851951]",3
"[840712, 840969]",2,False,Cross,24.13,Same,"[840969, 840712]",2
"[840928, 838915, 845812, 840950, 845979, 840925]",6,False,Cross,1317.28,Cross,"[840950, 840925, 845979, 845812, 838915]",5
"[849632, 848004, 847653, 848005, 846799, 844815, 847668, 847797, 847990, 847991, 846777, 847261, 849630, 849631]",14,False,Cross,886.36,Same,"[847991, 846777, 849630, 848004, 849631, 847990, 849632, 848005, 846799, 847261, 847653, 847797, 847668, 844815]",14
"[851608, 851715, 851597, 851877]",4,False,Cross,113.56,Same,"[851877, 851608, 851715, 851597]",4
"[844466, 848452]",2,False,Cross,695.47,Same,"[844466, 848452]",2
"[849986, 851909]",2,False,Cross,437.48,Cross,"[849986, 851909]",2
"[843096, 842034]",2,False,Cross,164.87,Cross,"[843096, 842034]",2
"[850064, 850415]",2,False,Cross,95.22,Same,"[850064, 850415]",2
"[837569, 848844, 851342, 851345, 838292, 839608]",6,False,Cross,2560.83,Cross,"[851345, 851342, 848844, 839608, 838292, 837569]",6
"[849996, 849997]",2,False,Cross,0.0,Cross,"[849997, 849996]",2
