reviewer,service,rev_status
8532,14,Non core
8533,12,Non core
8537,2,Non core
8542,1,Non core
8543,17,Core
8544,2,Non core
8545,2,Non core
8549,1,Non core
8556,58,Core
8557,1,Non core
8571,1,Non core
8574,14,Non core
8575,2,Non core
8576,7,Non core
8577,2,Non core
8578,1,Non core
8579,1,Non core
8580,9,Non core
8582,4,Non core
8584,1,Non core
8586,1,Non core
8587,4,Non core
8590,1,Non core
8592,12,Non core
8596,1,Non core
8600,2,Non core
8601,8,Core
8607,4,Non core
8614,4,Non core
8617,1,Non core
8622,5,Non core
8623,20,Core
8625,4,Non core
8627,2,Non core
8632,1,Non core
8635,1,Non core
8641,9,Non core
8642,9,Non core
8645,4,Non core
8646,13,Non core
8648,21,Core
8650,1,Non core
8651,9,Non core
8652,4,Core
8655,13,Core
8660,1,Non core
8662,4,Non core
8669,2,Non core
8670,2,Non core
8671,1,Non core
8674,7,Non core
8685,2,Non core
8686,13,Non core
8688,15,Non core
8689,5,Non core
8690,3,Non core
8696,1,Non core
8697,1,Non core
8698,2,Non core
8702,1,Non core
8703,1,Non core
8710,2,Core
8716,9,Core
8718,1,Non core
8726,18,Core
8731,22,Core
8735,5,Core
8736,11,Non core
8740,1,Non core
8743,1,Non core
8745,14,Non core
8748,3,Non core
8749,3,Core
8752,1,Non core
8757,2,Non core
8759,7,Non core
8766,4,Core
8767,7,Non core
8768,12,Non core
8770,18,Non core
8771,2,Non core
8775,3,Non core
8776,1,Core
8777,3,Core
8779,1,Non core
8784,2,Non core
8786,4,Core
8787,7,Non core
8788,19,Non core
8791,1,Non core
8792,3,Non core
8794,6,Non core
8797,7,Core
8802,3,Non core
8803,3,Non core
8808,1,Non core
8813,1,Non core
8818,2,Non core
8823,1,Non core
8824,4,Non core
8826,1,Non core
8829,3,Non core
8831,8,Non core
8832,1,Non core
8833,23,Core
8834,1,Non core
8836,1,Non core
8837,3,Non core
8839,1,Non core
8840,1,Non core
8844,3,Non core
8846,14,Core
8851,18,Non core
8857,2,Non core
8859,3,Non core
8861,4,Non core
8863,12,Core
8864,12,Core
8865,2,Non core
8866,21,Non core
8868,4,Non core
8871,40,Non core
8872,1,Non core
8873,13,Non core
8874,9,Non core
8876,3,Non core
8878,11,Core
8880,1,Non core
8887,1,Non core
8888,6,Non core
8889,10,Non core
8890,12,Non core
8895,5,Non core
8898,10,Core
8905,2,Non core
8907,9,Core
8909,5,Non core
8910,1,Non core
8911,19,Core
8912,6,Non core
8920,1,Non core
8921,1,Non core
8922,2,Non core
8932,18,Core
8933,1,Non core
8938,1,Non core
8940,5,Non core
8944,8,Non core
8949,1,Non core
8950,1,Non core
8954,1,Non core
8958,3,Non core
8959,8,Non core
8964,1,Non core
8965,1,Non core
8967,1,Non core
8968,6,Non core
8969,1,Non core
8974,1,Non core
8976,15,Non core
8978,12,Non core
8984,6,Non core
8988,11,Non core
8989,2,Non core
8992,21,Non core
8994,7,Non core
8995,1,Non core
8996,12,Non core
8997,3,Non core
9000,2,Non core
9001,1,Non core
9003,20,Core
9004,1,Non core
9013,3,Non core
9014,1,Non core
9029,7,Non core
9030,2,Non core
9031,1,Core
9032,2,Non core
9035,1,Non core
9037,2,Non core
9041,1,Non core
9043,3,Non core
9044,3,Non core
9045,1,Non core
9046,10,Non core
9048,5,Non core
9051,7,Non core
9057,2,Non core
9059,1,Non core
9060,9,Non core
9061,23,Non core
9062,2,Non core
9063,1,Non core
9064,7,Non core
9066,5,Non core
9067,4,Non core
9068,4,Non core
9069,2,Non core
9073,1,Non core
9074,1,Non core
9076,7,Core
9077,2,Non core
9079,1,Non core
9084,1,Non core
9086,1,Non core
9089,2,Non core
9090,2,Non core
9091,2,Non core
9093,4,Non core
9094,2,Non core
9095,4,Core
9096,5,Non core
9098,15,Core
9100,11,Non core
9101,12,Non core
9107,27,Non core
9111,1,Non core
9112,3,Non core
9113,1,Non core
9114,1,Non core
9122,2,Non core
9124,1,Non core
9126,9,Non core
9129,1,Non core
9130,1,Non core
9136,1,Non core
9139,1,Non core
9141,1,Non core
9142,9,Non core
9146,4,Non core
9149,1,Non core
9152,6,Non core
9155,3,Non core
9162,17,Core
9165,2,Non core
9166,2,Non core
9169,1,Non core
9171,11,Core
9172,8,Non core
9173,3,Non core
9174,2,Non core
9176,8,Non core
9177,1,Non core
9178,9,Non core
9180,5,Non core
9186,8,Non core
9188,8,Non core
9189,3,Non core
9190,2,Non core
9191,1,Non core
9194,4,Non core
9196,4,Non core
9200,11,Core
9204,4,Non core
9205,2,Core
9207,2,Non core
9209,5,Non core
9212,1,Non core
9213,2,Non core
9214,9,Non core
9215,3,Non core
9216,2,Non core
9218,13,Non core
9219,3,Non core
9223,2,Non core
9225,7,Non core
9227,1,Non core
9234,12,Non core
9235,1,Non core
9236,10,Core
9237,22,Core
9246,2,Non core
9247,6,Non core
9249,4,Non core
9251,2,Non core
9253,1,Non core
9257,8,Non core
9263,17,Non core
9268,7,Non core
9274,2,Non core
9275,9,Non core
9276,5,Core
9278,1,Non core
9282,2,Non core
9284,1,Non core
9285,6,Non core
9289,1,Non core
9290,1,Non core
9295,1,Non core
9297,2,Non core
9299,1,Non core
9300,3,Non core
9301,4,Non core
9303,21,Core
9309,2,Non core
9311,16,Core
9312,10,Core
9313,10,Non core
9315,4,Non core
9317,11,Core
9318,1,Non core
9320,2,Non core
9323,15,Core
9327,1,Non core
9331,10,Non core
9332,1,Non core
9335,7,Non core
9337,5,Non core
9343,1,Non core
9347,1,Non core
9349,5,Non core
9352,7,Non core
9361,9,Non core
9363,1,Non core
9364,3,Non core
9365,1,Non core
9366,5,Non core
9367,1,Non core
9369,13,Core
9373,18,Non core
9375,5,Non core
9377,7,Non core
9380,3,Non core
9382,37,Core
9383,3,Non core
9387,1,Core
9392,1,Non core
9396,7,Non core
9397,31,Non core
9398,2,Non core
9407,11,Non core
9408,6,Non core
9409,5,Non core
9410,8,Non core
9412,10,Non core
9414,48,Non core
9415,1,Non core
9416,1,Non core
9419,1,Non core
9420,11,Non core
9423,6,Non core
9426,5,Non core
9429,1,Non core
9431,2,Non core
9432,5,Non core
9438,3,Non core
9443,1,Non core
9444,6,Non core
9446,1,Non core
9447,1,Non core
9448,1,Non core
9449,7,Non core
9450,9,Non core
9452,4,Non core
9453,9,Non core
9459,16,Non core
9461,2,Non core
9464,1,Non core
9466,4,Non core
9479,1,Non core
9480,2,Non core
9483,4,Non core
9484,1,Non core
9485,5,Non core
9488,6,Non core
9492,1,Non core
9493,3,Non core
9498,5,Core
9499,1,Non core
9500,16,Core
9514,4,Non core
9515,14,Non core
9516,1,Non core
9519,1,Non core
9520,1,Non core
9521,6,Non core
9524,9,Non core
9526,11,Non core
9531,12,Core
9532,1,Non core
9533,8,Non core
9535,14,Core
9536,15,Non core
9537,11,Core
9539,1,Non core
9542,31,Core
9545,29,Core
9546,1,Non core
9548,8,Core
9550,9,Non core
9551,5,Non core
9552,4,Non core
9553,1,Non core
9554,3,Non core
9555,11,Non core
9556,1,Non core
9557,2,Non core
9560,14,Non core
9562,19,Core
9563,7,Non core
9564,1,Non core
9565,4,Non core
9567,1,Non core
9569,11,Non core
9571,1,Non core
9572,3,Non core
9576,15,Core
9577,2,Non core
9580,4,Non core
9581,12,Non core
9582,2,Core
9588,1,Non core
9589,2,Non core
9591,7,Core
9592,19,Non core
9594,1,Non core
9596,2,Non core
9598,1,Non core
9600,2,Non core
9601,2,Non core
9604,1,Non core
9605,1,Non core
9607,1,Non core
9608,8,Core
9610,6,Non core
9622,13,Non core
9623,2,Non core
9624,8,Non core
9625,5,Core
9626,2,Non core
9630,1,Non core
9631,11,Non core
9634,1,Non core
9636,1,Non core
9638,1,Non core
9642,7,Non core
9645,6,Non core
9647,2,Non core
9648,5,Core
9649,5,Non core
9651,1,Non core
9654,1,Non core
9656,31,Non core
9657,1,Non core
9659,4,Non core
9662,3,Non core
9664,20,Non core
9667,1,Non core
9669,1,Non core
9680,2,Non core
9683,3,Non core
9684,4,Non core
9686,1,Non core
9689,1,Non core
9693,1,Non core
9698,2,Non core
9701,6,Non core
9705,2,Non core
9706,1,Non core
9708,24,Core
9712,20,Non core
9715,1,Non core
9717,25,Core
9718,2,Non core
9719,1,Non core
9722,2,Non core
9725,15,Non core
9726,1,Non core
9730,4,Non core
9740,3,Non core
9746,2,Non core
9749,5,Non core
9750,5,Non core
9754,1,Non core
9755,2,Non core
9757,1,Core
9760,2,Non core
9767,1,Non core
9769,1,Non core
9770,1,Non core
9771,1,Non core
9775,9,Non core
9778,1,Non core
9779,1,Non core
9782,2,Non core
9788,8,Core
9791,2,Non core
9796,38,Core
9800,4,Non core
9801,2,Non core
9802,1,Non core
9811,2,Non core
9816,37,Core
9820,21,Core
9825,1,Non core
9836,1,Non core
9847,3,Non core
9853,2,Non core
9854,1,Non core
9856,1,Non core
9860,3,Non core
9878,1,Non core
9881,2,Non core
9887,1,Non core
9889,1,Non core
9894,2,Non core
9895,2,Non core
9907,2,Non core
9910,6,Non core
9911,5,Non core
9914,24,Core
9918,1,Non core
9922,1,Non core
9924,3,Non core
9926,2,Non core
9927,3,Non core
9932,4,Non core
9933,1,Non core
9940,3,Non core
9945,1,Non core
9946,2,Non core
9947,1,Non core
9952,1,Non core
9954,18,Non core
9958,1,Non core
9959,1,Non core
9960,1,Non core
9961,1,Non core
9963,16,Non core
9970,7,Non core
9971,4,Non core
9975,2,Non core
9976,16,Core
9978,6,Non core
9979,3,Non core
9981,14,Non core
9983,8,Non core
9987,1,Non core
9988,3,Non core
9989,1,Non core
9995,4,Non core
9997,1,Non core
10000,1,Non core
10004,1,Non core
10007,2,Non core
10008,6,Non core
10014,2,Non core
10016,5,Non core
10018,6,Non core
10019,1,Non core
10020,2,Non core
10022,9,Core
10025,1,Non core
10034,5,Non core
10035,16,Core
10043,4,Non core
10046,14,Non core
10056,2,Non core
10058,15,Non core
10061,10,Non core
10063,15,Core
10064,3,Non core
10068,56,Non core
10070,1,Non core
10073,4,Non core
10076,1,Non core
10086,6,Non core
10089,2,Non core
10090,5,Non core
10091,1,Non core
10094,1,Non core
10095,1,Non core
10096,1,Non core
10097,1,Non core
10099,2,Non core
10100,2,Non core
10105,2,Non core
10106,4,Non core
10110,1,Non core
10112,13,Non core
10114,1,Non core
10115,9,Non core
10126,1,Non core
10127,2,Non core
10134,1,Core
10135,18,Core
10139,2,Non core
10140,1,Non core
10149,1,Non core
10151,2,Non core
10155,1,Non core
10156,1,Non core
10163,1,Non core
10165,5,Non core
10175,1,Non core
10176,1,Non core
10177,2,Non core
10179,3,Non core
10180,1,Non core
10181,3,Non core
10185,3,Non core
10186,1,Non core
10187,1,Non core
10190,1,Non core
10196,1,Non core
10200,4,Non core
10202,3,Non core
10206,18,Core
10207,3,Non core
10210,3,Non core
10213,2,Non core
10214,1,Non core
10215,10,Non core
10216,1,Non core
10217,8,Non core
10218,3,Non core
10221,4,Non core
10222,1,Non core
10224,13,Core
10234,20,Core
10237,10,Core
10239,20,Core
10241,1,Non core
10242,5,Non core
10243,3,Non core
10245,3,Non core
10247,6,Non core
10248,1,Non core
10250,7,Core
10256,1,Non core
10257,10,Non core
10258,2,Non core
10261,1,Non core
10263,14,Non core
10266,2,Non core
10267,12,Non core
10269,1,Non core
10271,2,Non core
10273,21,Core
10275,4,Non core
10277,2,Non core
10278,4,Non core
10279,1,Non core
10280,1,Non core
10281,6,Non core
10282,1,Non core
10283,1,Non core
10284,2,Non core
10288,4,Non core
10289,1,Non core
10290,4,Non core
10295,11,Non core
10298,4,Core
10300,5,Non core
10301,1,Non core
10303,1,Non core
10304,1,Non core
10310,2,Non core
10311,16,Core
10313,4,Non core
10314,1,Non core
10318,2,Non core
10321,1,Non core
10322,1,Non core
10323,1,Non core
10326,1,Non core
10327,9,Non core
10330,1,Non core
10335,3,Non core
10338,6,Non core
10341,2,Non core
10342,16,Core
10343,22,Non core
10345,5,Non core
10347,2,Non core
10348,3,Core
10350,1,Non core
10351,1,Non core
10352,1,Non core
10353,6,Non core
10354,2,Non core
10356,3,Non core
10358,1,Non core
10359,2,Non core
10366,21,Non core
10368,4,Non core
10369,9,Non core
10370,3,Non core
10373,4,Non core
10374,6,Non core
10375,5,Non core
10378,3,Non core
10379,11,Non core
10380,8,Non core
10383,5,Non core
10384,16,Core
10388,3,Non core
10391,5,Core
10392,3,Non core
10393,2,Non core
10395,1,Non core
10396,2,Non core
10399,1,Non core
10405,1,Non core
10409,1,Non core
10413,4,Non core
10415,1,Non core
10419,7,Core
10420,9,Core
10421,1,Non core
10424,3,Non core
10425,1,Non core
10428,2,Non core
10429,1,Non core
10438,2,Non core
10439,17,Non core
10440,2,Non core
10442,4,Non core
10443,1,Core
10453,20,Non core
10459,41,Core
10469,1,Non core
10471,1,Non core
10475,8,Core
10476,1,Non core
10477,5,Non core
10479,1,Non core
10483,1,Non core
10485,8,Non core
10486,5,Non core
10487,10,Non core
10488,5,Non core
10489,3,Non core
10494,1,Non core
10495,1,Non core
10497,21,Non core
10507,2,Non core
10509,1,Non core
10511,5,Non core
10512,1,Non core
10513,3,Non core
10515,6,Non core
10517,1,Non core
10518,3,Non core
10519,1,Non core
10521,4,Non core
10523,2,Non core
10526,2,Non core
10528,1,Non core
10535,1,Non core
10536,2,Non core
10540,14,Non core
10547,2,Non core
10549,2,Non core
10555,1,Non core
10556,8,Non core
10558,6,Non core
10559,5,Non core
10570,1,Non core
10574,2,Non core
10578,1,Non core
10583,5,Non core
10584,7,Core
10585,1,Non core
10586,2,Non core
10588,1,Non core
10589,1,Non core
10594,4,Non core
10598,1,Non core
10601,2,Non core
10605,3,Non core
10607,30,Core
10608,16,Core
10618,6,Non core
10621,2,Non core
10626,1,Non core
10628,6,Non core
10634,3,Non core
10635,13,Non core
10637,1,Non core
10644,7,Core
10652,2,Non core
10655,1,Non core
10656,1,Non core
10657,6,Non core
10662,1,Non core
10663,2,Non core
10669,1,Non core
10670,18,Core
10672,4,Non core
10674,3,Non core
10675,2,Non core
10677,1,Non core
10680,1,Non core
10683,5,Non core
10684,2,Non core
10697,10,Non core
10705,11,Non core
10707,1,Non core
10717,1,Non core
10721,2,Non core
10723,1,Non core
10725,12,Non core
10728,1,Non core
10730,1,Non core
10731,2,Non core
10732,9,Non core
10735,3,Non core
10744,1,Non core
10750,3,Non core
10753,1,Non core
10755,1,Non core
10757,1,Non core
10760,2,Non core
10765,9,Non core
10777,1,Non core
10780,2,Non core
10781,7,Non core
10786,2,Non core
10787,15,Non core
10789,3,Non core
10791,2,Non core
10795,7,Non core
10796,5,Non core
10797,1,Non core
10800,1,Non core
10806,5,Non core
10809,1,Non core
10812,2,Non core
10814,2,Non core
10816,2,Non core
10818,2,Non core
10827,1,Non core
10832,1,Non core
10839,1,Non core
10842,16,Non core
10846,1,Non core
10849,1,Non core
10850,14,Core
10851,2,Non core
10856,2,Core
10857,5,Non core
10864,1,Non core
10870,2,Non core
10873,27,Non core
10876,1,Non core
10881,4,Core
10884,1,Non core
10886,1,Non core
10896,1,Non core
10897,9,Non core
10899,1,Non core
10903,1,Non core
10910,9,Core
10911,1,Non core
10912,1,Non core
10913,1,Non core
10917,6,Non core
10918,2,Non core
10919,1,Non core
10923,1,Non core
10924,3,Non core
10928,1,Non core
10934,1,Non core
10937,1,Non core
10939,1,Non core
10945,1,Non core
10950,1,Non core
10951,1,Non core
10956,1,Non core
10959,2,Core
10960,1,Non core
10962,3,Non core
10964,1,Non core
10965,2,Non core
10966,2,Non core
10969,22,Core
10971,2,Non core
10972,1,Non core
10973,2,Non core
10977,1,Non core
10980,14,Core
10984,6,Non core
10987,10,Non core
10992,6,Non core
10994,1,Non core
10997,1,Non core
11002,1,Non core
11011,4,Non core
11015,1,Non core
11017,3,Non core
11019,1,Non core
11020,1,Non core
11022,14,Non core
11024,2,Core
11027,1,Non core
11029,4,Core
11034,12,Core
11036,1,Non core
11040,1,Non core
11042,1,Non core
11045,8,Non core
11047,7,Non core
11049,1,Non core
11057,3,Non core
11059,1,Non core
11061,3,Non core
11069,6,Non core
11075,8,Non core
11076,7,Core
11079,4,Non core
11082,7,Non core
11084,1,Non core
11085,4,Non core
11089,1,Non core
11090,10,Core
11094,5,Non core
11096,3,Non core
11098,4,Non core
11105,30,Core
11109,10,Core
11114,8,Non core
11123,1,Non core
11127,2,Non core
11138,1,Non core
11139,5,Non core
11151,5,Core
11154,3,Non core
11155,9,Core
11156,1,Non core
11159,5,Non core
11166,12,Non core
11171,2,Non core
11176,3,Non core
11181,1,Non core
11182,2,Non core
11186,1,Non core
11189,9,Non core
11193,2,Non core
11194,1,Non core
11196,1,Non core
11203,1,Non core
11207,1,Non core
11208,8,Non core
11214,1,Non core
11215,3,Non core
11221,1,Non core
11224,33,Non core
11227,3,Non core
11234,2,Non core
11235,9,Non core
11236,3,Non core
11237,1,Non core
11238,1,Non core
11239,1,Non core
11240,6,Core
11244,1,Non core
11253,1,Non core
11254,1,Non core
11255,3,Non core
11261,1,Non core
11264,4,Non core
11268,6,Non core
11269,4,Non core
11275,1,Non core
11278,38,Core
11279,15,Non core
11286,2,Non core
11290,6,Non core
11292,9,Core
11293,2,Non core
11295,1,Non core
11296,1,Non core
11297,3,Non core
11299,2,Non core
11302,9,Non core
11303,14,Non core
11307,10,Non core
11308,1,Non core
11312,1,Non core
11313,5,Non core
11315,3,Non core
11316,1,Non core
11317,4,Core
11323,1,Non core
11324,2,Non core
11326,1,Non core
11328,1,Non core
11330,1,Non core
11333,11,Non core
11335,1,Non core
11343,19,Core
11345,1,Non core
11347,7,Non core
11349,2,Non core
11353,3,Non core
11355,1,Non core
11356,15,Core
11360,1,Non core
11361,2,Non core
11364,1,Non core
11365,1,Non core
11366,5,Non core
11367,2,Non core
11373,1,Non core
11380,1,Non core
11387,9,Non core
11391,17,Non core
11395,1,Non core
11397,5,Core
11399,1,Non core
11407,1,Non core
11415,1,Non core
11417,1,Non core
11418,2,Non core
11420,4,Non core
11424,7,Non core
11425,2,Non core
11427,1,Non core
11428,8,Non core
11433,2,Non core
11434,2,Non core
11437,2,Non core
11444,18,Non core
11447,2,Non core
11448,1,Non core
11453,1,Non core
11457,2,Non core
11458,1,Non core
11459,2,Non core
11466,2,Non core
11468,1,Non core
11473,2,Non core
11475,1,Non core
11479,3,Core
11482,2,Non core
11486,1,Non core
11489,1,Non core
11491,13,Non core
11495,1,Non core
11500,1,Non core
11503,4,Non core
11505,1,Non core
11509,1,Non core
11515,4,Non core
11521,2,Non core
11526,1,Non core
11530,5,Non core
11531,5,Non core
11533,1,Non core
11536,22,Core
11538,4,Core
11539,1,Non core
11545,1,Non core
11546,4,Non core
11547,2,Non core
11549,4,Non core
11555,1,Non core
11561,10,Core
11564,32,Core
11580,4,Core
11582,3,Non core
11583,14,Core
11589,13,Non core
11592,2,Non core
11598,2,Non core
11599,2,Non core
11600,20,Core
11602,2,Non core
11603,1,Non core
11604,21,Core
11605,4,Non core
11606,1,Non core
11610,4,Non core
11614,7,Non core
11615,1,Non core
11616,2,Non core
11622,4,Non core
11625,1,Non core
11626,1,Non core
11628,26,Core
11631,1,Non core
11636,2,Non core
11637,2,Non core
11638,6,Non core
11642,4,Non core
11644,1,Non core
11645,1,Non core
11647,4,Non core
11650,9,Non core
11651,1,Non core
11655,21,Core
11660,2,Non core
11661,2,Non core
11662,4,Non core
11665,1,Non core
11667,2,Non core
11669,3,Non core
11670,4,Non core
11671,5,Non core
11672,6,Non core
11673,4,Non core
11674,1,Core
11675,1,Non core
11676,4,Non core
11678,2,Non core
11681,3,Non core
11682,10,Core
11683,2,Non core
11685,10,Non core
11686,1,Non core
11689,13,Non core
11690,1,Non core
11692,11,Non core
11695,2,Non core
11698,1,Non core
11701,1,Non core
11702,2,Non core
11704,7,Non core
11706,2,Non core
11708,5,Non core
11709,1,Non core
11710,3,Non core
11711,3,Non core
11714,3,Non core
11716,10,Core
11730,2,Non core
11731,1,Non core
11732,2,Non core
11737,1,Non core
11739,1,Non core
11741,2,Non core
11744,4,Non core
11748,6,Core
11750,4,Non core
11751,4,Non core
11752,2,Non core
11753,1,Non core
11757,4,Non core
11758,4,Non core
11759,4,Non core
11762,3,Non core
11768,1,Non core
11774,2,Non core
11778,7,Core
11782,3,Non core
11783,2,Non core
11784,1,Non core
11785,2,Non core
11787,2,Non core
11793,2,Non core
11794,1,Non core
11797,5,Non core
11798,1,Non core
11800,6,Non core
11803,8,Non core
11805,45,Non core
11807,1,Non core
11809,6,Non core
11810,2,Non core
11813,1,Non core
11816,25,Non core
11819,7,Core
11820,2,Non core
11822,6,Non core
11823,2,Non core
11824,1,Non core
11825,2,Non core
11827,5,Core
11831,1,Non core
11832,6,Non core
11834,1,Non core
11835,1,Non core
11858,1,Non core
11860,1,Non core
11861,16,Core
11863,2,Non core
11864,2,Non core
11865,7,Non core
11866,1,Non core
11869,18,Non core
11877,4,Non core
11878,10,Non core
11880,5,Non core
11881,3,Non core
11884,2,Non core
11885,9,Non core
11887,1,Non core
11889,1,Non core
11892,1,Non core
11893,1,Non core
11895,1,Non core
11897,2,Non core
11898,1,Non core
11901,1,Non core
11902,3,Non core
11903,4,Non core
11904,53,Core
11905,1,Non core
11907,6,Non core
11913,1,Non core
11915,4,Core
11923,1,Non core
11928,2,Non core
11929,8,Core
11933,2,Non core
11934,7,Non core
11938,1,Non core
11939,2,Non core
11941,3,Non core
11947,2,Non core
11950,1,Non core
11952,11,Core
11956,2,Non core
11957,1,Non core
11968,4,Non core
11970,4,Non core
11973,4,Non core
11975,26,Core
11997,4,Non core
12000,20,Non core
12004,1,Non core
12013,1,Non core
12015,9,Non core
12021,13,Core
12022,3,Non core
12024,9,Non core
12028,2,Non core
12030,3,Non core
12035,3,Non core
12036,2,Non core
12038,14,Non core
12039,11,Non core
12045,2,Non core
12050,2,Non core
12051,1,Non core
12053,6,Non core
12056,1,Non core
12057,1,Non core
12060,1,Non core
12064,1,Non core
12069,3,Non core
12071,10,Non core
12076,7,Core
12080,5,Non core
12084,2,Non core
12087,1,Non core
12088,3,Non core
12092,7,Non core
12100,6,Non core
12105,1,Non core
12108,2,Non core
12112,4,Non core
12114,5,Non core
12119,8,Non core
12124,2,Non core
12131,1,Non core
12133,2,Non core
12134,5,Non core
12139,1,Non core
12140,3,Non core
12149,2,Non core
12150,4,Non core
12156,3,Non core
12160,6,Non core
12170,1,Non core
12171,15,Core
12175,13,Non core
12176,1,Non core
12177,4,Non core
12182,2,Non core
12184,3,Non core
12188,1,Non core
12192,1,Non core
12193,4,Core
12196,2,Non core
12197,1,Non core
12198,1,Non core
12199,3,Non core
12200,2,Non core
12208,4,Non core
12210,1,Non core
12211,2,Non core
12215,2,Non core
12223,1,Non core
12231,4,Non core
12232,2,Core
12247,1,Non core
12255,3,Non core
12256,2,Non core
12257,3,Non core
12259,6,Non core
12261,1,Non core
12262,1,Non core
12271,2,Non core
12275,1,Non core
12279,3,Non core
12280,2,Non core
12281,12,Non core
12283,1,Non core
12285,2,Non core
12287,2,Non core
12288,1,Non core
12297,2,Non core
12299,7,Non core
12304,2,Non core
12307,1,Non core
12311,1,Non core
12315,1,Non core
12316,1,Non core
12320,2,Non core
12321,11,Core
12323,4,Non core
12325,4,Core
12335,1,Non core
12337,1,Non core
12340,6,Non core
12343,1,Non core
12350,2,Non core
12351,1,Non core
12354,1,Non core
12355,6,Non core
12356,17,Core
12361,1,Non core
12362,3,Non core
12363,13,Non core
12367,1,Core
12371,1,Non core
12376,1,Non core
12377,1,Non core
12378,4,Non core
12382,8,Non core
12385,21,Non core
12388,1,Non core
12393,34,Core
12394,3,Core
12395,19,Core
12398,8,Non core
12399,1,Non core
12400,4,Non core
12402,4,Non core
12403,7,Non core
12404,30,Core
12405,1,Non core
12407,3,Non core
12408,9,Non core
12410,3,Non core
12411,2,Non core
12412,2,Non core
12417,5,Non core
12425,1,Non core
12428,1,Non core
12430,1,Non core
12436,1,Non core
12437,1,Non core
12440,1,Non core
12441,4,Non core
12443,3,Non core
12444,6,Non core
12454,2,Non core
12455,9,Core
12456,1,Non core
12459,9,Core
12464,1,Non core
12473,1,Non core
12476,3,Non core
12482,1,Non core
12483,1,Non core
12484,11,Non core
12485,2,Non core
12486,1,Non core
12487,9,Non core
12493,1,Non core
12505,1,Non core
12512,7,Non core
12513,2,Non core
12514,1,Non core
12516,2,Non core
12519,2,Non core
12521,2,Non core
12524,3,Non core
12525,7,Non core
12529,1,Non core
12534,1,Non core
12535,2,Non core
12536,1,Non core
12542,14,Non core
12545,1,Non core
12547,1,Non core
12548,5,Non core
12549,22,Non core
12559,2,Non core
12561,9,Non core
12578,2,Non core
12581,5,Non core
12582,4,Non core
12588,1,Non core
12597,12,Non core
12604,10,Core
12605,1,Non core
12606,11,Non core
12609,13,Non core
12611,1,Non core
12612,10,Non core
12613,1,Non core
12614,1,Non core
12616,1,Non core
12620,1,Non core
12621,1,Non core
12624,1,Non core
12626,1,Non core
12629,1,Non core
12631,4,Non core
12632,8,Non core
12633,1,Non core
12634,1,Non core
12637,5,Non core
12639,1,Non core
12640,7,Non core
12641,1,Non core
12643,3,Non core
12645,1,Non core
12647,1,Non core
12651,5,Core
12654,1,Non core
12657,1,Non core
12659,1,Non core
12661,4,Non core
12664,1,Non core
12670,6,Non core
12672,2,Non core
12673,2,Non core
12679,1,Non core
12683,2,Non core
12686,14,Non core
12692,1,Non core
12693,2,Non core
12697,1,Non core
12699,1,Non core
12706,1,Non core
12707,4,Non core
12708,2,Non core
12711,1,Non core
12712,12,Non core
12715,18,Non core
12716,2,Non core
12718,1,Non core
12721,2,Non core
12727,1,Non core
12732,11,Non core
12736,1,Non core
12737,2,Non core
12742,3,Non core
12743,1,Non core
12748,2,Non core
12749,3,Non core
12754,2,Non core
12758,7,Non core
12767,17,Non core
12768,1,Non core
12769,1,Non core
12770,1,Non core
12772,1,Non core
12773,1,Non core
12774,1,Non core
12782,2,Non core
12784,1,Non core
12794,2,Non core
12798,1,Non core
12802,2,Non core
12807,12,Non core
12808,1,Non core
12812,1,Non core
12813,3,Non core
12814,6,Non core
12817,3,Core
12825,7,Non core
12826,23,Non core
12838,1,Non core
12840,1,Non core
12841,18,Non core
12843,1,Non core
12847,1,Non core
12848,1,Non core
12849,4,Non core
12850,8,Non core
12853,1,Non core
12857,4,Non core
12859,1,Non core
12860,15,Core
12861,4,Non core
12864,2,Non core
12866,1,Non core
12869,2,Non core
12875,1,Non core
12877,1,Non core
12880,1,Non core
12882,5,Non core
12888,1,Non core
12892,7,Non core
12898,47,Core
12904,1,Non core
12905,1,Non core
12906,7,Non core
12907,8,Non core
12909,1,Non core
12912,4,Non core
12920,1,Non core
12924,9,Non core
12925,1,Non core
12927,10,Non core
12929,7,Non core
12930,3,Non core
12932,7,Non core
12936,1,Non core
12942,4,Non core
12946,3,Non core
12947,4,Non core
12950,4,Non core
12952,29,Non core
12953,2,Non core
12954,2,Non core
12955,5,Non core
12959,2,Non core
12962,1,Non core
12963,3,Non core
12970,1,Non core
12972,3,Non core
12974,1,Non core
12983,1,Non core
12988,7,Non core
12994,2,Non core
12996,7,Non core
12999,5,Non core
13001,3,Non core
13002,2,Non core
13009,6,Non core
13010,1,Non core
13013,4,Non core
13015,1,Non core
13024,1,Non core
13037,4,Non core
13039,13,Non core
13046,1,Non core
13047,1,Non core
13055,7,Non core
13059,1,Non core
13063,9,Non core
13070,5,Core
13071,2,Non core
13075,2,Non core
13079,1,Non core
13082,3,Non core
13084,4,Non core
13086,2,Non core
13089,1,Non core
13094,1,Non core
13095,9,Core
13097,1,Non core
13103,1,Non core
13104,1,Non core
13107,5,Non core
13109,1,Non core
13111,23,Non core
13115,1,Non core
13118,2,Non core
13124,1,Non core
13129,2,Non core
13130,1,Non core
13134,6,Non core
13140,2,Non core
13149,5,Core
