owner_account_id,service,dev_status
7118,52,Core
7121,4,Non core
7125,8,Non core
7126,5,Non core
7128,10,Non core
7130,10,Non core
7132,5,Non core
7133,4,Non core
7134,2,Non core
7135,6,Non core
7136,6,Non core
7138,2,Non core
7139,6,Non core
7141,7,Non core
7144,12,Non core
7145,2,Non core
7148,7,Non core
7155,2,Non core
7156,12,Non core
7160,1,Non core
7162,1,Non core
7166,7,Core
7170,2,Non core
7173,5,Non core
7175,1,Non core
7179,6,Non core
7183,4,Non core
7185,2,Non core
7186,5,Non core
7187,1,Non core
7189,1,Non core
7191,23,Non core
7193,2,Core
7195,1,Core
7198,8,Core
7201,1,Non core
7202,1,Non core
7203,11,Non core
7208,1,Non core
7217,9,Non core
7219,7,Non core
7220,1,Non core
7221,2,Non core
7224,1,Non core
7225,4,Core
7226,3,Core
7227,6,Non core
7229,1,Non core
7230,4,Core
7231,3,Non core
7233,6,Core
7236,9,Non core
7237,1,Non core
7239,1,Non core
7244,7,Non core
7248,1,Non core
7249,10,Core
7253,6,Non core
7256,3,Non core
7257,2,Non core
7260,2,Core
7262,1,Non core
7270,1,Non core
7272,1,Core
7277,2,Non core
7282,2,Non core
7289,1,Non core
7293,14,Non core
7294,4,Non core
7302,2,Non core
7307,7,Non core
7309,2,Non core
7317,1,Non core
7331,10,Non core
7336,3,Non core
7338,3,Non core
7349,3,Non core
7350,17,Non core
7353,13,Core
7355,2,Non core
7366,4,Non core
7368,5,Non core
7369,13,Core
7383,1,Non core
7385,22,Core
7386,3,Non core
7387,3,Non core
7389,2,Non core
7393,2,Non core
7395,1,Non core
7398,4,Non core
7399,1,Non core
7400,5,Non core
7404,10,Core
7405,2,Non core
7409,3,Non core
7411,2,Non core
7414,7,Core
7419,5,Core
7420,1,Non core
7423,2,Non core
7428,4,Core
7431,4,Core
7433,1,Non core
7439,1,Non core
7441,2,Non core
7447,1,Non core
7448,6,Non core
7450,5,Core
7457,1,Non core
7461,1,Non core
7462,2,Non core
7466,1,Non core
7468,2,Non core
7471,1,Non core
7472,1,Non core
7473,5,Non core
7478,8,Non core
7479,2,Non core
7482,2,Non core
7485,3,Core
7488,26,Core
7491,16,Non core
7494,7,Non core
7498,3,Non core
7500,4,Non core
7505,6,Non core
7509,8,Non core
7514,1,Core
7515,2,Non core
7531,2,Non core
7532,2,Non core
7534,4,Non core
7535,6,Core
7536,6,Non core
7537,2,Non core
7541,1,Non core
7543,12,Non core
7549,6,Non core
7553,2,Non core
7555,2,Non core
7562,2,Non core
7565,2,Core
7567,3,Non core
7575,7,Non core
7577,1,Non core
7579,2,Non core
7582,8,Non core
7585,4,Non core
7589,2,Non core
7590,1,Non core
7591,1,Non core
7593,3,Non core
7600,5,Non core
7602,1,Non core
7604,6,Non core
7613,2,Non core
7614,1,Non core
7616,2,Non core
7625,1,Non core
7627,1,Non core
7629,2,Non core
7632,1,Non core
7634,29,Core
7639,1,Non core
7641,7,Non core
7642,9,Non core
7653,3,Non core
7654,3,Non core
7655,2,Non core
7658,2,Non core
7661,1,Non core
7662,8,Non core
7664,5,Non core
7665,8,Core
7675,2,Non core
7676,6,Non core
7677,6,Non core
7680,18,Non core
7687,2,Non core
7689,4,Non core
7693,3,Non core
7696,2,Non core
7700,4,Non core
7701,3,Non core
7703,2,Non core
7706,5,Non core
7708,5,Non core
7710,7,Non core
7711,6,Non core
7714,2,Non core
7715,4,Non core
7725,3,Core
7727,2,Non core
7729,9,Non core
7730,19,Core
7731,1,Non core
7732,4,Core
7737,1,Non core
7740,1,Non core
7743,1,Non core
7744,1,Non core
